,PPDNUM,the_geom,PPDNAME
0,1,"MULTIPOLYGON (((-118.42375260965827 34.05733024656176, -118.42138925289865 34.05898767494811, -118.41296486141677 34.04922177498539, -118.41745499089232 34.0466826245097, -118.42047454460742 34.05022033702394, -118.4202946846721 34.05027093704785, -118.42107981919786 34.05119273059424, -118.42108989866028 34.0512005171659, -118.42109981637579 34.0512084458418, -118.42110957016469 34.05121651392495, -118.42111915677314 34.05122472052522, -118.4211285740169 34.05123306204404, -118.42113781755455 34.05124153669363, -118.42114688520633 34.05125014177699, -118.42115577479244 34.05125887459716, -118.42116448413321 34.05126773245709, -118.42117300997016 34.05127671356525, -118.42118135011908 34.051285814323094, -118.42118950132159 34.05129503293894, -118.42119746247647 34.051304365810545, -118.42120523140841 34.05131381114245, -118.42121280376696 34.051323365343755, -118.42122017953845 34.05133302570989, -118.42122735438144 34.051342790453, -118.42123432935632 34.051352655061756, -118.4212410990431 34.05136261865355, -118.42124766341449 34.05137267581932, -118.42125402029974 34.051382825665065, -118.42126016751449 34.051393064592396, -118.421266103962 34.0514033899005, -118.42127182637476 34.051413797994705, -118.42127733473919 34.05142428617043, -118.42128262687085 34.051434850829224, -118.42128770058994 34.05144548927415, -118.42129255479966 34.05145619880436, -118.42129718839867 34.05146697581767, -118.42130160028573 34.05147781671176, -118.42130578828551 34.051488719691214, -118.42130975237521 34.05149968024838, -118.4213134892919 34.051510695690126, -118.42131700010047 34.05152176240665, -118.42132028262098 34.051532877700865, -118.42132333683526 34.05154403796682, -118.42132616056338 34.051555240507426, -118.4213287537871 34.05156648171669, -118.42133111540512 34.05157775799236, -118.42133324539915 34.05158906572832, -118.42133514267252 34.051600402223784, -118.4213368061283 34.051611764778016, -118.42133823574375 34.05162314888341, -118.42133943258825 34.051634551831704, -118.42134039339426 34.05164597002808, -118.42134112031427 34.05165740076047, -118.42134161115929 34.05166883952882, -118.42134186808177 34.05168028362105, -118.42134188890186 34.05169173034015, -118.42134167467985 34.05170317517468, -118.42134122540193 34.05171461542019, -118.42134054104996 34.05172604747051, -118.4213396216056 34.05173746771964, -118.42133846813832 34.051748873459154, -118.42133707955121 34.05176026198831, -118.42133545798315 34.05177162789044, -118.42133360234187 34.05178296936622, -118.42133151477529 34.051794282802085, -118.42132919418661 34.051805565497155, -118.42132664163614 34.05181681294011, -118.42132385927633 34.051828022418796, -118.42132084708891 34.0518391903271, -118.4213176050602 34.05185031396048, -118.42129398078225 34.05211344360353, -118.42129178907227 34.0521242967177, -118.42128983038418 34.052135180572606, -118.42128810253826 34.05214609247126, -118.42128660875659 34.05215702699328, -118.4212853490302 34.05216798233561, -118.42128432225796 34.05217895489593, -118.4212835305834 34.0521899401591, -118.42128297291445 34.05220093632591, -118.42128265031168 34.05221193888497, -118.4212825616738 34.05222294423392, -118.421282709149 34.05223394875923, -118.42128309055761 34.05224494976382, -118.42128370696001 34.05225594273632, -118.42128455726422 34.05226692587748, -118.42128564253066 34.05227789467597, -118.42128696057061 34.052288844631654, -118.42128851354117 34.052299773933974, -118.42129029817511 34.052310678988206, -118.42129231553282 34.05232155528293, -118.4212945656054 34.05233240101507, -118.4212970461994 34.052343210783114, -118.4212997562229 34.05235398278774, -118.42130269673623 34.05236471251757, -118.42130586555973 34.052375397275604, -118.42130926159224 34.05238603345952, -118.42131288373716 34.05239661836851, -118.4213167308887 34.05240714749874, -118.42132080303342 34.05241761814564, -118.42132509798695 34.05242802671062, -118.42132961356963 34.05243837049671, -118.42133434976337 34.05244864589779, -118.42133930438386 34.05245884931532, -118.42134447525143 34.0524689780523, -118.42134986235246 34.05247902940404, -118.42135546241511 34.05248899887438, -118.4213612743426 34.05249888376244, -118.42136729703843 34.05250868136741, -118.42137352723967 34.052518388996035, -118.4213799627575 34.052528002148335, -118.42138660358287 34.052537519021115, -118.42139344645294 34.05254693692117, -118.42140048917894 34.052556251348435, -118.42140772850247 34.05256546051116, -118.42141516440539 34.05257456080328, -118.42142279254183 34.05258354953526, -118.42143061181957 34.052592424907836, -118.42143861896672 34.05260118242467, -118.42144681072944 34.052609821195595, -118.42145518708502 34.05261833671299, -118.42146374260902 34.052626727192624, -118.42147247728776 34.05263498992993, -118.42148138569216 34.05264312223918, -118.42149046673013 34.05265112232112, -118.42149971604651 34.05265898568324, -118.42150913255372 34.05266671142772, -118.42151871298883 34.05267429686135, -118.42152845301035 34.05268174019612, -118.42153835043399 34.052689037833524, -118.42154840199679 34.05269618708028, -118.42155860444943 34.05270318794771, -118.42156895451994 34.05271003593956, -118.42157945004213 34.052716731063214, -118.42159008557776 34.05272326883013, -118.42160085895605 34.05272964834615, -118.42161176800172 34.052735867815876, -118.42162280729019 34.05274192545508, -118.4216339735585 34.05274781857051, -118.42164526463593 34.0527535462682, -118.42165667509322 34.05275910586248, -118.42166820383827 34.05276449555406, -118.42167984436333 34.05276971356251, -118.42246409849193 34.05326537726356, -118.42247637899 34.05327633303189, -118.4224884857767 34.053287421030895, -118.42250041560716 34.053298642173516, -118.4225121673756 34.05330999195592, -118.42252373782807 34.05332146948809, -118.42253512695561 34.05333307296699, -118.42254633041644 34.05334480060481, -118.42255734819703 34.05335664969706, -118.422568178122 34.053368618448324, -118.42257881801146 34.053380704161654, -118.42258926461152 34.05339290594697, -118.42259951899153 34.053405221095986, -118.42260957680993 34.05341764782082, -118.42261943696543 34.05343018251932, -118.42262909837483 34.053442825195226, -118.42263855993677 34.053455572246385, -118.4226478183927 34.05346842188116, -118.42265687264593 34.0534813713988, -118.42266572269178 34.05349441989782, -118.4226743641749 34.0535075628859, -118.42268279817846 34.05352080035922, -118.4226910214348 34.053534128723186, -118.4226990339348 34.053547546174734, -118.42270683349838 34.053561050016945, -118.4227144179503 34.05357463845448, -118.42272178835978 34.05358830877892, -118.4227289414638 34.05360205829722, -118.4227358761701 34.053615885210114, -118.42274259138183 34.05362978681688, -118.42274908708514 34.053643760413, -118.42275536110469 34.05365780420307, -118.42276141234358 34.053671915486326, -118.42276723970947 34.05368609246356, -118.42277284317957 34.05370033062728, -118.42277822058752 34.053714629984995, -118.42278337191496 34.05372898693071, -118.422788296065 34.053743398763714, -118.42279299086229 34.0537578636885, -118.42279745737154 34.05377237809532, -118.42280169342186 34.053786941090216, -118.4228056989904 34.05380154816559, -118.42280947407245 34.053816198419995, -118.42281301648805 34.05383088915644, -118.42281632621885 34.053845616768925, -118.42311878046091 34.056094301039835, -118.42312120408744 34.056113909958626, -118.42312385615698 34.05613349824323, -118.42312673666045 34.05615306409062, -118.42312984450582 34.0561726057015, -118.42313318076722 34.05619212126901, -118.4231367443526 34.05621160899386, -118.42314053525295 34.05623106707308, -118.42314455237616 34.056250493707324, -118.42314879571333 34.05626988709358, -118.4231532652509 34.05628924452722, -118.42315795990582 34.05630856601208, -118.42316288074323 34.05632784793822, -118.42316802450927 34.056347089415425, -118.42317339336121 34.056366288633136, -118.42317898620698 34.05638544379205, -118.42318480086674 34.056404552195126, -118.42319083841922 34.05642361293703, -118.42319709885543 34.056442624214725, -118.42320358000015 34.056461584232714, -118.42321028183976 34.05648049028638, -118.4232172032913 34.05649934237951, -118.42322434541984 34.05651813690217, -118.42323170605462 34.05653687296041, -118.42323928410349 34.05655554875498, -118.42324707955751 34.05657416248273, -118.42325509240766 34.05659271234055, -118.42326332047863 34.0566111965331, -118.42327176376146 34.056629613257186, -118.42328042225171 34.05664796161124, -118.42328929376494 34.05666623799677, -118.42329837721815 34.0566844424175, -118.42330767368541 34.05670257306656, -118.4233171799038 34.05672062725073, -118.42332689695199 34.05673860406463, -118.42333682265468 34.05675650171278, -118.42334695700279 34.05677431839212, -118.4233572989042 34.05679205230329, -118.42336784618362 34.05680970165087, -118.42337859991508 34.056827264627884, -118.42338955684481 34.05684474034417, -118.42340071696364 34.05686212699669, -118.42341208025807 34.05687942188076, -118.42342364347867 34.05689662500775, -118.4234354076951 34.056913733669276, -118.42344737073188 34.0569307460698, -118.42374877306398 34.05732425940348, -118.42375260965827 34.05733024656176)))",PPD 1
1,2,"MULTIPOLYGON (((-118.3636833519282 34.05821080218247, -118.36133086873834 34.06280974195931, -118.35719091861058 34.06236286878069, -118.35131432868957 34.062219390319946, -118.35363685065875 34.05693195303056, -118.35363665656247 34.056886034915735, -118.35404712311663 34.056104213759035, -118.3539631062368 34.05580598770768, -118.35445417643678 34.054518822525026, -118.35456217650916 34.05396748043743, -118.35902251581783 34.055569012253194, -118.35966911219016 34.05591815789888, -118.36277148375486 34.0580428312743, -118.3636833519282 34.05821080218247)))",PPD 2
2,3,"MULTIPOLYGON (((-118.5338904052823 34.220747852646554, -118.52892730661647 34.220813825548454, -118.52891704619357 34.21919406962324, -118.5297325372165 34.21920522802543, -118.52971945893484 34.21714372015171, -118.52974310621357 34.21709046524293, -118.52976911547817 34.21703797531503, -118.52979745029074 34.21698632355098, -118.52982807311136 34.216935580433905, -118.52986093988345 34.21688581557377, -118.52989600545978 34.216837097683786, -118.52993322359694 34.21678949367871, -118.52997254044966 34.21674306960507, -118.53001390433202 34.216697889696775, -118.53005725702435 34.21665401461019, -118.53010253814277 34.216611505912645, -118.53014968619571 34.21657042157011, -118.53019863752161 34.21653081955818, -118.53024932299317 34.2164927515656, -118.53030167242139 34.2164562728919, -118.53035561557168 34.21642143162453, -118.53041107679542 34.21638827767796, -118.53046798148956 34.21635685465121, -118.53052624854585 34.21632720707347, -118.53058580008928 34.21629937585376, -118.53064655279616 34.21627339831887, -118.53070842442263 34.21624931088947, -118.53077132836155 34.216227146399355, -118.53083517907984 34.216206935874645, -118.53089988885131 34.216188706745, -118.53096536667724 34.21617248375016, -118.53103152480921 34.2161582907141, -118.53109827111787 34.21614614516937, -118.5311655134799 34.21613606555041, -118.53123315973204 34.21612806398103, -118.53130111663172 34.216122153491604, -118.53136929089621 34.21611834080217, -118.53143758814626 34.21611663083461, -118.53150591508216 34.21611702760469, -118.5315741761935 34.216119528827406, -118.53386065441146 34.21609473622931, -118.5338904052823 34.220747852646554)))",PPD 3
3,4,"MULTIPOLYGON (((-118.43976227831878 34.059669787383505, -118.43765701774493 34.06025739127711, -118.43580093776505 34.0606656112372, -118.43563897250922 34.060443134813355, -118.43567590532993 34.06023172841473, -118.43563102930767 34.06007848041166, -118.4354085457313 34.05967574707874, -118.43537268957554 34.05962975736684, -118.4353389227413 34.05958268548233, -118.43530729106237 34.05953459707389, -118.43527783929387 34.05948555869556, -118.43525060895485 34.05943563961752, -118.43522563614832 34.05938490912946, -118.4352029580648 34.059333437418545, -118.43518260432631 34.0592812974038, -118.435164603462 34.059228560204886, -118.43514898294124 34.05917530145291, -118.43513576154878 34.059121593203976, -118.43512495917601 34.05906751201775, -118.43511659137667 34.059013133567845, -118.43525138756624 34.05873584203776, -118.43525128534564 34.058655400154265, -118.43524909592419 34.05857497841485, -118.43524481842641 34.058494615588536, -118.43523845737862 34.05841434772029, -118.43523001407165 34.058334213571186, -118.43521949195316 34.058254250091366, -118.43520689879882 34.05817449331367, -118.43519223698716 34.05809498289656, -118.4351755153721 34.058015753967254, -118.43513825788013 34.05778577296976, -118.43510148406507 34.05764916950917, -118.43492313604233 34.057256281585374, -118.43500325570055 34.05725265824078, -118.43529950174832 34.05720156547694, -118.43567990935134 34.057153503175236, -118.43603237263993 34.05712555106213, -118.43625611242892 34.05700134801161, -118.4381584879811 34.05568046863232, -118.43993238206653 34.05464288237728, -118.44027065956449 34.054418589748636, -118.44096766838159 34.055219035764196, -118.4418471550499 34.05668300356331, -118.4421893918163 34.05715658463506, -118.44208067520235 34.05720499936979, -118.44170923464523 34.057270381081864, -118.44154929423554 34.05732965325976, -118.44030574167954 34.057690008188146, -118.43912835005843 34.05803632073386, -118.43976227831878 34.059669787383505)))",PPD 4
4,5,"MULTIPOLYGON (((-118.40595155728955 34.057132740478394, -118.39960058470146 34.05714439711376, -118.39959826446652 34.05662166259217, -118.39946479535678 34.05646429773568, -118.39946432443499 34.056365670512584, -118.39928808246408 34.056184776248536, -118.39926849714085 34.05506047150863, -118.40214928243371 34.05410718098513, -118.40233383202279 34.054411346266455, -118.40515552922082 34.05343994897844, -118.40497341122284 34.053165881180746, -118.40609307354504 34.0527921007483, -118.4061913497582 34.05291791385521, -118.40619488150064 34.0529515400363, -118.40622535422449 34.05298507559456, -118.40622949737623 34.053144844248905, -118.40574192289372 34.05330065755434, -118.40584402995208 34.05352176741769, -118.40597124840116 34.05405955149862, -118.40613069099714 34.05429728740511, -118.40560531524876 34.05429905311474, -118.40560931710722 34.05499090173708, -118.40594115920341 34.054989786729344, -118.40595155728955 34.057132740478394)))",PPD 5
5,6,"MULTIPOLYGON (((-118.42887592446084 34.06691065389035, -118.42687500402127 34.0677760189624, -118.42673037924911 34.067802584404866, -118.4265852259619 34.06782707079535, -118.42643958746956 34.06784947166837, -118.42629350599408 34.06786977966089, -118.4261470259288 34.067887988303944, -118.42600018950989 34.06790409293947, -118.42585304222351 34.06791808889811, -118.42570562630598 34.0679299715223, -118.42555798616493 34.06793973704839, -118.42541016621726 34.06794738351618, -118.42526220870877 34.06795290807161, -118.425114160223 34.0679563087472, -118.42496606193173 34.06795758449632, -118.42435128639083 34.067244516061294, -118.42173614496127 34.063725205476445, -118.42071710979727 34.06236187467268, -118.41990833150788 34.06102959276532, -118.42445705510153 34.057977936707616, -118.4248802353678 34.05858042067212, -118.42519869951794 34.061122340763355, -118.4261020773083 34.0622635258248, -118.42666229435854 34.063517175570354, -118.42727584451171 34.06399182707096, -118.42777855457919 34.065197992127125, -118.42887592446084 34.06691065389035)))",PPD 6
6,7,"MULTIPOLYGON (((-118.37205748705942 34.06368726280975, -118.3722221483151 34.06421027619935, -118.36134036215333 34.06297673977055, -118.36381511725313 34.05812252203427, -118.3752852620885 34.05947222108551, -118.37542737135689 34.059488666941775, -118.37558969506092 34.05948816223513, -118.37599535251589 34.05945312492205, -118.37597749099365 34.059993588780166, -118.37225401486688 34.06225119623159, -118.37205748705942 34.06368726280975)))",PPD 7
7,19,"MULTIPOLYGON (((-118.44305552233197 34.052499944012546, -118.44106282767525 34.053773762212224, -118.43791964332583 34.05013247477949, -118.44043723065136 34.0494380504731, -118.44305552233197 34.052499944012546)))",PPD 19
8,8,"MULTIPOLYGON (((-118.4843285028443 34.1649771761816, -118.47502487297957 34.165014081834535, -118.47492221685377 34.16498539324914, -118.47482038048446 34.16495475222753, -118.47471941710772 34.16492217388898, -118.47461938106431 34.164887676954805, -118.47452032560511 34.164851279249156, -118.47442230181164 34.16481299860487, -118.47432536079044 34.16477285736251, -118.47422955580176 34.16473087514977, -118.47413493686699 34.164687074311665, -118.47404155184336 34.16464147810349, -118.47394945293595 34.16459411156662, -118.47385868691671 34.16454499796081, -118.47376930166209 34.164494164147655, -118.47368134613775 34.16444163788621, -118.47359486496073 34.16438744514957, -118.47350990385243 34.164331615512594, -118.47342650852887 34.16427417764897, -118.47334472255186 34.16421516294517, -118.47326458839824 34.164154602792244, -118.4731861496238 34.16409252767541, -118.47310944763032 34.16402897079293, -118.47303452165497 34.16396396625317, -118.47296141201916 34.16389754816027, -118.47289015688493 34.16382975242994, -118.47282079440379 34.16376061317472, -118.47275336165748 34.163690167216124, -118.47268789247892 34.16361845228975, -118.4726244228747 34.163545507024374, -118.47256298667185 34.16347136825402, -118.47250361446365 34.163396076431574, -118.47244633900193 34.16331967019834, -118.47239119088438 34.163242190908576, -118.47182132390738 34.162296106322245, -118.47174011599847 34.16215337126017, -118.47165676258119 34.16201149376467, -118.47157127463613 34.161870496327104, -118.47148366748165 34.16173040142164, -118.47139395317201 34.16159122973226, -118.47130214703519 34.16145300553606, -118.47120826220419 34.161315748610996, -118.47111231615997 34.161179480521135, -118.47101432097082 34.16104422465467, -118.47091429301717 34.16090999987507, -118.47081224869956 34.16077682865207, -118.47070820440786 34.160644731652134, -118.47060217544721 34.16051372954606, -118.47049417820685 34.16038384300013, -118.47038423124458 34.1602550926725, -118.47027234985931 34.16012749833214, -118.47015855369267 34.160001080632746, -118.47004285912223 34.15987585843763, -118.46992528470427 34.15975185240463, -118.469618929711 34.15791496814785, -118.46930816034818 34.15673381932258, -118.4691090369009 34.156318163460575, -118.46903539248034 34.15594663960736, -118.46902472192882 34.15591387756277, -118.46901654069569 34.15588062353711, -118.46901088204969 34.15584700902673, -118.4690077662515 34.15581316647974, -118.46900720704973 34.15577922746784, -118.46900920519533 34.15574532631764, -118.46901375492746 34.15571159647926, -118.46902083637269 34.155678168752836, -118.46903042207684 34.15564517577076, -118.46904247480587 34.15561274659713, -118.46905694755591 34.15558100853066, -118.46907378355353 34.155550087104885, -118.46909291623544 34.15552010248176, -118.46911426926869 34.15549117305817, -118.46913776087332 34.15546341274428, -118.46916329839021 34.1554369291817, -118.46919078047509 34.15541182824251, -118.46922010031642 34.15538820770627, -118.46923336734011 34.155373901067414, -118.46924469456259 34.15535848494727, -118.46925394853379 34.15534214107385, -118.46926102188067 34.15532506008928, -118.46926583114849 34.155307443361416, -118.46926831894424 34.155289498467425, -118.46926845715966 34.15527143377228, -118.46926624374775 34.155253463850514, -118.46926170482631 34.15523579775795, -118.46925489361841 34.15521864354349, -118.46924589042194 34.15520220284013, -118.46901673603902 34.154341142133, -118.4842795908427 34.15653835154412, -118.4843285028443 34.1649771761816)))",PPD 8
9,9,"MULTIPOLYGON (((-118.50235392198111 34.23741443918047, -118.50103807287545 34.23741989377393, -118.50103725808354 34.23728413667444, -118.50103815753478 34.237278999571934, -118.50103907871184 34.237273865084084, -118.5010400216201 34.237268734112426, -118.50104098733424 34.23726360484944, -118.50104197586508 34.23725847909813, -118.50104298612708 34.23725335686303, -118.50104401920039 34.237248237238084, -118.5010450739995 34.23724312022785, -118.50104615052979 34.23723800673379, -118.50104724987673 34.23723289675141, -118.50104837204032 34.237227790280734, -118.50104951592968 34.23722268642475, -118.5010506815557 34.23721758698645, -118.50105186999285 34.23721249015831, -118.50105308016668 34.23720739774794, -118.50105431206624 34.23720230795218, -118.50105556678784 34.23719722256961, -118.501056843246 34.2371921416048, -118.50105814142991 34.23718706325462, -118.50105946243586 34.23718198931771, -118.50106080517834 34.23717691979844, -118.50106217073751 34.2371718537909, -118.5010635569477 34.23716679220554, -118.50106496597988 34.237161735033354, -118.50106639674327 34.23715668137741, -118.5010678492486 34.237151633040654, -118.50106932457044 34.237146588215545, -118.50107082054883 34.237141548714206, -118.50107233934382 34.237136512724526, -118.50107387988066 34.23713148205407, -118.50107544215409 34.23712645580129, -118.50107702616401 34.23712143396621, -118.50107863191587 34.237116417450345, -118.50108026048972 34.2371114053477, -118.50108190971999 34.23710639856873, -118.50108358068677 34.23710139620746, -118.5010852733954 34.23709639916543, -118.50108698893146 34.23709140743807, -118.50108872512398 34.23708642103442, -118.50109048305295 34.23708143904847, -118.50109226272922 34.237076463283245, -118.50109406414194 34.23707149193569, -118.50109588730201 34.23706652680884, -118.50109773111849 34.23706156700576, -118.50109959776223 34.23705661251733, -118.50110148506789 34.237051664254125, -118.50110339411536 34.23704672131012, -118.50110532490474 34.23704178368528, -118.50110727744136 34.2370368522812, -118.50110925063977 34.23703192710233, -118.50111124558005 34.23702700724266, -118.50111326118213 34.237022093608196, -118.50111529961696 34.23701718618993, -118.50111735762809 34.23701228500138, -118.50113117935734 34.23680161138094, -118.5012841046711 34.23649527065649, -118.50138867165515 34.236494837500565, -118.50138967312431 34.23666158252396, -118.50236001889932 34.23665061139453, -118.50235392198111 34.23741443918047)))",PPD 9
