,OBJECTID_1,OBJECTID,NAME,WADDRESS,DWEBSITE,DEMAIL,DPHONE,NC_ID,CERTIFIED,TOOLTIP,NLA_URL,SERVICE_RE,Sqmi,NC_Name,Population,Populati_1,White_pop,Black_pop,Ameri_es_p,Asian_pop,Hawn_pi_po,Hispanic_p,Other_pop,Multi_pop,Male_pop,Female_pop,Age_under5,Age_5_9,Age_10_14,Age_15_19,Age_20_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85_up,Median_age,Med_age_ma,Med_age_fe,Households,Avg_hh_siz,Househol_1,Hsehld_1_f,Marhh_chd,Marhh_no_c,Mhh_child,Fhh_child,Families,Avg_family,Housing_un,Vacant,Owner_occ,Renter_occ,Shape__Area,Shape__Length
0,1,1,LINCOLN HEIGHTS NC,http://www.lincolnheightsnc.org/,http://empowerla.org/LHNC,LHNC@EmpowerLA.org,213-978-1551,47,2002-04-27T00:00:00.000Z,LINCOLN HEIGHTS NC,navigatela/reports/nc_reports.cfm?id=47,REGION 8 - NORTH EAST LA,4.63754582743,LINCOLN HEIGHTS NC,6955.859137,7159.200312000001,2710.691071,509.3175246,68.78318136,1367.52974,4.92601872,4512.61238,2050.35234,244.25926119999997,3902.12365,3053.735486,410.49032880000004,382.5498278,442.8223585,665.8988687000001,614.2430847,1124.019528,1019.967309,915.8070791000001,640.8070037,396.3935497,245.86531150000002,96.99488866,3.148577617,3.007138654,3.2709128360000004,1720.9506829999998,0.27900066,161.53396850000001,180.5261495,429.3836907,327.88880839999996,73.33326052,203.8522699,1256.65478,0.324776151,1878.398476,157.4477929,614.6925514999999,1106.258131,0.0008028875208769999,0.13696534506240599
1,2,2,VOICES OF 90037, ,http://empowerla.org/VOICESOF90037,V9NC@EmpowerLA.org,213-978-1551,109,2008-06-16T00:00:00.000Z,VOICES OF 90037,navigatela/reports/nc_reports.cfm?id=109,REGION 9 - SOUTH LA 2,3.1807609067100002,VOICES OF 90037,3654.541521,3656.0204200000003,944.3817031,942.9585212000002,35.25379111,26.83936462,5.946105737999999,2617.696038,1540.153761,159.0082743,1809.3011,1845.2404199999999,315.32185760000004,285.06791,295.5165493,336.23749580000003,329.7026452,582.2433085,513.9867184999999,463.64507589999994,284.15277660000004,139.5224985,77.65154608,31.49313543,1.086450127,1.0435494840000001,1.133128472,957.1244412999998,0.135359197,79.29704173,96.38710595,245.277868,105.8506183,60.86564388,191.7968309,727.6675612,0.149758445,1039.541033,82.41659154,270.8098981,686.3145432,0.000551159617316,0.09634720942910001
2,3,3,LOS FELIZ NC,http://www.losfeliznc.org/,http://empowerla.org/LFNC,LFNC@EmpowerLA.org,213-978-1551,36,2002-06-11T00:00:00.000Z,LOS FELIZ NC,navigatela/reports/nc_reports.cfm?id=36,REGION 7 - EAST,13.3848188008,LOS FELIZ NC,1364.2308699999999,1369.691031,1001.40347,44.12542893,4.851485296,165.2663816,1.100834251,259.25868959999997,86.32620451,61.15706097,697.8531413,666.3777273,63.32055297,49.41599281,41.787937400000004,56.86979654,72.87137209,242.3986662,252.9975489,215.50844320000002,173.03243380000004,99.22868654,63.29211049,33.50732757,2.995586965,3.729789808,2.407973931,640.1254756,0.13337338199999998,131.6509461,116.4076937,81.51887345,127.74338440000001,14.24822016,26.12996859,293.8918657,0.161672325,685.7026724,45.57719679,288.04746,352.0780106,0.0023157235225429998,0.311623498172792
3,4,4,MISSION HILLS NC,http://mhnconline.org/,http://empowerla.org/MHNC,MHNC@EmpowerLA.org,213-978-1551,101,2005-04-19T00:00:00.000Z,MISSION HILLS NC,navigatela/reports/nc_reports.cfm?id=101,REGION 1 - NORTH EAST VALLEY,5.27901202904,MISSION HILLS NC,4362.890317,4410.00002,2265.29719,129.9692987,37.86357145,436.4713147,5.115838407,3035.970021,1303.71921,184.4539,2136.144521,2226.745797,284.77504289999996,288.4432633,297.3758643,361.7626717,325.5859596,621.4114248999999,596.2693956,567.3739012999999,432.68166799999995,256.1574582,188.5816619,142.47200569999998,2.375140987,2.28692585,1.919982605,1120.1191199999998,0.322149872,73.74688409,92.78597136,357.7042328,259.63509780000004,50.78800985,99.22054659,890.1556185000001,0.210512781,1173.49898,53.37985944,789.7119574,330.4071619,0.0009118183556889998,0.144986172971449
4,5,5,GREATER TOLUCA LAKE NC,http://www.gtlnc.org/,http://empowerla.org/GTLNC,GTLNC@EmpowerLA.org,213-978-1551,28,2002-09-10T00:00:00.000Z,GREATER TOLUCA LAKE NC,navigatela/reports/nc_reports.cfm?id=28,REGION 4 - SOUTH EAST VALLEY,2.19880393458,GREATER TOLUCA LAKE NC,6848.595829999999,6971.52561,5150.545718,405.4250139,32.30747238,549.4696043,7.069900723,1144.816315,383.7431585,320.03495860000004,3463.863548,3384.7322799999997,302.8168481,230.16278450000001,223.68632209999998,246.3681028,569.7914185,1562.14376,1296.98628,989.0084137,770.9897261,360.425995,196.7185574,99.49761819,4.174928284,4.158718489,4.192032446,3559.82253,0.214477102,775.0277007999999,795.28902,385.3048675,553.3712061000001,50.78843891,145.3934311,1341.3044300000001,0.297831621,4047.534933,487.7123987,1160.9355779999999,2398.8869600000003,0.000380306367106,0.12188016276045001
5,6,6,SOUTH CENTRAL NC, ,http://empowerla.org/SOUTHCENTRALNC,SouthCentralNC@EmpowerLA.org,213-978-1551,78,2003-06-24T00:00:00.000Z,SOUTH CENTRAL NC,navigatela/reports/nc_reports.cfm?id=78,REGION 9 - SOUTH LA 2,3.7906030403300006,SOUTH CENTRAL NC,4909.156364,5014.62075,2274.18039,450.9090444,39.06147144,417.6627544,1.835871779,2800.83588,1484.419223,241.08760890000002,2625.109926,2284.04644,280.55505330000005,249.85452030000002,264.8572041,986.6186226,560.1986089,776.0965962,713.5954272999999,525.746613,322.1127867,140.382928,62.03348893,27.10451477,3.173358013,3.2830792769999997,3.051761305,1332.70144,0.32830039699999997,327.23267000000004,145.5845983,247.1624582,141.14982990000001,58.72698951,110.4700582,645.2096738,0.36239935,1470.34626,137.644822,255.73629669999997,1076.96514,0.0006566634999669999,0.11674522664956599
6,7,7,SUNLAND-TUJUNGA NC,http://stnc.org/,http://empowerla.org/STNC,STNC@EmpowerLA.org,213-978-1551,10,2003-05-27T00:00:00.000Z,SUNLAND-TUJUNGA NC,navigatela/reports/nc_reports.cfm?id=10,REGION 1 - NORTH EAST VALLEY,17.514098209700002,SUNLAND-TUJUNGA NC,3333.872644,3365.5264079999997,2496.31813,96.36521839,14.93954101,349.31660739999995,2.507081711,674.9843684,244.5529042,129.8731634,1664.479215,1669.39343,128.7641351,133.2266817,199.5438239,218.52863440000002,189.53672509999998,383.22513349999997,378.5105833,664.7813832,578.2433647,281.30460560000006,129.2838905,48.92368337,7.943560006,7.812945328,8.150724781000001,1212.947402,0.472566175,143.5360576,149.0474897,272.3661582,408.1280396,25.75476675,45.40550163,846.8459108999999,0.499046724,1406.36415,193.4167458,924.4479764,288.49942569999996,0.003025377204267,0.304097881386903
7,8,8,,http://www.picounionnc.org/,http://empowerla.org/PUNC,PUNC@EmpowerLA.org,213-978-1551,76,2003-06-03T00:00:00.000Z,PICO UNION NC,navigatela/reports/nc_reports.cfm?id=76,REGION 6 - CENTRAL 2,2.34028268655,PICO UNION NC,3355.5882579999998,3374.6017799999995,1128.936776,144.0994061,38.10360287,480.77624349999996,3.305489474,2633.9177600000003,1407.205195,153.16154530000003,1696.2007879999999,1659.387471,244.8176273,223.787825,225.5429671,262.9365154,273.9435628,560.5189158,504.316748,441.7092797,318.5466024,171.9670826,93.03855495,34.46257731,1.272828169,1.230351177,1.32372334,1023.5379519999999,0.126827727,105.40189879999998,116.27285630000002,239.2150519,168.9034486,56.69657106,127.7998793,723.3897211,0.144406184,1099.720632,76.18268004,125.05408359999998,898.4838679999999,0.000405293026006,0.08542667829226401
8,9,9,FOOTHILL TRAILS DISTRICT NC,http://www.ftdnc.org/,http://empowerla.org/FTDNC,FTDNC@EmpowerLA.org,213-978-1551,9,2003-03-25T00:00:00.000Z,FOOTHILL TRAILS DISTRICT NC,navigatela/reports/nc_reports.cfm?id=9,REGION 1 - NORTH EAST VALLEY,28.382047361799998,FOOTHILL TRAILS DISTRICT NC,5962.868547,6053.54482,4286.9640229999995,186.71614230000003,61.24641635,501.38147689999994,7.543027221,1878.28235,722.0517531,196.9657079,2930.584092,3032.284455,298.4264725,312.7501361,391.85883870000004,416.7435893,392.2461457,672.9442412000001,723.7285307999999,1031.4813800000002,878.4475,437.47203279999997,268.6859021,138.0837768,5.975534625,5.920450499999999,6.066303464,1985.1667699999998,0.41943170799999996,219.4544549,221.28818450000003,506.95368219999995,598.6025749,50.69647777,103.05347590000001,1407.9950019999999,0.500877845,2143.720748,158.5539743,1524.26979,460.8969808,0.0049029810436420004,0.575606344489131
9,10,10,TARZANA NC,http://www.tarzananc.org/,http://empowerla.org/TNC,TNC@EmpowerLA.org,213-978-1551,17,2003-01-14T00:00:00.000Z,TARZANA NC,navigatela/reports/nc_reports.cfm?id=17,REGION 3 - SOUTH WEST VALLEY,11.577571922899999,TARZANA NC,6996.8404900000005,6931.478,5846.11937,172.6004799,7.753629697999999,413.3045812,5.806225671,650.1668634,226.07344019999996,325.1827639,3393.27461,3603.5658770000005,324.94863139999995,411.53785,477.6859228,431.0460903,306.77556880000003,568.7270467999999,836.2836652000001,1145.00798,1113.300124,722.4324105000001,463.8676948,195.2274981,4.563414078,4.604796027,4.535481229,2547.283637,0.240353142,191.8665074,258.82189,679.1370345,975.3670588,53.78353644,103.7188306,1986.3211,0.283392865,2649.8110100000004,102.5273686,2118.77805,428.50558330000007,0.002002329073775,0.19333073986366298
