,the_geom,meterArea,timeLimit,peakHour,meterHours,passLoad,noParking
0,"MULTIPOLYGON (((-118.24451945146426 34.051003286058915, -118.24478328261334 34.05097464360434, -118.24503344830083 34.0511348865603, -118.24506664642789 34.051353785849045, -118.24451945146426 34.051003286058915)))",100 W. 2ND ST,15,"TANS 7A-9A, 4P-6P xSS","9A-4P, 6P-8P MON-FRI, 8A-8P SAT",,
1,"MULTIPOLYGON (((-118.24500778886579 34.05047467802758, -118.24451945146426 34.051003286058915, -118.24448315538282 34.05078563218735, -118.2448586208128 34.05037920088087, -118.24500778886579 34.05047467802758)))",200 S. MAIN ST,120,,8A-8P X-SUN,,
2,"MULTIPOLYGON (((-118.24500778886579 34.05047467802758, -118.245721035886 34.04970259459075, -118.24585268809695 34.049560083219866, -118.24588651258773 34.0497804181295, -118.24587019712256 34.049798073430296, -118.24516699087894 34.05055929153128, -118.24500778886579 34.05047467802758)))",201 S. MAIN ST,120,TANS 4P-6P xSS,"8A-4P, 6P-8P MON-FRI, 8A-8P SAT",,3A-5A NIGHTLY
3,"MULTIPOLYGON (((-118.2461474445519 34.04994936407296, -118.24595766011049 34.04982648414147, -118.24588651258773 34.0497804181295, -118.24585268810502 34.049560085967705, -118.24607319507545 34.04970285023708, -118.24641189668372 34.049922156671116, -118.2461474445519 34.04994936407296)))",101 W. 3RD ST,120,,8A-8P X-SUN,,
4,"MULTIPOLYGON (((-118.24568935404186 34.051358466923745, -118.24578215055257 34.05125890691706, -118.2459409174399 34.05134408635491, -118.245827941286 34.05146529955212, -118.24568935404186 34.051358466923745)))",200 S. SPRING ST,30,"TANS 7A-9A, 4P-6P xSS","9A-4P, 6P-8P MON-FRI, 8A-8P SAT",,
5,"MULTIPOLYGON (((-118.24694467295731 34.05026711566979, -118.2459409174399 34.05134408635491, -118.24580233354541 34.05123725110225, -118.24668080534697 34.05029470499662, -118.24694467295731 34.05026711566979)))",200 S. SPRING ST,240,"TANS 7A-9A, 4P-6P xSS","9A-4P, 6P-8P MON-FRI, 8A-8P SAT",,
6,"MULTIPOLYGON (((-118.245827941286 34.05146529955212, -118.2456064735159 34.05170291598228, -118.24557322482184 34.051483063427504, -118.24566917098245 34.051380119971995, -118.245827941286 34.05146529955212)))",200 S. SPRING ST,120,"TANS 7A-9A, 4P-6P xSS","9A-4P, 6P-8P MON-FRI, 8A-8P SAT",,
7,"MULTIPOLYGON (((-118.24675634957818 34.048591875184165, -118.24719425394557 34.048122531210616, -118.24722821923606 34.04834147777318, -118.2469049571766 34.04868794740961, -118.24675634957818 34.048591875184165)))",301 S. MAIN ST,240,TANS 4P-6P xSS,"8A-4P, 6P-8P MON-FRI, 8A-8P SAT",,2A-5A NIGHTLY
8,"MULTIPOLYGON (((-118.24746937312459 34.04970385785849, -118.24783654650726 34.04930970075272, -118.24798524547549 34.04940567804219, -118.24762816179754 34.04978900479785, -118.24746937312459 34.04970385785849)))",301 S. SPRING ST,15,,8A-8P X-SUN,,2A-5A NIGHTLY
9,"MULTIPOLYGON (((-118.2482930452925 34.04881964514249, -118.24802780406623 34.04884877630381, -118.2476285516064 34.04859672584839, -118.24728326057225 34.04837657076105, -118.24722821923606 34.04834147777318, -118.24719425394557 34.048122531210616, -118.24739767699478 34.04825222618281, -118.24774272968811 34.04847223029744, -118.2482930452925 34.04881964514249)))",101 W. 4TH ST,120,"TANS 7A-9A, 4P-6P xSS","9A-4P, 6P-8P MON-FRI, 8A-8P SAT",,3A-5A NIGHTLY
10,"MULTIPOLYGON (((-118.24825848774927 34.04860124965941, -118.24936183112536 34.047417912203194, -118.24962649843597 34.04738950747493, -118.2482930452925 34.04881964514249, -118.24825848774927 34.04860124965941)))",400 S. SPRING ST,120,"TANS 7A-9A, 4P-6P xSS","9A-4P, 6P-8P MON-FRI, 8A-8P SAT",,2A-5A NIGHTLY
11,"MULTIPOLYGON (((-118.2490269804529 34.048032504492724, -118.24962649843597 34.04738950747493, -118.24965977900716 34.047609273638386, -118.24917562587083 34.04812853812419, -118.2490269804529 34.048032504492724)))",401 S. SPRING ST,120,,8A-8P X-SUN,,2A-5A NIGHTLY
12,"MULTIPOLYGON (((-118.2493295073021 34.04583839986203, -118.24959904667291 34.04558361300092, -118.24992514949301 34.04527535587153, -118.24994774543813 34.045490992017676, -118.24974025698269 34.04568712724424, -118.24947449994711 34.04593833712706, -118.24879764100376 34.04666256584378, -118.24853286293656 34.04669078762715, -118.2493295073021 34.04583839986203)))",501 S. MAIN ST,120,,8A-8P X-SUN,,2A-5A NIGHTLY
13,"MULTIPOLYGON (((-118.24850016243565 34.046470703971416, -118.24918099739129 34.045742223270196, -118.2493295073021 34.04583839986203, -118.24853286293656 34.04669078762715, -118.24850016243565 34.046470703971416)))",500 S. MAIN ST,120,,8A-8P X-SUN,,2A-5A NIGHTLY
14,"MULTIPOLYGON (((-118.24917932840756 34.04690656166917, -118.24907777889462 34.047039130497254, -118.24853286293656 34.04669078762715, -118.24879764100376 34.04666256584378, -118.24917932840756 34.04690656166917)))",100 W. 5TH ST,30,"TANS 7A-9A, 3P-7P xSS","9A-3P MON-FRI, 8A-8P SAT",,2A-5A NIGHTLY
