,ASSETID,the_geom,INT_ID_FRO,INT_ID_TO,STNUM,MAPSHEET,ID,ADRF,ADRT,ZIP_R,ADLF,ADLT,ZIP_L,TDIR,STNAME,STSFX,SFXDIR,STNAME_A,STSFX_A,SECT_ID,SHAPE_Leng,SYMBOL,STREET_DES,PLANNING_S,TOOLTIP
0,168,"MULTILINESTRING ((-118.25857648065353 33.96378618833287, -118.2585756249282 33.96287979028776))",4176,4259,1736,099B209,7392,8301,8399,90001,8300,8398,90001,S,WADSWORTH,AVE,,,,5776100,329.857817645,4,Local Street,,WADSWORTH AVE  \nStreet Designation: Local Street
1,169,"MULTILINESTRING ((-118.28694473349576 33.935598446544574, -118.28936514210336 33.93558530396101))",4299,1843,959,088-5A199,7417,701,799,90044,700,798,90044,W,110TH,ST,,,,6773300,734.20905109,4,Local Street,,110TH ST  \nStreet Designation: Local Street
2,170,"MULTILINESTRING ((-118.36035049621411 34.02762689581892, -118.36064926033927 34.02687007050728))",4373,4390,7854,120B177,7460,2901,2929,90016,2900,2928,90016,S,COCHRAN,AVE,,,,1229900,289.919481058,4,Local Street,,COCHRAN AVE  \nStreet Designation: Local Street
3,171,"MULTILINESTRING ((-118.34419638497438 34.02149410750542, -118.34419621802603 34.0208804995421, -118.34419549959522 34.01824991086911))",4465,4488,3463,117B181,7585,3601,3799,90016,3600,3798,90016,S,POTOMAC,AVE,,,,4363900,1180.62842936,4,Local Street,,POTOMAC AVE  \nStreet Designation: Local Street
4,172,"MULTILINESTRING ((-118.24926797298183 33.93025035439751, -118.24927675666909 33.92946893882946))",4078,4117,2412,084B209,7015,11501,11599,90059,11500,11598,90059,S,SUCCESS,AVE,,,,5149200,284.387153055,4,Local Street,,SUCCESS AVE  \nStreet Designation: Local Street
5,173,"MULTILINESTRING ((-118.29289426380642 33.96439208561086, -118.29587853298774 33.96439025727752))",4149,4159,1004,099B197,7049,1001,1199,90044,1000,1198,90044,W,82ND,ST,,,,6671000,904.920926887,4,Local Street,,82ND ST  \nStreet Designation: Local Street
6,174,"MULTILINESTRING ((-118.3781887185072 34.019216868325024, -118.37886637656386 34.01926921711618, -118.37887509064097 34.01926997405553, -118.37887909217442 34.01927041375061, -118.37888307847255 34.01927090501596, -118.37888705476286 34.01927146357832, -118.3788910192813 34.01927207942488, -118.37889496683918 34.01927274541606, -118.37889890437626 34.019273475841906, -118.37890282495293 34.01927425641229, -118.37890672861445 34.01927509714542, -118.37891061188454 34.01927598946509, -118.37891447827838 34.01927695053455, -118.37891832254263 34.019277958902386, -118.37892214472909 34.019279026018005, -118.37892594482487 34.0192801490191, -118.37892972452924 34.01928132360672, -118.37893347526148 34.019282552670184, -118.37893720392248 34.01928384191265, -118.37894089497887 34.019285177070905, -118.37894456397048 34.01928657383927, -118.37894820050721 34.01928801507619, -118.37895180807833 34.019289512220126, -118.37895538324639 34.019291065281884, -118.37895892598549 34.019292668536806, -118.37896243456397 34.019294319128036, -118.3789659107329 34.019296024205886, -118.3789693493232 34.01929778092431, -118.37897274859016 34.019299583563956, -118.37897610855323 34.019301436418424, -118.37897943093765 34.019303340913396, -118.37898271397935 34.01930528703621, -118.37898487534702 34.01930662270209))",4479,4624,8609,117B173,7762,5965,5999,90016,5964,5998,90016,W,BOWCROFT,ST,,,,0677300,245.13456378700002,4,Local Street,,BOWCROFT ST  \nStreet Designation: Local Street
7,175,"MULTILINESTRING ((-118.31382147578232 34.00188797756547, -118.31382292598614 34.00098901796842))",4883,4890,6240,111B189,8129,4601,4699,90062,4600,4698,90062,S,GRAMERCY,PL,,,,2291200,327.150137042,3,Collector Street,,GRAMERCY PL  \nStreet Designation: Collector Street
8,176,"MULTILINESTRING ((-118.31601040765491 34.0036956360305, -118.31601600275262 34.00005611094857))",4897,4898,7935,111B189,8137,4401,4799,90062,4400,4798,90062,S,CIMARRON,ST,,,,1162200,1324.49890035,4,Local Street,,CIMARRON ST  \nStreet Designation: Local Street
9,177,"MULTILINESTRING ((-118.29803562760324 34.00991725862475, -118.2980359056915 34.00905123355082))",4773,4782,3311,114B197,7981,4051,4099,90037,4050,4098,90037,S,RAYMOND,AVE,,,,4452700,315.164146539,4,Local Street,,RAYMOND AVE  \nStreet Designation: Local Street
10,178,"MULTILINESTRING ((-118.29908704315093 34.007324673788915, -118.29962085074656 34.00732572987885, -118.30017646634268 34.00732682669278))",4797,4796,1072,114B197,8013,1331,1399,90037,1330,1398,90037,W,42ND,ST,,,,6519800,330.177648687,3,Collector Street,,42ND ST  \nStreet Designation: Collector Street
11,179,"MULTILINESTRING ((-118.30891343741025 34.00815607899895, -118.30891352613882 34.00727063450563))",4803,4804,1610,114B193,8022,4163,4199,90062,4162,4198,90062,S,WESTERN,AVE,,,,5894900,322.231292979,1,Major Highway - Class II,,WESTERN AVE  \nStreet Designation: Major Highway - Class II
