,OBJECTID,the_geom,LeftFrom,LeftTo,RightFrom,RightTo,LParity,RParity,PreDir,PostType,PostDir,LeftZip,RightZip,LLegalCom,RLegalComm,AddrName,ZIPC,PCITY1,PCITY2,PCITY3,Shape_Leng
0,1,"MULTILINESTRING ((-118.28786443193121 33.74602826825203, -118.28786956512455 33.7451266357491, -118.28787130225184 33.744673583088726, -118.28787466298411 33.74421504362142, -118.28787975630274 33.74330310364068, -118.28788387677021 33.74258523837394, -118.28788488790752 33.742400789949826, -118.28788656601998 33.74193056394656, -118.28788835150776 33.741492293340904, -118.28789347747632 33.740586191773936, -118.2878985462702 33.73966911104194, -118.287903566322 33.73921468329389, -118.28790533713877 33.738770917324075, -118.28790721302491 33.738358747941305, -118.28790880288001 33.73786378335069, -118.28790890603516 33.73741452498863, -118.28791062642524 33.736957014026196, -118.28791573747071 33.73604954369591, -118.28791746368339 33.73559375017324, -118.2879192286226 33.73514894321076, -118.28792256515773 33.73468353406354, -118.28792430667502 33.73423253839461, -118.28793425225479 33.733775704817724, -118.28793274022901 33.73333468942336, -118.28793278062321 33.73286653509545, -118.2879344772663 33.73240216314834, -118.28793555642004 33.73223762182128, -118.28793621985608 33.73195151290074, -118.28793796448338 33.73150051830348, -118.2879413372904 33.731045761472814, -118.28794309976651 33.73060061584277, -118.28794820301489 33.72969108732925, -118.28795325517468 33.72924627738497, -118.28795504622161 33.72878998382078, -118.2879550685117 33.728336411649515, -118.28795676608986 33.72787237536423, -118.2879667146152 33.72741793117905, -118.28796846364897 33.726967982610866, -118.28797190107701 33.72605261863341, -118.28797375054185 33.7251530547013, -118.28797722190315 33.72424731171612))",201,223,200,224,Odd,Even,N,AVENUE,,90731.0,90731.0,LOS ANGELES,LOS ANGELES,PACIFIC,90731.0,TERMINAL ISLAND,SAN PEDRO,FORT MACARTHUR,7926.87958907
1,2,"MULTILINESTRING ((-118.24519611113337 33.780933585765915, -118.24548891701379 33.780914439544176, -118.24602190183037 33.7808796845765, -118.24640683122522 33.780854510536635, -118.24678025535346 33.78083382402317, -118.24745965917903 33.780796364409696, -118.24814234981889 33.78075855161189, -118.24838417082675 33.780744999932246, -118.24936955017581 33.7806907553763, -118.24944028662654 33.78068682969287, -118.2500055708326 33.780655641253404, -118.2503006406668 33.78063936254637, -118.25070202984257 33.78061723181176, -118.25143571447964 33.780576544514055, -118.2520361514353 33.78054334658061, -118.2525082769355 33.780517281669134, -118.25326828033204 33.780475155890834, -118.25333079100308 33.7804715887022))",1229,1299,1218,1298,Odd,Even,E,STREET,,90744.0,90744.0,LOS ANGELES,LOS ANGELES,ANAHEIM,90744.0,WILMINGTON,,,2477.82457536
2,3,"MULTILINESTRING ((-118.26957844533251 33.740086282869605, -118.26899139613248 33.7390722900735, -118.26826745715675 33.737777041467794))",700,774,701,775,Even,Odd,S,STREET,,90731.0,90731.0,LOS ANGELES,LOS ANGELES,TUNA,90731.0,TERMINAL ISLAND,SAN PEDRO,FORT MACARTHUR,930.161323683
3,4,"MULTILINESTRING ((-118.22475885867561 33.792299231287515, -118.22477014736262 33.79221334147806, -118.22481037085237 33.79187185139526, -118.22483119020771 33.79165816931653, -118.22487768612555 33.79120091648138, -118.2248889690209 33.79111296583377, -118.22498562620021 33.79033996587723, -118.22503866284598 33.78986793051031, -118.22504822239749 33.78975147557426, -118.22514343763315 33.789055072293024, -118.22519150381625 33.788571368987775, -118.2252626509496 33.78810411019503, -118.22531420500998 33.787694246537804, -118.22533509658923 33.7875087310772, -118.22533993159213 33.78747059543024, -118.22534797429185 33.78740188542948, -118.22543160374487 33.786682147528055, -118.2254541634455 33.78650487233867, -118.2254897026643 33.786259220474605, -118.22552045314266 33.786068534427116, -118.22553017141746 33.786011155951016, -118.22555449720447 33.785878530055946, -118.22560645747522 33.785620824892916, -118.22565689655539 33.785409836921005, -118.22568617551222 33.78528406941358, -118.22573346138229 33.785123579001414, -118.22576447312179 33.785030782695344, -118.22585759188799 33.78478158801908, -118.22588538841292 33.78471696173453, -118.22607848330001 33.784323319921754, -118.22613247611085 33.78420987189142, -118.2261881045716 33.784093672066774, -118.22627322173517 33.783929674726444, -118.2263796709116 33.783743998316, -118.22640918632263 33.78370650407788, -118.22645338015664 33.78362089578085, -118.22654020934507 33.78348196778077, -118.22659919530518 33.7833904934277, -118.22667949473124 33.783270469623886, -118.22678930695 33.78311260706768, -118.22682044858065 33.78306858274931, -118.22746789873635 33.782159212581874, -118.22752690632743 33.782075636757526, -118.22772685185012 33.78178674008246, -118.22797104618007 33.78143318428496, -118.22805135297295 33.781317282170576, -118.22856439920936 33.780605658626726, -118.2288347604098 33.780196752946985, -118.2291461287468 33.7797438047966, -118.22931494964612 33.77950785805229, -118.22941986593601 33.77936820752655, -118.22956579518956 33.77918520092654, -118.2296609143976 33.77907270245443, -118.22979869812185 33.778919594290976, -118.22996440179105 33.778748570164225, -118.2300497254962 33.778664600279015, -118.23019249930516 33.778531400942164, -118.23031888895841 33.778423308220084, -118.23046336160738 33.77831071557862, -118.23066369135827 33.77816778999553, -118.2308328486442 33.778056866077286, -118.23101680118405 33.777942136211074, -118.23122049028484 33.77782565078183, -118.23145706109813 33.777700171452075, -118.23165586772319 33.77760224229026, -118.23181525619066 33.77753014839515, -118.2320075331528 33.77745146579099, -118.23223270378327 33.77736928467764, -118.23249406234602 33.77728462802892, -118.23269626755837 33.7772268779834, -118.23288533818656 33.77717945633972, -118.2330760739786 33.77713889975962, -118.23331780189856 33.777095154580394, -118.23357763945552 33.777055838039374, -118.23374046226309 33.777035599554125, -118.23391973997877 33.777016703670505, -118.2340677757385 33.777003708242155, -118.23427996915034 33.77698921207417, -118.23468792417901 33.776966091521494, -118.23619793415236 33.7768542565329, -118.23644470955932 33.77685068076276, -118.23652530889647 33.77684468424785, -118.23660754278693 33.77683490444515, -118.23672101452411 33.776817507622326, -118.23712554639928 33.77674870344968, -118.23723736126331 33.77672650076304, -118.2373902615999 33.776689104079104, -118.23761055721867 33.776631308290774, -118.23773384258486 33.77659293920477, -118.23803625338978 33.77648346017611, -118.23825810170001 33.77639303097102, -118.23848812688928 33.776285067965134, -118.23866390740703 33.77619438490399, -118.23883309011474 33.77609787741753, -118.23886460457709 33.77607760759305, -118.23898910102183 33.7759979593009, -118.23908925699291 33.775926661213134, -118.23917462154682 33.77586123149813, -118.23925669067383 33.775794090901776, -118.23936008249906 33.775704581117274, -118.23941526699956 33.77565307101951, -118.23949134953811 33.775581699678014, -118.23963734634513 33.77543234125051, -118.23980462127159 33.77524447023422, -118.23992924728829 33.775100992193785), (-118.2245825054847 33.792194111789605, -118.22459997104524 33.79195673803322, -118.22463866451474 33.791658185237736, -118.22471932047597 33.79105317451908, -118.22475322363897 33.790809931016774, -118.22485031361559 33.790197332242144, -118.22489878804167 33.78986510062438, -118.22490523648388 33.78981528562868, -118.2249405947551 33.78950059572802, -118.22500304331014 33.78885714982053, -118.22505165266607 33.78857575130848, -118.2250577426298 33.78839232439513, -118.22516897010402 33.78753171035227, -118.22519311150563 33.78733038990627, -118.22521725815629 33.787131471069166, -118.2252236860799 33.78707375619307, -118.2252494440546 33.786861783203875, -118.22526238798325 33.78678001110326, -118.22530267971104 33.786465657259484, -118.22534476593023 33.78620694114921, -118.22536751198803 33.78609904752107, -118.22538541678847 33.786026539943315, -118.22540005751004 33.78596399924044, -118.22543425125349 33.785829636618914, -118.22544555037294 33.785748211965156, -118.2255499981562 33.78542892746259, -118.22563484552654 33.78516360603921, -118.22571322076587 33.784939170179406, -118.22579328269457 33.78472984309201, -118.22597320015416 33.78433107404554, -118.2260304069144 33.784189455111466, -118.22608439600089 33.784074632311786, -118.22624318215647 33.78377276330627, -118.22636601787619 33.78356266941847, -118.22641517289954 33.78348598214616, -118.22649544471638 33.78335599595108, -118.22667569292182 33.78308122050285, -118.22668552493703 33.78306677605729, -118.22684122381382 33.78284047740755, -118.2270035073704 33.782616911236055, -118.22731984851237 33.7821697964902, -118.22758209201929 33.781796974614714, -118.22783122356059 33.781444441092106, -118.22842290283991 33.78060592721691, -118.22876870823717 33.78010894904325, -118.22887852377494 33.7799548637446, -118.22908991947843 33.77964464677943, -118.22921612369751 33.779467517202804, -118.22929481150231 33.77936295111828, -118.22940302381075 33.77922535517733, -118.22958177168822 33.77901068546555, -118.22968018670005 33.77890058591646, -118.22981307194475 33.778761224258176, -118.229941058622 33.77863561168909, -118.23006578184737 33.77851962160355, -118.23025617612248 33.778353359429836, -118.23038421619292 33.7782476678044, -118.23053033666125 33.778135757977736, -118.23073066682471 33.77799317575893, -118.23086040672455 33.77790774535788, -118.23105914619185 33.77778577320447, -118.23122177139008 33.77769306722448, -118.23141727427794 33.77759102221002, -118.23156022128396 33.777522052432374, -118.23173440281153 33.77744409202357, -118.23194311461197 33.7773598822921, -118.23209267956408 33.777304980675986, -118.23227677713498 33.777243487130065, -118.23250855924852 33.777172628297144, -118.23272556168499 33.77711141397406, -118.23289984026435 33.77706951649571, -118.23312346405856 33.77702305713764, -118.23330106051125 33.77699076993323, -118.2334145328955 33.77697406317623, -118.23377307307064 33.77693008960462, -118.23571239633475 33.7767851395612, -118.23656118321699 33.77673126541288, -118.23667632339519 33.77672176526291, -118.23678980767424 33.776708490944095, -118.23698385604537 33.776677195459, -118.23709731390882 33.77665498966779, -118.23722391596918 33.77662657622866, -118.237301176157 33.77660306678039, -118.23742115251947 33.77655886547488, -118.23753788012367 33.77652943985756, -118.23787153158968 33.77641303010123, -118.23813775280468 33.77630568227614, -118.23835629559473 33.77620976384143, -118.23849758327782 33.77613941521046, -118.23860764035678 33.77607840303579, -118.23864376846093 33.776054974256525, -118.23867497265492 33.776035677823536, -118.2388068100449 33.7759526101705, -118.23881785035663 33.77594574672635, -118.23894427965998 33.775857222912336, -118.23901815818252 33.775802464715156, -118.23912485359267 33.77571672769195, -118.23924957633226 33.775606910640185, -118.23927947026128 33.775577975034054, -118.23943333868722 33.77543102986711, -118.23955800756946 33.77530300936898, -118.23969411705349 33.775147829688834, -118.2397564046813 33.775066989175315, -118.23982848949609 33.77496105638817), (-118.23992924728829 33.775100992193785, -118.23989623942722 33.775064994086144, -118.2398797219113 33.77504167075386, -118.23984668062621 33.774994337146616, -118.23982848949609 33.77496105638817), (-118.23982848949609 33.77496105638817, -118.23992678520099 33.77481557087117, -118.24001685173242 33.77466907126312, -118.24007583645489 33.7745844580558, -118.24012164994116 33.77449609378163, -118.24020503976496 33.77431628945238, -118.24025076725023 33.77419872999159, -118.24032897221552 33.77393203694752, -118.24037449689743 33.77374303520866, -118.24040689338487 33.77356642475141, -118.24041978321412 33.77347125664492, -118.24042616806048 33.77340289252127, -118.2404323147218 33.77325175068638, -118.24043207566223 33.77316828693064, -118.24042467078158 33.7728801268663, -118.24041601321747 33.77272935808761, -118.24038032740049 33.77233168536122, -118.2401922307739 33.77041478469935, -118.24015517498194 33.770112943129384, -118.23977637609994 33.76708425232287, -118.2397746958529 33.767071547135146, -118.2397612785139 33.76698192717139, -118.23949133784973 33.76519776985695, -118.23948799779559 33.76518060281166, -118.23928852543783 33.763876828647895, -118.23917957324299 33.76316433538173, -118.23887781253607 33.761172439340164, -118.23887446798332 33.76115321145489, -118.23881412647611 33.76075833563317, -118.23877726550771 33.76052175455113, -118.238773917099 33.760501153679485, -118.23863478276795 33.75958400899493, -118.2384145040301 33.758473651269114, -118.23852626286455 33.7584407926108), (-118.23992924728829 33.775100992193785, -118.24000786658644 33.77497855860542, -118.24014218401346 33.77477289307958, -118.24017161445181 33.77470894814297, -118.24029756555495 33.77445452579705, -118.24034333536972 33.7743513921333, -118.24042338889119 33.774156137975446, -118.24049195954747 33.77397189878988, -118.24051805384066 33.77389215972326, -118.24055386451622 33.7737584766794, -118.24057996459064 33.77368079843521, -118.24059574083051 33.773445143580226, -118.24060353351699 33.77329365587217, -118.24060779950268 33.7730600839795, -118.24060243089214 33.77290896516097, -118.24058691582944 33.77266169475548, -118.24053804349286 33.77225580595681, -118.24035503212784 33.77039247735535, -118.24033285225515 33.77011568064018, -118.24031919017148 33.76994019267295, -118.2402752017743 33.769515745668656, -118.24023470269968 33.76915998561155, -118.24019768947667 33.768873258680536, -118.2401473629531 33.76853228852168, -118.24006157624783 33.76787195829945, -118.23993585562322 33.76705267836511, -118.23992245382122 33.76696855397092, -118.23965602920046 33.76526476379262, -118.23964095562178 33.76517068287778, -118.23950021289976 33.76427277631313, -118.2393275044462 33.763123510490495, -118.23902414621526 33.761149823001745, -118.23898730784701 33.76092182876579, -118.23898059916127 33.76087650447024, -118.23892539165944 33.76055100019316, -118.23878115086758 33.75957444578028, -118.23864295113593 33.758406906274))",0,0,0,0,Even,Even,,FREEWAY,,90744.0,90744.0,LOS ANGELES,LOS ANGELES,103,90744.0,WILMINGTON,,,29780.9752554
4,5,"MULTILINESTRING ((-118.24519611113337 33.780933585765915, -118.24424987230955 33.78099513704806, -118.24368531559392 33.78103185747991, -118.24275986162601 33.78109205048464, -118.24173337729331 33.781159032031226))",1487,1599,1482,1598,Odd,Even,E,STREET,,90744.0,90744.0,LOS ANGELES,LOS ANGELES,ANAHEIM,90744.0,WILMINGTON,,,1055.49788559
5,6,"MULTILINESTRING ((-118.27441629979363 33.7822660473428, -118.27429786377238 33.780763960852354, -118.27422407839944 33.77983433990661, -118.27422061382057 33.779780088696846, -118.27414681398747 33.77935090970136, -118.2740661029286 33.77831517452208, -118.27403349529052 33.777902034240896, -118.27397680881056 33.7771685040256, -118.27392017710747 33.77645145600749, -118.27386514454678 33.77572032283631, -118.27384639076435 33.775519093889415, -118.27380770195263 33.77506782833727, -118.27380188706904 33.77498955009413, -118.27379479458861 33.774892905628995, -118.27374027820832 33.77426015565401, -118.27368856073328 33.77362608224174, -118.27368036225182 33.7735427573777, -118.2736761143691 33.773430171402914, -118.27361876998904 33.7728171430044, -118.2735605618527 33.77211966965809, -118.2734921237683 33.771311978732825, -118.27343731759221 33.77064816724534))",405,427,404,426,Odd,Even,,BOULEVARD,,90744.0,90744.0,LOS ANGELES,LOS ANGELES,WILMINGTON,90744.0,WILMINGTON,,,4239.02354749
6,7,"MULTILINESTRING ((-118.26176065681491 33.77128653590753, -118.26241365709538 33.77125008771308, -118.26304198445654 33.77121505478127, -118.26370156403385 33.77117823453198, -118.263866043532 33.77116895003198, -118.26435950116982 33.77114278727033, -118.26558491034422 33.771077576295944, -118.26565892815238 33.77107363562956, -118.26630535336304 33.77103924257469, -118.26694354923643 33.77100518884177, -118.26761464555521 33.77096969459458, -118.26827258052442 33.77093457662728, -118.26868379237575 33.770912692100715, -118.26892886869442 33.77089910084355, -118.26956706129333 33.77086366832052, -118.27085824422049 33.77079173210073, -118.27217574528895 33.77071834681262, -118.27343731759221 33.77064816724534, -118.2737536132905 33.770630530562116, -118.2747663264903 33.77057403959589, -118.27606737209895 33.7705016814862, -118.27672693819326 33.7704647898658, -118.27726808186227 33.770434701623294, -118.2773733429059 33.77042757968429, -118.27762828099493 33.77041084048351, -118.27801312339744 33.77037698673073, -118.27823514700317 33.77035723911175, -118.27852955671355 33.77033766616403, -118.27867760231034 33.77033321169419))",118,198,119,199,Even,Odd,,BOULEVARD,,90744.0,90744.0,LOS ANGELES,LOS ANGELES,HARRY BRIDGES,90744.0,WILMINGTON,,,5153.459120699999
7,8,"MULTILINESTRING ((-118.27950781314684 33.77905658053394, -118.27947180569984 33.778619076329946, -118.27944778417144 33.778322368976745, -118.27943576540149 33.77817126707244, -118.27943233777127 33.778130403333876, -118.27943037130538 33.778034239469136, -118.27943155701801 33.77789684680827, -118.27943622046467 33.77781440113687, -118.27944422924509 33.77774842998079, -118.27944902305904 33.77770514914529, -118.27948129192542 33.777514432213586, -118.27949244379744 33.77740518675878, -118.2794989801747 33.7773165785365, -118.2795066115162 33.777213150578596, -118.27950807269588 33.777158200242866, -118.27951131728283 33.777144095820276, -118.27951885722376 33.776938342357, -118.27951867549342 33.776884417247324, -118.27951821671276 33.77674599709913, -118.27951460281348 33.77664983888184, -118.27950079461216 33.7764544203148, -118.27949559487888 33.77637543951804, -118.27948202258702 33.7762518201417, -118.27947196958138 33.776197573580625, -118.2794486702782 33.776117598974444, -118.27940055697657 33.77599714564361, -118.27939225546915 33.775974157518604, -118.27931601743374 33.77580705688046, -118.2791934740628 33.77556622647869, -118.27918186980781 33.775540148419, -118.27912223862153 33.7754190401621, -118.27904762840326 33.77524574764113, -118.27895157518462 33.77505535177848, -118.27891512554444 33.77497883329001, -118.27888196512068 33.774901292973674, -118.27881889266774 33.77473416695293, -118.27880727510986 33.774704664061794, -118.27875574430732 33.77454540758777, -118.2786974538141 33.77433121531883, -118.27864734130776 33.77410152790664, -118.27859703364354 33.77381588342518, -118.27857167468761 33.773610886899206, -118.27856464358398 33.77347385231399, -118.27856568482775 33.77329284332107, -118.2785651901809 33.77314378642876, -118.27856802668956 33.773006386441416, -118.27859005816077 33.77220947546406, -118.2785932116139 33.77216824761881, -118.27860028722546 33.77182269590175, -118.27860459550963 33.77163341977101, -118.27863394538768 33.771058723560515, -118.27864153345558 33.77086601051926, -118.27865242248112 33.770705159940285, -118.27867760231034 33.77033321169419))",401,499,400,498,Odd,Even,,STREET,,90744.0,90744.0,LOS ANGELES,LOS ANGELES,FIGUEROA,90744.0,WILMINGTON,,,3221.98228564
8,9,"MULTILINESTRING ((-118.28797722190315 33.72424731171612, -118.2874740876657 33.72424508132719, -118.28740503540739 33.724246619314705, -118.28684928366484 33.72424348069678, -118.2863034041137 33.72424237684911, -118.28623927026396 33.724239438223236, -118.28606991652262 33.72423881156857, -118.2857904234313 33.72424531403542, -118.28576905250088 33.724246396124514, -118.2856424699941 33.724252878367345, -118.28544687360332 33.72427189106605, -118.28542222119707 33.72427469733999, -118.28523486071846 33.72429781001616, -118.2852220710203 33.724299815532795, -118.28512147008338 33.72431559591579, -118.28505739101004 33.724328800627696, -118.28499497116732 33.724346122140105, -118.28483894571305 33.724398012528695, -118.2845783223247 33.72447003103155, -118.28455312289749 33.72447699344409, -118.28344093568641 33.72475613056869, -118.28210746396175 33.725114747228154, -118.2810237699628 33.72540617639715, -118.28012571818041 33.725647676591805, -118.27971846745962 33.72575198506412, -118.27810190215142 33.726164457042714, -118.27784561771288 33.72622996641596, -118.27719833309554 33.72639563945045, -118.27691078759277 33.72645537802984, -118.27676784477227 33.72648799067677, -118.27664298742341 33.72652092036214, -118.27636373007043 33.7266012451073, -118.27593002903879 33.72671627709781, -118.27501502516083 33.72697528968031, -118.2748441835203 33.72702375723267, -118.2741558770334 33.72721802211581))",421,423,420,422,Odd,Even,W,STREET,,90731.0,90731.0,LOS ANGELES,LOS ANGELES,22ND,90731.0,TERMINAL ISLAND,SAN PEDRO,FORT MACARTHUR,4368.79115462
9,10,"MULTILINESTRING ((-118.26435950116982 33.77114278727033, -118.2643088353954 33.77048603413196, -118.26424801840086 33.76969768867138, -118.26421207395786 33.769253654483556, -118.26413108666964 33.76808773550823, -118.26410377286359 33.767772142683555, -118.26406455830727 33.76733395390443, -118.26405594637193 33.76721100905656, -118.26403226994752 33.767005663468176, -118.26402365485042 33.766882030780785, -118.26402322383832 33.7667449855524, -118.26403098550486 33.76659727285324, -118.26403560620393 33.76649731355389, -118.26405327248014 33.76636091467528, -118.26406622082847 33.766293221868715, -118.26408410202664 33.76622551733595, -118.26409219958289 33.76618462705206, -118.26409860781688 33.7661303431824, -118.26409673697884 33.7660585612034, -118.26407475764375 33.76586969868731, -118.26407290195596 33.76580306788688, -118.26405753190626 33.76562346467204, -118.26404888342127 33.76548815396492, -118.26388560506354 33.76326073517357, -118.2637540576096 33.76170577184499, -118.26370620454773 33.76113467876965, -118.26369414536802 33.76096124999829, -118.2636924001295 33.76092896637946, -118.2636922857545 33.7608358500603, -118.26368709866593 33.76069502543345, -118.26369309461 33.76062670788157, -118.26370279356294 33.76057241866594, -118.26372392371104 33.76049131073725, -118.2637516377299 33.7604122519238, -118.26377450549352 33.76036102330314, -118.2638235793004 33.760274016856094, -118.26392017349454 33.760129202584736, -118.2639955058472 33.76002290394744, -118.26403155082436 33.75997714195368, -118.26411022885908 33.759889040017065, -118.26423156996599 33.759768215255306, -118.26493316990167 33.75900209830262, -118.26632321189047 33.75748293340349))",238,498,237,499,Even,Odd,S,AVENUE,,90744.0,90744.0,LOS ANGELES,LOS ANGELES,FRIES,90744.0,WILMINGTON,,,5240.86163214
