,the_geom,CNSLD,VBM
0,"MULTIPOLYGON (((-118.40088479101613 34.05700894973399, -118.4009032216777 34.056997540034615, -118.4009804824242 34.057080601559655, -118.40098948022907 34.0570982129138, -118.40089922085572 34.057098210557996, -118.40079039296275 34.05709758008547, -118.40074998490356 34.05709680723683, -118.40079460528335 34.05706725741355, -118.40088479101613 34.05700894973399)), ((-118.40119634971703 34.057098321012596, -118.401047147245 34.05709667272996, -118.40101156102277 34.05709761850895, -118.40147716336136 34.05681279225392, -118.40157893089821 34.05691994837867, -118.40150415444774 34.05696800989414, -118.40128199341682 34.057098036469114, -118.40119634971703 34.057098321012596)), ((-118.40245772487717 34.057098605595655, -118.40225864647313 34.05709846919919, -118.40218106163118 34.05709922163887, -118.40231860357079 34.05702333391391, -118.4023712642221 34.05699636756536, -118.40242499748562 34.05705571054955, -118.40243396973524 34.057067496165104, -118.40245772487717 34.057098605595655)))",0900014A,T
1,"MULTIPOLYGON (((-118.39849498381741 34.05708269807066, -118.39849507600974 34.05703246786811, -118.39892331941356 34.05703338630809, -118.39911140892221 34.057033755643964, -118.39911057900305 34.057092290518014, -118.3989216366281 34.05709549677903, -118.39865629128398 34.057094944950805, -118.39849471158593 34.05709490304198, -118.39849498381741 34.05708269807066)), ((-118.39992287833913 34.05686702614257, -118.39999049286726 34.05681901367165, -118.40008867139771 34.05692714757493, -118.40024295661216 34.05709447955024, -118.39991875721397 34.057096405514294, -118.39972145935474 34.05709645106606, -118.39969837415111 34.05709471448619, -118.39970133800036 34.05703719127827, -118.39992287833913 34.05686702614257)), ((-118.40043310866612 34.057095083406864, -118.40078172643649 34.05686670689922, -118.40087955174776 34.0569705238863, -118.4009032216777 34.056997540034615, -118.40088479101613 34.05700894973399, -118.40079460528335 34.05706725741355, -118.40074998490356 34.05709680723683, -118.40054734221052 34.05709811148388, -118.40043310866612 34.057095083406864)), ((-118.40174889162404 34.057098819148415, -118.40171191863973 34.05709812084016, -118.40156470006235 34.0570986338871, -118.40132289873189 34.05709814756392, -118.40128199341682 34.057098036469114, -118.40150415444774 34.05696800989414, -118.40157893089821 34.05691994837867, -118.40159316616995 34.056934903480276, -118.40174889162404 34.057098819148415)), ((-118.40202922481458 34.05701619189135, -118.4022695660431 34.056884043375, -118.4023712642221 34.05699636756536, -118.40231860357079 34.05702333391391, -118.40218106163118 34.05709922163887, -118.40215237220012 34.057099317177276, -118.40193074583175 34.05709948070587, -118.40187914063074 34.05709907275722, -118.40202922481458 34.05701619189135)), ((-118.40382677885636 34.057102001423544, -118.40355782823401 34.05709979736853, -118.40347300691559 34.05710080921851, -118.40331857617099 34.05710213283363, -118.40303476718992 34.057098465360546, -118.40293761228388 34.0571013715498, -118.40288600835525 34.05710055473037, -118.40279576949138 34.05709873983582, -118.40266869812747 34.057100210271784, -118.40255444475098 34.057099382208726, -118.40245772487717 34.057098605595655, -118.40243396973524 34.057067496165104, -118.40273510119502 34.05687597821495, -118.40279570990053 34.05693697946821, -118.40282928537172 34.05697308753671, -118.40288861413057 34.057037508026866, -118.4029073245257 34.05705769858316, -118.40308477145369 34.056945546038506, -118.40309226527718 34.0569386756732, -118.40326064991349 34.05683056133983, -118.4033544049276 34.056768445332125, -118.40340117046307 34.05678527404288, -118.40346931862413 34.056800049727215, -118.4034716780519 34.05699506183291, -118.40347159238377 34.05702446387071, -118.40355927557239 34.05702417089826, -118.40378150269997 34.0570244125701, -118.40398271911909 34.05702275516652, -118.4039875619997 34.05710261764845, -118.40382677885636 34.057102001423544)))",0900033B,T
2,"MULTIPOLYGON (((-118.37703069550894 34.02655528511405, -118.377087898472 34.026228242363, -118.37874210257492 34.02680429819407, -118.37873952833169 34.027015700306485, -118.37863823213146 34.027006341003585, -118.37699137826819 34.02685415590019, -118.37696628295946 34.02685107439293, -118.37699957740405 34.026717945713635, -118.37700947182074 34.02667180143278, -118.37701473037117 34.02664477419872, -118.37703069550894 34.02655528511405)))",1600001B,T
3,"MULTIPOLYGON (((-118.39399766686634 34.0254213212108, -118.39406211236648 34.025384697949875, -118.39410703838429 34.02544291923907, -118.39415163631294 34.02550089456311, -118.39419656356786 34.025559122126495, -118.39393769382319 34.02570630306367, -118.39380370280654 34.02553181669443, -118.39399766686634 34.0254213212108)))",1600004D,T
4,"MULTIPOLYGON (((-118.377944436301 34.017994632664276, -118.38175295310097 34.017683600997685, -118.38203528500104 34.017825843132556, -118.38227528633327 34.017946867688224, -118.38258675850517 34.01810396546063, -118.38381503676014 34.01872254540361, -118.38462296170661 34.019129403807504, -118.3848314448111 34.01923458464432, -118.38497218262991 34.01930531186632, -118.385206502611 34.0194243716897, -118.38543374290283 34.01954633586537, -118.3852947308781 34.01963641900289, -118.38517958750654 34.01971405319147, -118.38514494339037 34.01972949789372, -118.3851104615739 34.019751040934295, -118.38503800318738 34.019782875289884, -118.38493258718132 34.019823050199186, -118.38468867469248 34.01990698417863, -118.38439548170022 34.01999719600447, -118.3840593277609 34.020095128398076, -118.3830640371447 34.02038338061149, -118.38260751714203 34.020501945576854, -118.38252358927262 34.02052122757806, -118.38248049890508 34.02053089601638, -118.38236154848815 34.02055550693588, -118.38225677431379 34.02057716360368, -118.38203069716954 34.02061687506603, -118.38150939696861 34.0206915631513, -118.38147955709891 34.02069662489638, -118.38135471449552 34.02071799169878, -118.38131534995527 34.020567120219816, -118.38119130461091 34.02043687185888, -118.3808982421886 34.0201292439299, -118.38089071489283 34.02012129633346, -118.38080394845662 34.020062105013885, -118.38017070109129 34.01963301265439, -118.37971940436813 34.01934357270054, -118.37963182745865 34.01928746182788, -118.37955021725817 34.01923516093845, -118.37952827039676 34.01922109572231, -118.37945813923118 34.019176278359176, -118.37911552902911 34.01895678331681, -118.37910265328694 34.018948527856146, -118.37906561901858 34.018924790521005, -118.37889742501021 34.01881702473797, -118.37876004431287 34.01872889117073, -118.37858840079868 34.018574010000535, -118.37839817937191 34.018402369649436, -118.37797233124805 34.0180186450755, -118.377944436301 34.017994632664276)))",1600014C,T
5,"MULTIPOLYGON (((-118.31779929469 33.915757051646786, -118.31780407566652 33.91266369216483, -118.31829680497194 33.91266479756324, -118.31875492419961 33.912665648077855, -118.3195936986366 33.912663426593305, -118.32042587824472 33.91266121409638, -118.32126961867654 33.91266482044134, -118.3221232485455 33.91266837011761, -118.32295874832991 33.91267162875467, -118.32368878103738 33.91267447785151, -118.3237941332599 33.91264569780068, -118.3237942078856 33.912663893043366, -118.32379178695145 33.91331824134432, -118.32379112674326 33.914000395146545, -118.32378883667604 33.91468667152664, -118.32378665083944 33.915400774091395, -118.32293793875446 33.91539686864598, -118.3220958250872 33.91539465519747, -118.32126194875435 33.91539207224048, -118.32042414673448 33.91538511164462, -118.32042415321699 33.915387372647935, -118.32041188131484 33.915758469571585, -118.32082202460643 33.91576246798423, -118.32179679101813 33.91576811283503, -118.32338333867007 33.915765778120274, -118.32564393770099 33.91576006311028, -118.325646790051 33.916456517509005, -118.32559361478945 33.916456244618686, -118.32485038431916 33.916457202781324, -118.32467899629313 33.91645697658042, -118.32296344082634 33.916455758638726, -118.32041238588353 33.916459463076755, -118.31971032878593 33.91645445357969, -118.3185089553637 33.91645488638336, -118.31779538313714 33.916454710290566, -118.31779558511755 33.91642071691865, -118.31779938848697 33.915773231038195, -118.31779930298742 33.91575923962198, -118.31779929469 33.915757051646786)))",2500001A,F
6,"MULTIPOLYGON (((-118.32041188131484 33.915758469571585, -118.32042415321699 33.915387372647935, -118.32042414673448 33.91538511164462, -118.32126194875435 33.91539207224048, -118.3220958250872 33.91539465519747, -118.32293793875446 33.91539686864598, -118.32378665083944 33.915400774091395, -118.32378883667604 33.91468667152664, -118.32379112674326 33.914000395146545, -118.32379178695145 33.91331824134432, -118.3237942078856 33.912663893043366, -118.3237941332599 33.91264569780068, -118.32368878103738 33.91267447785151, -118.32295874832991 33.91267162875467, -118.3221232485455 33.91266837011761, -118.32126961867654 33.91266482044134, -118.32042587824472 33.91266121409638, -118.3195936986366 33.912663426593305, -118.31875492419961 33.912665648077855, -118.31829680497194 33.91266479756324, -118.31780407566652 33.91266369216483, -118.31780942893423 33.91148175255225, -118.31781057329587 33.91118360057371, -118.31781118107821 33.91109523710372, -118.31781218893457 33.910874858974395, -118.31781494132092 33.910265397912816, -118.31781663346173 33.90989073047795, -118.31830439365989 33.909890818461065, -118.31875755038224 33.90989066781456, -118.31959466032437 33.9098905124341, -118.32043670724964 33.90989033541426, -118.32047930464998 33.90989032585913, -118.32047804279524 33.909800403206496, -118.32047808192131 33.90952561442164, -118.32065275970128 33.909526311105886, -118.32083731329536 33.90952633756758, -118.32101200358946 33.909526347639115, -118.32101870307015 33.90952634873181, -118.32118667766834 33.909526358402225, -118.32137123126265 33.909526384046565, -118.32154592155688 33.90952639334445, -118.32172058204738 33.9095270885277, -118.32172062167419 33.90929376978964, -118.32172070720591 33.9092076092167, -118.32228460618232 33.90920564688143, -118.32312832358417 33.90921198892926, -118.32396972234167 33.90921006794429, -118.32549625356242 33.909208699366545, -118.32556585714671 33.909207028414095, -118.32560760156356 33.90920602587121, -118.32561488205141 33.90920585114524, -118.32588345678163 33.90919940437517, -118.32652654536061 33.90920041753048, -118.32653196258933 33.9094319031521, -118.32651891798093 33.91077533049254, -118.3265037353554 33.91233887699978, -118.32649883766703 33.91277338211721, -118.32649827529325 33.91282276007181, -118.326497617471 33.9128826094784, -118.3265047898039 33.91345518809537, -118.32650844398995 33.91377696614954, -118.32651105979427 33.91400734697569, -118.32652237328462 33.91500662983479, -118.32651979267311 33.916461003458046, -118.325646790051 33.916456517509005, -118.32564393770099 33.91576006311028, -118.32338333867007 33.915765778120274, -118.32179679101813 33.91576811283503, -118.32082202460643 33.91576246798423, -118.32041188131484 33.915758469571585)))",2500002A,F
7,"MULTIPOLYGON (((-118.30040219833027 33.91449337915938, -118.30039230449239 33.912652689306626, -118.30039190436284 33.91254105927241, -118.30041206126077 33.91080883546035, -118.30040355485723 33.91073432148815, -118.30037653992241 33.9091736129143, -118.30112134733908 33.90917038093402, -118.30145751377123 33.90917263211733, -118.30194034069963 33.90917588905135, -118.30233418193887 33.90917833680594, -118.30310373852102 33.909183274029225, -118.30393261794367 33.909188742855086, -118.30395239297386 33.9091890373803, -118.30553758300218 33.90918193896562, -118.3062543796006 33.90917874535875, -118.30653780123225 33.9091773389761, -118.30705686017482 33.90917498760536, -118.3071079424296 33.90917485748758, -118.30795327746227 33.90917407500962, -118.30820209980763 33.909173781728335, -118.30912175407511 33.909173096735685, -118.31185718363868 33.90918968599997, -118.31347206084976 33.909189674529685, -118.3135626591901 33.909189987947045, -118.31396798347575 33.909190882119624, -118.31564211472512 33.9091954959711, -118.3178189640374 33.909201704887806, -118.31781946817229 33.90933464390945, -118.31781856145238 33.909530073901216, -118.31781663346173 33.90989073047795, -118.31781494132092 33.910265397912816, -118.31781218893457 33.910874858974395, -118.31781118107821 33.91109523710372, -118.31781057329587 33.91118360057371, -118.31780942893423 33.91148175255225, -118.31780407566652 33.91266369216483, -118.31714327468119 33.91266543225714, -118.31668681114165 33.91266663215097, -118.31584144506087 33.91266884977854, -118.31501091096384 33.91267102272508, -118.31489768288678 33.91256831952487, -118.3148976989399 33.91254151269783, -118.31456802314297 33.91254145018255, -118.31440331343123 33.91254143267689, -118.31440331674433 33.912537992456706, -118.31440332339751 33.912526219451266, -118.31397885816239 33.912527080429165, -118.31397900328479 33.91257303067496, -118.31397925979051 33.91265448260418, -118.31357553341103 33.91265655298456, -118.31314048488473 33.91265597626524, -118.31270899801589 33.912655358987685, -118.31270918601696 33.9127318229684, -118.31270871321396 33.91290185231836, -118.31270829691738 33.91305572893786, -118.31237877401846 33.91305515878745, -118.31220079218778 33.913055645957485, -118.31187111966054 33.91305525421008, -118.31154161526962 33.91305500446888, -118.31145478674135 33.91305533428865, -118.31136363245027 33.91305551654971, -118.31103397588309 33.913054760059794, -118.31070445344902 33.913054014944066, -118.31060585931083 33.9130543591477, -118.31060591022036 33.913042713143994, -118.31050672046482 33.91304368626104, -118.31015445390454 33.913042928800465, -118.31015478085949 33.91301820279328, -118.31015493075132 33.91301546267968, -118.3101613953382 33.912897287054, -118.31017050134841 33.91273056664377, -118.3101701365696 33.91265508758279, -118.30913939870744 33.91266183240573, -118.30913394867228 33.9130152739774, -118.3091101259004 33.914554484363826, -118.30908930080555 33.916450195480664, -118.30830133154574 33.91644897110412, -118.30674728515025 33.916446556683525, -118.30540410701292 33.916444442913885, -118.30489821218448 33.91644366424694, -118.30455197366545 33.91644310953201, -118.30446149149759 33.916442983758735, -118.3037116594576 33.91644176740087, -118.30232076364507 33.916439577200855, -118.30103045525773 33.916437502095576, -118.30042557439597 33.9164365064177, -118.30039763010366 33.916436470567575, -118.30040212714533 33.916312110510646, -118.30040241749064 33.91455451808098, -118.30040219833027 33.91449337915938)))",2500005A,F
8,"MULTIPOLYGON (((-118.31781663346173 33.90989073047795, -118.31781856145238 33.909530073901216, -118.31781946817229 33.90933464390945, -118.3178189640374 33.909201704887806, -118.3178208374393 33.907957606718604, -118.31783130857367 33.90556533490081, -118.31847252079376 33.90556595053977, -118.3184700177039 33.90317293360463, -118.31923291906308 33.90317538094514, -118.31934495300882 33.90317233636507, -118.31939435793942 33.903165679355034, -118.31942397958505 33.90315563994779, -118.31946673480333 33.903133543928234, -118.31954233213072 33.90308147808132, -118.31958832219651 33.90304323078535, -118.31961627557584 33.9030283852306, -118.31964919754681 33.903019368358976, -118.31969695860401 33.903013746925225, -118.31977933538575 33.90301146754953, -118.32062790853551 33.903011616981225, -118.32063036447569 33.90193101789227, -118.32187996853759 33.90192905258663, -118.32188058103908 33.90205954630111, -118.32187974954527 33.90217495148815, -118.32187888229865 33.902521190658966, -118.32193265097123 33.902521197629795, -118.32193283837007 33.90256745333841, -118.3219296011531 33.903011582544124, -118.32192649319153 33.903489372466396, -118.32229541236181 33.903492426413266, -118.32229221787068 33.90390022149835, -118.32229040222008 33.905569710833866, -118.3222898013972 33.90592069502402, -118.32228975358177 33.90594931128292, -118.32219981941626 33.905949307372836, -118.32187009149213 33.905948929667375, -118.32154063170886 33.905948550344824, -118.32144642515706 33.90594897467313, -118.32144612101598 33.90600865537876, -118.3214360930269 33.90794802148742, -118.32143841285693 33.90920860744366, -118.32172070720591 33.9092076092167, -118.32172062167419 33.90929376978964, -118.32172058204738 33.9095270885277, -118.32154592155688 33.90952639334445, -118.32137123126265 33.909526384046565, -118.32118667766834 33.909526358402225, -118.32101870307015 33.90952634873181, -118.32101200358946 33.909526347639115, -118.32083731329536 33.90952633756758, -118.32065275970128 33.909526311105886, -118.32047808192131 33.90952561442164, -118.32047804279524 33.909800403206496, -118.32047930464998 33.90989032585913, -118.32043670724964 33.90989033541426, -118.31959466032437 33.9098905124341, -118.31875755038224 33.90989066781456, -118.31830439365989 33.909890818461065, -118.31781663346173 33.90989073047795)))",2500007A,F
9,"MULTIPOLYGON (((-118.32312832358417 33.90921198892926, -118.32228460618232 33.90920564688143, -118.32172070720591 33.9092076092167, -118.32143841285693 33.90920860744366, -118.3214360930269 33.90794802148742, -118.32144612101598 33.90600865537876, -118.32144642515706 33.90594897467313, -118.32154063170886 33.905948550344824, -118.32187009149213 33.905948929667375, -118.32219981941626 33.905949307372836, -118.32228975358177 33.90594931128292, -118.3222898013972 33.90592069502402, -118.32229040222008 33.905569710833866, -118.32229221787068 33.90390022149835, -118.32229541236181 33.903492426413266, -118.32192649319153 33.903489372466396, -118.3219296011531 33.903011582544124, -118.32193283837007 33.90256745333841, -118.32193265097123 33.902521197629795, -118.32187888229865 33.902521190658966, -118.32187974954527 33.90217495148815, -118.32188058103908 33.90205954630111, -118.32187996853759 33.90192905258663, -118.3218858997501 33.90192904396116, -118.32398339924707 33.90192617451851, -118.32520600199435 33.90193079415647, -118.3255670218966 33.90192686537208, -118.32587823156994 33.90192347766001, -118.32637256024238 33.901928328345825, -118.32652579710103 33.90192824061768, -118.3265266987496 33.903393816209366, -118.32652675156599 33.90345815953262, -118.32652489368482 33.90548590711035, -118.32652157333182 33.90556417729034, -118.32652029305255 33.90636064364956, -118.32652286411518 33.90702057662298, -118.3265242540403 33.90737733429842, -118.32651599168226 33.90792195222833, -118.3265072012266 33.90810179830505, -118.32652654536061 33.90920041753048, -118.32588345678163 33.90919940437517, -118.32561488205141 33.90920585114524, -118.32560760156356 33.90920602587121, -118.32556585714671 33.909207028414095, -118.32549625356242 33.909208699366545, -118.32396972234167 33.90921006794429, -118.32312832358417 33.90921198892926)))",2500008A,F
