"city","title","price","phone","street-address","location"
"city","title","price","phone","street-address","location"
"Burlington","Eunhwa Spa","60","802-862-1332","200 Battery St.","VT 05401"
"Wilmington","Zen Therapy & Bodywork","40","302-252-1733","201 S. Maryland Ave.","DE 19804"
"Providence","Mineral Spring Massage & Body","60","401-353-5100","1410 Mineral Spring Ave Suite R","RI 02904"
"Buffalo Grove","Spa Lux","80","847-398-6242","1359 Dundee Rd.","IL 60089"
"Wilmington","Ying Li","50","302-252-1733","201 S. Maryland Ave.","DE 19804"
"Wilmington","Zen Therapy & Bodywork","40","302-529-8833","1708 Naamans Rd.","DE 19810"
"Wilmington","Source of Health","60","402-594-4289","9001 Arbor St., 207","NE 68124"
"Omaha","Asian Body Relax Center","40","302-428-0606","30A Trolley Square","DE 19806"
"Wilmington","Oriental Acupressure Massage","40","302-428-0606","30A Trolley Square","DE 19806"
"Wilmington","Oriental Acupressure Massage","40","215-625-2673","46 N. 10th St.","PA 19601"
"Philadelphia","The Happy One","60","215-873-4835","1218 Chestnut St., 8th Floor","PA 19107"
"Philadelphia","Body Work Therapy","50","215-763-6077","1041 Ridge Ave., 11th and Ridge. Between Callowhill and Spring Garden Street","PA 19123"
"Philadelphia","Bella Spa","60","215-990-5512","525 S. 4th St., Suite 582","PA 19147"
"Philadelphia","College Girls Massage","100","302-287-2344","1035 Philadelphia Pike, Suite: 1-A","DE 19809"
"Wilmington","Angela's Spa","60","860-289-0698","205 Burnside Ave.","CT 06108"
"East Hartford","Golden Lily","60","302-287-2344","1035 Philadelphia Pike, Suite: 1-A","DE 19809"
"Wilmington","Angela's Spa","60","302-475-6868","2501 Foulk Rd., Foulk and Naamans","DE 19810"
"Wilmington","Ocupressure Massage","65","701-232-0222","3003 32nd Ave. S., 4","ND 58103"
"Fargo","Asian Health Massage","70","215-440-0125","813 Sansom St.","PA 19107"
"Philadelphia","Bali Spa","60","206-550-3731","469 N. 36th St., Suite B , Fremont","WA 98103"
"Seattle","Azure Spa","60","215-625-3999","209 N. 11th St.","PA 19107"
"Philadelphia","YCO Massage","60","302-477-1122","4 Garden of Eden Rd.","DE 19803"
"Wilmington","JJ Massage Therapy","65","215-440-0125","813 Sansom St.","PA 19107"
"Philadelphia","Bali Spa","60","215-563-2929","1211 Race St., down town","PA 19107"
"Philadelphia","New World Oriental","60","215-564-1230","1123 Race St.","PA 19107"
"Philadelphia","Cutie","60","302-252-1733","201 S. Maryland Ave.","DE 19804"
"Wilmington","Zen Therapy & Bodywork","40","302-477-1122","4 Garden of Eden Rd.","DE 19803"
"Wilmington","JJ Massage Therapy","65","630-323-3020","10S648 Illinois Route 83","IL 60527"
"Willowbrook","Pine Tree","70","714-891-2100","12921 Fern St., H","CA 92841"
"Garden Grove","Rest Area Massage","60","212-759-0292","301 E. 54th St.","NY 10022"
"New York City","Oriental Bodywork","70","802-747-0350","10 Burnham Ave.","VT 05701"
"Rutland","Far East Massage Therapy","70","561-689-8999","5093 Okeechobee Blvd.","FL 33417"
"West Palm Beach","Lucky Spa","60","703-206-8300","8300 Arlington Blvd., E3","VA 22031"
"Fairfax","Merrifield Wellness Center","60","858-278-0911","8055 Clairemont Mesa Blvd., 102","CA 92111"
"San Diego","Hana Spa","60","802-490-2421","801 Putney Rd.","VT 05301"
"Brattleboro","Rainbow Therapeutic Wellness","80","401-228-8644","417 Smith Ave.","RI 02908"
"Providence","Refresh Spa","60","510-277-6777","3170 Telegraph Ave.","CA 94609"
"San Francisco","Pine Tree Therapy","60","860-232-9888","625 E. New Park Ave.","CT 06110"
"West Hartford","Serenity Massage","60","215-440-0125","813 Sansom St.","PA 19107"
"Philadelphia","Bali Spa","60","215-925-2977","202 S. Quince St.","PA 19107"
"Philadelphia","202 Spa","60","212-564-2051","218 W. 37th St.","NY 10018"
"New York City","Pine Arbor Spa","70","413-345-8105","41 Main St.","VT 05301"
"Brattleboro","Chinese Bodywork","35","302-854-8385","214 N. Maryland Ave.","DE 19804"
"Wilmington","Best Bodywork","60","302-475-6868","2501 Foulk Rd., Foulk and Naamans","DE 19810"
"Wilmington","Ocupressure Massage","65","302-428-0606","30A Trolley Square","DE 19806"
"Wilmington","Oriental Acupressure Massage","40","630-323-3020","10S648 Illinois Route 83","IL 60527"
"Willowbrook","Pine Tree","70","561-689-8999","5093 Okeechobee Blvd.","FL 33417"
"West Palm Beach","Lucky Spa","60","413-345-8105","41 Main St.","VT 05301"
