"city","description","title","age","state","posting-date","location","review-id"
"city","description","title","age","state","posting-date","location","review-id"
"TACOMA","My mame is Michelle Im very sweet kind and respectful I always smell good and smiling Id love to enjoy some time with you Come and see me Super Cute W A lot of Tricks To Show YouExcellent Hygiene Independent Discreet Respectful total SWEETHEART Fetish Friendly 420 friendly NO Rush NO DRAMA The Most Sexxxiest To Relax With TOP of the line skills to have you comeback for more INCALL outcall","Im backINCALL OUTCALL UPSCALE Cali provider Come visit me","19","WA","10 hour","TACOMA WA","2788199"
"NEWARK","NEW KOREAN GIRLS COMING Please Call All Korean Girls are new and Hot Clean Nice Private rooms Your Best ChoiceHot Stone Massage Swedish Massage Professional massage Deep Tissue Please Call 1710 philadelphia pikeWilmington 19809 Open 7 days 900AM1100PM","NEW YOUNG KOREAN GIRLs We UPSCALE Service","23","DE","2 day","NEWARK DE","2698321"
"DETROIT","Thick sexy chocolate come get what u need satisfaction Guaranteedkeep u coming back pertection a must35top60ss70hh100HrCall Sasha100 me or free Satisfaction guaranteed","Tasty Tuesday","25","MI","1 day","DETROIT MI","2691728"
"NEWARK","m an independent safe clean Professional Massage Come Experience The Time Of Your Life With Us Come Relax after a long day of work with a massage No Rush Service Amazing BODY 38D Slim Tel 2304 Carpenter Station Rd WE open 7days a week 900 am 1100 pm Cash only Please make an appointment 2304 Carpenter Station Rd Wilmington De 19810","Rainbow Spa 100 Hot Sexy New Here Asian Girls Free Table Shower","23","DE","2 day","NEWARK DE","2699977"
"NEWARK","If it not Asia It NOT RIGHT You worked hard for your Dont throw it away Serving Discreet Gentleman OnlyPERCENT DISCREETNEVER RUSHALWAYS AVAILABLEALWAYS SAFE CLEANPLEASENT TO THE EYESIM ALWAYS FRIENDLY SO RETURN THE FAVORGOOD SERVICE AINT CHEAP CHEAP SERVICE AINT GOODNOW LET HAVE FUN","Stop Playing And Get With HER","21","DE","1 day","NEWARK DE","2681979"
"BURLINGTON","To The gentleman my name is emma Independent escort If you are looking for a good companion for dating talking enjoying time together tlc fit for a king Ill give u it allI have petet body w perfecf curves D cup big bouncy ass beautiful smile So msg G GENTELMEN ONLYYYY","Sunday special Z","25","VT","4 hour","BURLINGTON VT","2677781"
"ALBUQUERQUE","Lets turn each fantasy Into REALITY VIP SESSIONS AVAILABLE Big BOOTY EXOTIC TALL 58 NATURAL REDHAIR Hourglass CURVES 36C2638 A upscale Private and discreet location Very Open Minded Overnights Travel Companion Dinner Dates Etc heels outfits upon requestSPECIALS ASK ABOUT EXCLUSIVE 2 GIRL SESSION We r sure to have a splendid Time CARLY No EXPLICIT TALK No BLOCKED CallsPICS ARE REAL","80 Real RED Kinky in BED100 LipS Soft TOutcall Avail 2 GIRL","22","NM","12 hour","ALBUQUERQUE NM","2787893"
"VIRGINIA BEACH","Outcall Incall AvailableHey boys an exceptional sexy playmate complete with an AMAZING body I am your sassy and thrilling desire for the evening absolute temptation at it bestIm very real and love to entertain Jazz Call me anytime and let talk 250 Hr 150 Hh Qv70","Warm up with a thick freak","25","VA","11 hour","VIRGINIA BEACH VA","2659812"
"ALBUQUERQUE","Lets Play Your Wish is OUR command WE are a Married Mans Best Kept Secret and a Single Mans best friend Were INDEPENDENT Outgoing flirty and fun Were very good being bad sweet yet feistywarm juicy One session with me will leave you breathless refreshed wanting MORE REAL PHOTO NO DISAPPOINTMENT Gentlemen 75qv 90hh 120hr 150 fetishes120200 OR TRY A DOUBLE DOSE 2140X N or call or 505544ohohohoh","Ready for u now 2Ladies140 OR 1LADY55 working man special 10p3a Call US now","30","NM","12 hour","ALBUQUERQUE NM","2787889"
