"city","junk","location","title"
"city","junk","location","title"
"Brattleboro","5 21 13 Kennedy $80 Click to read Click to read Click to read Click to read Click to read Click to read marswarrior 3 20 13 Linda $80 Click to read Click to read Click to read Click to read Click to read Click to read marswarrior","Brattleboro, VT","Rainbow Therapeutic Wellness"
"West Palm Beach","11 29 11 Suki $80 Click to read Click to read Click to read Click to read Click to read Click to read carlosganasess 11 27 11 Yoyo $80 Click to read Click to read Click to read Click to read Click to read Click to read U.DO.ME 6 17 11 Linda $80 Click to read Click to read Click to read Click to read Click to read Click to read sunny561 6 10 11 Linda $80 Click to read Click to read Click to read Click to read Click to read Click to read chipmfg 3 03 11 June $180 Click to read Click to read Click to read Click to read Click to read Click to read avi8tor49 2 22 11 Yoko $80 Click to read Click to read Click to read Click to read Click to read Click to read trouble6 12 29 10 Linda $80 Click to read Click to read Click to read Click to read Click to read Click to read si5445 10 23 10 Yoko $80 Click to read Click to read Click to read Click to read Click to read Click to read code3dude 5 05 10 Unknown $80 Click to read Click to read Click to read Click to read Click to read Click to read code3dude 4 24 10 Unknown $80 Click to read Click to read Click to read Click to read Click to read Click to read bigcat1969 3 25 10 Unknown $80 Click to read Click to read Click to read Click to read Click to read Click to read bkorzek 3 23 10 Lee $80 Click to read Click to read Click to read Click to read Click to read Click to read bigsully 3 07 10 Lilly $80 Click to read Click to read Click to read Click to read Click to read Click to read dancewithmice 2 08 10 Amy $80 Click to read Click to read Click to read Click to read Click to read Click to read black 10 11 09 Sheila $60 Click to read Click to read Click to read Click to read Click to read Click to read clyde1394","VT 05301 MAJOR STREETS: Landmark Hill Dr.","Lucky Spa"
"Brattleboro","6 12 13 Carxi $70 Click to read Click to read Click to read Click to read Click to read Click to read serchinginvt","West Palm Beach, FL","Chinese Bodywork"
"Burlington","4 10 11 Jeanie $80 Click to read Click to read Click to read Click to read Click to read Click to read spaghetti","FL 33417","Asian Massage Spa"
"Bennington","7 01 13 I missed it $80 Click to read Click to read Click to read Click to read Click to read Click to read amerson","Brattleboro, VT","R&R Health Studio"
"Bennington","3 07 12 Candy $70 Click to read Click to read Click to read Click to read Click to read Click to read evelynlovesit 8 14 11 Unknown $80 Click to read Click to read Click to read Click to read Click to read Click to read Longjon572 8 03 11 Young $80 Click to read Click to read Click to read Click to read Click to read Click to read hyangwol","VT 05301 MAJOR STREETS: Canal St.","Green Spa"
"Shelburne","10 23 15 Candy $65 Click to read Click to read Click to read Click to read Click to read Click to read SweetBacks 50 1 21 14 Cindy $60 Click to read Click to read Click to read Click to read Click to read Click to read Bill72 12 27 13 Tina $60 Click to read Click to read Click to read Click to read Click to read Click to read umali23 12 11 13 Ruby $60 Click to read Click to read Click to read Click to read Click to read Click to read Bill72 10 24 13 Tina $60 Click to read Click to read Click to read Click to read Click to read Click to read Bill72 9 25 13 Tina $60 Click to read Click to read Click to read Click to read Click to read Click to read umali23 6 29 12 Coco $60 Click to read Click to read Click to read Click to read Click to read Click to read LIDC 5 25 12 LuLu $60 Click to read Click to read Click to read Click to read Click to read Click to read Bill72 5 10 12 Coco $60 Click to read Click to read Click to read Click to read Click to read Click to read Bill72 5 08 12 Coco $60 Click to read Click to read Click to read Click to read Click to read Click to read yeabuddy 3 05 12 Maggie $60 Click to read Click to read Click to read Click to read Click to read Click to read Bill72 12 22 11 Wendy $60 Click to read Click to read Click to read Click to read Click to read Click to read paddyboy123 11 30 11 Lu Lu $40 Click to read Click to read Click to read Click to read Click to read Click to read MajorOwnage 11 25 11 Lucy $60 Click to read Click to read Click to read Click to read Click to read Click to read paddyboy123 10 24 11 April $60 Click to read Click to read Click to read Click to read Click to read Click to read Bill72","Burlington, VT","Oasis Hot Stone Spa"
"Wilmington","4 16 11 Forget $80 Click to read Click to read Click to read Click to read Click to read Click to read andoring 2 22 10 Vivian $80 Click to read Click to read Click to read Click to read Click to read Click to read serchinginvt 2 04 10 Vivian $80 Click to read Click to read Click to read Click to read Click to read Click to read serchinginvt 1 23 10 Yung $80 Click to read Click to read Click to read Click to read Click to read Click to read GentlemanCaller 11 01 09 Sandy $80 Click to read Click to read Click to read Click to read Click to read Click to read","VT 05401 MAJOR STREETS: Main St.","Ocupressure Massage"
