"junk","description","title","country","posting-date","location","name"
"junk","description","title","country","posting-date","location","name"
"Super sexy escort BIO Category:Female Ethnic:Caucasian (white) Age:19 Hair:Light brown Hair Length:Long Height: 175 cm (5' 9 ) Languages: English Italian Available for: Incall Outcall: Hotel and home visits Orientation:Heterosexual Service for: Men Home City: Kiev (Ukraine)","DO YOU WISH TO SEE MORE PHOTOS OF THIS MODEL  JUST SEND US A MESSAGE! Services Anal Sex Cum in Mouth Cum on Face French Kissing Girlfriend Experience (GFE) Kissing Blowjob without Condom Blowjob without Condom to Completion Sex in Different Positions Extraball Cumshot on body (COB) Erotic massage Intimate massage Handjob Additional: DATY Rates Incall 1 hour: 150 USD 3 hours: 300 USD 10 hours: 500 USD 24 hours: 700 USD 2 days: 1,200 USD 3 days: 1,600 USD 4 days: 1,950 USD 5 days: 2,300 USD 6 days: 2,650 USD 7 days: 2,950 USD Outcall 1 hour: 150 USD 3 hours: 300 USD 10 hours: 500 USD 1 days: 700 USD 2 days: 1,200 USD 3 days: 1,600 USD 4 days: 1,950 USD 5 days: 2,300 USD 6 days: 2,650 USD 7 days: 2,950 USD All services are included in this price.   1 day means up to 24 hours    + cab fare 50 Griwna Payment: Down payment travel expenses PLUS $150 DEPOSIT for 1 day bookings, travel expenses PLUS $250 DEPOSIT for 2 day bookings, travel expenses PLUS $300 DEPOSIT for 3 days or more bookings . A deposit of 50% is required if you prefer to purchase the ticket and to send us an e-ticket For reservations in Kiev: For dates in Kiev ODESSA LVOV we have a travel flat rate of $175 within Ukraine. Travel Rates & Conditions Minimum Booking 1 hours Travel Destinations Europe only Contact Agency Devushki1 Base city: Donezk Available in: Kiev, Odessa, Lviv Phone: Other phone instructions:SMS and text only E-mail: Web: www.devushkione.com nastik.html Private message: Working time I am available 24 7 See all escorts from Devushki1 view type Click for details Vanessa, 24 Click for details Darya, 27 Click for details Vika, 23 Click for details Carolina, 28 Click for details Luisa, 29 Click for details Jana, 20 Click for details Elvira, 19 Click for details Diana, 19 Click for details Elen, 31 Click for details Katya, 22 Click for details Dana, 26 Click for details Alina, 24 Click for details Anya, 22 Click for details Sonya, 23 Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl Nastik in Donezk","Ukraine","Last modified: 28 Apr 2016","Donezk","Nastik"
"BIO Category:Female Ethnic:Caucasian (white) Age:20 Eyes:Green Hair:Brunette Hair Length:Medium Tattoo:Yes Piercing:No Height: 168 cm (5' 6 ) Weight: 56 kg (123 lbs) Bust-Waist-Hip:36-26-35 Cup size:B Breast:Natural Shoe size:37 Dress size:S Smoker:No Drinking:Occasionally Languages: Hungarian English Available for: Incall: Hotel room Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Couples Favorite Drink:Wine Favorite Perfume:Armani Si Favorite Designer   Brand:Givenchy, Fendi, Christian Louboutin Interests:gym, nightlife Sports:jogging Gifts:langerie","I am Sweet Amber the ULTIMATE REAL GIRLFRIEND EXPERIENCE. I am super friendly, charm, sweet, seductive, and a first class companion. I have a very attractive body with natural boobs:) I am selective with my companion, and it is my desire to meet generous and full loving gentleman. I LOVE HAVING FUN, FUN, FUN!!:))) That is why I am very adventourous, open minded and naughty:) You will feel that we have know each other for a very long time!:) It is my aim to please and make sure you are happy and VERY SATISFIED!:))) Your stress will be melted away by ny sweetness and easy going attitude, and you will leave with a BIG-BIG smile after ytour session. I am eager to hear from you and pampers you as soon as possible!:)) Services 69 Position Anal Sex Cum in Mouth Cum on Face Dildo Play Toys Girlfriend Experience (GFE) Kissing Blowjob with Condom Blowjob without Condom Blowjob without Condom to Completion Sex in Different Positions Ball Licking and Sucking Deep Throat Dirtytalk Facesitting Full Body Sensual Massage Kamasutra Lingerie Masturbate Blowjob without Condom Swallow Prostate Massage Striptease Lapdance Fetish Foot Fetish Golden Shower (give) Mistress (hard) Mistress (soft) Role Play and Fantasy Cumshot on body (COB) Erotic massage Intimate massage Kissing if good chemistry Anal massage (give) Shower service Whirlpool Intimate shaving Sauna Handjob Fingering Footjob Oral (receive) Costumes uniforms Rates Incall 1 hour: 400 USD 90 minutes: 600 USD 2 hours: 800 USD 3 hours: 1,100 USD overnight : 2,500 USD dinner date : 1,400 USD Outcall 1 hour: 500 USD 90 minutes: 750 USD 2 hours: 1,000 USD 3 hours: 1,400 USD overnight : 3,300 USD dinner date : 1,800 USD Travel Rates & Conditions Rates 3 hours: 1400 USD Minimum Booking 1 hours Payment Method Cash Flight Reservation Negotiable Travel Destinations Europe only Contact Base city: Los Angeles CA Available in: San Francisco CA, Seattle WA, Kansas City MO E-mail: Web: www.sweetamberofficial.com Private message: Working time I am available 24 7","Escort and hot girl Sweet Amber in Los Angeles CA","United States","Last modified: 28 Apr 2016","Donezk, Ukraine","Sweet Amber"
"BIO Category:Female Ethnic:Latin Nationality:British Age:22 Eyes:Brown Hair:Black Hair Length:Very Long Piercing:No Height: 168 cm (5' 6 ) Smoker:No Drinking:Occasionally Languages: English Available for: Incall: Hotel room Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Women Couples","We are an Elite Gentlemans`Companion, at the time located around the World (Dubai, Singapore, London, Paris, Milano, Berlin, New York, Abu Dhabi and World wide.) &ndash; but you can also meet us in almost every place in the world. We offer high class full-service of the most exquisite quality. Please take your time and enjoy your time on our site.&ldquo; An intellectually inspiring conversation can be as exciting as a physical experience&rdquo;. We love to share this experience with you. Alana gold is a high class agency for travel escorting, business escorting, boat partys and more&hellip; The ladys have a highgrade education. Alana Gold specializes in overnight stays, holidays, accompaniments, long bookings and dinner dates. Our models are all independent, extraordinary, wise,athletic, independent, and incredibly beautiful and sexy women. They know how they have to behave in the situations booked. A very small but selected range ofsuper high class models for every pleasant occasion. I wish you a very exciting experience and gold by Alana. Alana gold their &ldquo;personal assistant for fun and amusing society&ldquo;. Services 69 Position Anal Sex Cum in Mouth Cum on Face Dildo Play Toys French Kissing Girlfriend Experience (GFE) Kissing Blowjob with Condom Blowjob without Condom Blowjob without Condom to Completion Sex in Different Positions Ball Licking and Sucking Deep Throat Dirtytalk Double Penetration (DP) Extraball Facesitting Fisting Full Body Sensual Massage Lingerie Prostate Massage Rimming (give) Rimming (receive) Snowballing Striptease Lapdance BDSM Golden Shower (give) Golden Shower (recieve) Leather Latex PVC Mistress (hard) Mistress (soft) Role Play and Fantasy Spanking (give) Strap on Cumshot on body (COB) Erotic massage Intimate massage Kissing if good chemistry Foam massage Titjob Anal massage (give) Anal massage (receive) Shower service Whirlpool Sauna Handjob DUO Fingering Footjob Rates Incall 1 hour: 3,000 AED (~817 USD) Outcall 1 hour: 3,000 AED (~817 USD) Travel Rates & Conditions Travel Destinations Europe only Contact Agency Alanagold Base city: Dubai Phone: Apps Available: WhatsApp Phone instructions: SMS and Call E-mail: Web: alana-gold.com  Private message: Working time I am available 24 7 See all escorts from Alanagold view type Click for details Vip Mode..., 24 Click for details Vip Mode..., 28 Click for details Vip Mode..., 27 Click for details Vip Mode..., 26 Click for details Vip Mode..., 25 Click for details Vip Mode..., 22 Click for details Vip Mode..., 29 Click for details Vip Mode..., 27 Click for details Vip Mode..., 25 Click for details Vip Mode..., 27 Click for details Vip Mode..., 25 Click for details Vip Mode..., 27 Click for details Vip Mode..., 22 Click for details Vip Mode..., 27 Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl Vip Model Tiana in Dubai","United Arab Emirates","Last modified: 06 Jun 2016","Los Angeles CA","Vip Model Tiana"
"BIO Category:Female Ethnic:Caucasian (white) Nationality:British Age:27 Eyes:Brown Hair:Black Hair Length:Long Height: 177 cm (5' 10 ) Smoker:Occasionally Drinking:Occasionally Languages: English Available for: Incall: Private apartment Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Women Couples","LAURA AGUIAR 42 ANOS LOIRA GATA CHEINHA MULHER&Atilde;O COMPLETA SEM ENROLA&Ccedil;&Atilde;O vc ser&aacute; bem atendido sem frescura 250 tx incluso ligar manha ou tarde FONE 55 81-9901-7002 Services 69 Position Anal Sex Cum in Mouth Cum on Face Blowjob with Condom Blowjob without Condom Blowjob without Condom to Completion Ball Licking and Sucking Facesitting Gangbang Lingerie Cumshot on body (COB) Travel Rates & Conditions Travel Destinations No Travel Contact Base city: Recife  th  Phone: td  +558199017002 Phone instructions: No Withheld Numbers E-mail:  th  Web: td   www.lauraaguiar.webs.com Private message: Working time: Monday: 08:00 - 15:00 Tuesday: 00:00 - 00:00 Wednesday: 00:00 - 00:00 Thursday: 00:00 - 00:00 Friday: 00:00 - 00:00 Saturday: 00:00 - 00:00 Sunday: 00:00 - 00:00 Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl Vip Model Jenna in Dubai","United Arab Emirates","Last modified: 04 Jun 2016","Los Angeles CA, United States","Vip Model Jenna"
"BIO  th  Category: td  Female  th  Ethnic: td  Latin  th  Nationality: td  Brazilian  th  Age: td  43  th  Eyes: td  Brown  th  Hair: td  Blond  th  Pubic hair: td  Shaved mostly  th  Tattoo: td  No  th  Piercing: td  No Height: 170 cm (5' 7 ) Weight: 62 kg (136 lbs)  th  Cup size: td  C  th  Breast: td  Natural  th  Shoe size: td  37  th  Dress size: td  M  th  Smoker: td  No  th  Drinking: td  Occasionally Languages: Portuguese Available for: Outcall: Hotel visits only  th  Orientation: td  Heterosexual Service for: Men  th  Favorite Cuisine: td  churrasco  th  Favorite Drink: td  cerveja","Hey there guys! I love all things art and fashion, and I love to shop and make sure I look good at all times! I love to try new things and go new places. I enjoy meeting new people and getting to know their outlook on life,likes and dislikes. I have a very charming bubbly personality that welcomes all! Services 69 Position Cum on Face extra charge 2000.00 EUR (~2247 USD) Dildo Play Toys Kissing extra charge 60.00 USD Blowjob with Condom Blowjob without Condom extra charge 1000.00 USD Sex in Different Positions Deep Throat extra charge 200.00 EUR (~225 USD) Dirtytalk Facesitting Lingerie Masturbate Blowjob without Condom Swallow extra charge 1000.00 EUR (~1123 USD) Outdoor Sex extra charge 800.00 EUR (~899 USD) Striptease Lapdance Tantric Spanking (give) Spanking (receive) extra charge 200.00 EUR (~225 USD) Cumshot on body (COB) extra charge 100.00 EUR (~112 USD) Erotic massage Intimate massage Kissing if good chemistry Shower service extra charge 100.00 EUR (~112 USD) Handjob Fingering Footjob Private Video extra charge 1500.00 EUR (~1685 USD) Oral (receive) Rates Outcall 1 hour: 400 USD overnight : 1,500 USD additional hour : 200 USD dinner date : 700 USD weekend : 2,500 USD Travel Rates & Conditions Minimum Booking 1 hours Payment Method Cash Flight Reservation By Customer Travel Destinations Worldwide (including USA) Contact Base city: Philadelphia PA  th  Phone: td  +12673147756 Phone instructions: SMS and Call E-mail: Private message: Working time: Monday: 11:00 - 01:00 Tuesday: 11:00 - 01:00 Wednesday: 11:00 - 01:00 Thursday: 11:00 - 01:00 Friday: 11:00 - 01:00 Saturday: 11:00 - 01:00 Sunday: 11:00 - 01:00 Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl Atilina in Baltimore MD","Brazil","Last modified: 29 Oct 2014","Dubai","Laura Aguiar Coroa 42A"
"BIO  th  Category: td  Female  th  Ethnic: td  Mixed  th  Nationality: td  American  th  Age: td  23  th  Eyes: td  Brown  th  Hair: td  Black  th  Hair Length: td  Medium  th  Pubic hair: td  Shaved completely  th  Tattoo: td  Yes  th  Piercing: td  Yes Height: 155 cm (5' 1 ) Weight: 55 kg (121 lbs)  th  Bust-Waist-Hip: td  34-26-36  th  Cup size: td  B  th  Breast: td  Natural  th  Dress size: td  S  th  Smoker: td  No  th  Drinking: td  No  th  Characteristic: td  friendly,charming,outgoing,adventourous,spontaneous Languages: English Available for: Outcall: Hotel and home visits  th  Orientation: td  Heterosexual Service for: Men  th  Favorite Drink: td  strawberry Daq  th  Favorite Flower: td  lilac  th  Interests: td  art,fashion,home decor  th  Sports: td  gymnastics  th  Gifts: td  money,gift cards","Hello Gentlemen! My name is Atilina! I'm the perfect &acirc;&tilde;&dagger;choice for Funn!!! So call me.... I am available Right Now! A non-rushed, real, quality great time with a fun-loving&acirc;&Acirc;&Acirc;&Acirc;&curren; girl. I'm the one! I will never rush our time together, and I guarantee you will always want to come back. So if you are ready to appreciate a kind, sincere, beautiful, woman and have discriminating taste, then I am the one for you! Sensually yours, Atilina Contact Base city: Baltimore MD Phone: E-mail: Web: atilina.escortfiles.com Private message: Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl Vip Model Serina in Dubai","United States","Last modified: 20 Jun 2016","Dubai, United Arab Emirates","Brea"
"BIO Category:Female Ethnic:Latin Age:21 Eyes:Brown Hair:Brunette Height: 157 cm (5' 2 ) Cup size:C Languages: English Available for: Incall: Private apartment Outcall: Hotel and home visits Orientation:Heterosexual Service for: Men","We are an Elite Gentlemans`Companion, at the time located around the World (Dubai, Singapore, London, Paris, Milano, Berlin, New York, Abu Dhabi and World wide.) &ndash; but you can also meet us in almost every place in the world. We offer high class full-service of the most exquisite quality. Please take your time and enjoy your time on our site.&ldquo; An intellectually inspiring conversation can be as exciting as a physical experience&rdquo;. We love to share this experience with you. Alana gold is a high class agency for travel escorting, business escorting, boat partys and more&hellip; The ladys have a highgrade education. Alana Gold specializes in overnight stays, holidays, accompaniments, long bookings and dinner dates. Our models are all independent, extraordinary, wise,athletic, independent, and incredibly beautiful and sexy women. They know how they have to behave in the situations booked. A very small but selected range ofsuper high class models for every pleasant occasion. I wish you a very exciting experience and gold by Alana. Alana gold their &ldquo;personal assistant for fun and amusing society&ldquo;. Services 69 Position Anal Sex Cum in Mouth Cum on Face Dildo Play Toys French Kissing Girlfriend Experience (GFE) Kissing Blowjob with Condom Blowjob without Condom Blowjob without Condom to Completion Sex in Different Positions Ball Licking and Sucking Deep Throat Dirtytalk Double Penetration (DP) Extraball Facesitting Full Body Sensual Massage Gangbang Lingerie Prostate Massage Rimming (give) Rimming (receive) Striptease Lapdance Fetish Foot Fetish Golden Shower (give) Golden Shower (recieve) Leather Latex PVC Role Play and Fantasy Spanking (give) Cumshot on body (COB) Erotic massage Intimate massage Kissing if good chemistry Titjob Anal massage (give) Anal massage (receive) Shower service Whirlpool Swingersclub Sauna Handjob DUO Fingering Footjob Oral (receive) Rates Incall 1 hour: 4,000 AED (~1,089 USD) Outcall 1 hour: 4,000 AED (~1,089 USD) Travel Rates & Conditions Travel Destinations Europe only Contact Agency Alanagold Base city: Dubai Phone: Apps Available: WhatsApp Phone instructions: SMS and Call E-mail: Web: alana-gold.com  Private message: Working time I am available 24 7 See all escorts from Alanagold view type Click for details Vip Mode..., 24 Click for details Vip Mode..., 28 Click for details Vip Mode..., 27 Click for details Vip Mode..., 26 Click for details Vip Mode..., 25 Click for details Vip Mode..., 22 Click for details Vip Mode..., 29 Click for details Vip Mode..., 27 Click for details Vip Mode..., 25 Click for details Vip Mode..., 27 Click for details Vip Mode..., 25 Click for details Vip Mode..., 27 Click for details Vip Mode..., 22 Click for details Vip Mode..., 27 Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl Vip Model Celine in London","United States","Last modified: 19 Jan 2015","Dubai","Atilina"
"BIO Category:Female Ethnic:Caucasian (white) Age:28 Eyes:Brown Hair:Brunette Hair Length:Medium Height: 173 cm (5' 8 ) Smoker:Occasionally Drinking:Occasionally Languages: English Available for: Incall: Hotel room Outcall: Hotel and home visits Orientation:Bisexual Service for: Men Women Couples 2+","We are an Elite Gentlemans`Companion, at the time located around the World (Dubai, Singapore, London, Paris, Milano, Berlin, New York, Abu Dhabi and World wide.) &ndash; but you can also meet us in almost every place in the world. We offer high class full-service of the most exquisite quality. Please take your time and enjoy your time on our site.&ldquo; An intellectually inspiring conversation can be as exciting as a physical experience&rdquo;. We love to share this experience with you. Alana gold is a high class agency for travel escorting, business escorting, boat partys and more&hellip; The ladys have a highgrade education. Alana Gold specializes in overnight stays, holidays, accompaniments, long bookings and dinner dates. Our models are all independent, extraordinary, wise,athletic, independent, and incredibly beautiful and sexy women. They know how they have to behave in the situations booked. A very small but selected range ofsuper high class models for every pleasant occasion. I wish you a very exciting experience and gold by Alana. Alana gold their &ldquo;personal assistant for fun and amusing society&ldquo;. Services 69 Position French Kissing Girlfriend Experience (GFE) Kissing Blowjob with Condom Blowjob without Condom Sex in Different Positions Ball Licking and Sucking Deep Throat Double Penetration (DP) Extraball Facesitting Full Body Sensual Massage Lingerie Rimming (receive) Cumshot on body (COB) Erotic massage Kissing if good chemistry Handjob Rates Incall 1 hour: 600 GBP (~774 USD) additional hour : 400 GBP (~516 USD) Outcall 1 hour: 600 GBP (~774 USD) additional hour : 400 GBP (~516 USD) Travel Rates & Conditions Travel Destinations Europe only Contact Agency Alanagold Base city: London Phone: Apps Available: WhatsApp Phone instructions: SMS and Call E-mail: Web: alana-gold.com  Private message: Working time I am available 24 7 See all escorts from Alanagold view type Click for details Vip Mode..., 24 Click for details Vip Mode..., 28 Click for details Vip Mode..., 27 Click for details Vip Mode..., 26 Click for details Vip Mode..., 25 Click for details Vip Mode..., 22 Click for details Vip Mode..., 29 Click for details Vip Mode..., 27 Click for details Vip Mode..., 25 Click for details Vip Mode..., 27 Click for details Vip Mode..., 25 Click for details Vip Mode..., 27 Click for details Vip Mode..., 22 Click for details Vip Mode..., 20 Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl Diana in Donezk","United Arab Emirates","Last modified: 13 Nov 2015","Dubai, United Arab Emirates","Vip Model Serina"
"BIO Category:Female Ethnic:Caucasian (white) Age:27 Eyes:Green Hair:Brunette Hair Length:Very Long Height: 173 cm (5' 8 ) Smoker:Occasionally Drinking:Occasionally Languages: English Available for: Incall: Private apartment Outcall: Hotel and home visits Orientation:Heterosexual Service for: Men","Hello to you, that decided to take a moment to check out who I am. My name is Mafalda... I am 22 years old, tall a 1,74, brunnete, with big brown eyes and a very beautiful escort with fully kissable pink lips. I am confident, charming and a independent escort with female sensuality. I am the perfect girlfriend with a very sweet and docile attitude that will delight you. And I am also the perfect Female fatale that will tease you and rock your world. You can also make your fantasies come true just let me know what are your wishes. I am what you always wished for and so much more. I only do outcalls to hotels, so all of our encounters will always start in your hotel room. However, we can either stay in the room or go out for some luxurious dinner date or an event. I will enjoy a lot to get to know you intimately and to provide you a truly passionate encounter. With a lot of amazing and memorable moments. So if you are seeking to have all of your fantasies accomplished. Or if you just want to relax with a sensual girl that happens to be a fabulous company. Call me. I am just one phone call away. Xoxo Mafalda Services 69 Position Anal Sex Cum in Mouth Cum on Face Dildo Play Toys French Kissing Girlfriend Experience (GFE) Kissing Blowjob with Condom Blowjob without Condom Blowjob without Condom to Completion Sex in Different Positions Ball Licking and Sucking Deep Throat Dirtytalk Extraball Facesitting Full Body Sensual Massage Kamasutra Lesbian Sex Games Lingerie Masturbate Blowjob without Condom Swallow Pornstar Experience (PSE) Prostate Massage Rimming (give) Rimming (receive) Snowballing Striptease Lapdance Tantric BDSM Bondage Fetish Foot Fetish Golden Shower (give) Mistress (soft) Role Play and Fantasy Spanking (give) Strap on Cumshot on body (COB) Erotic massage Intimate massage Kissing if good chemistry Titjob Anal massage (give) Anal massage (receive) Shower service Scat (give) Handjob DUO Fingering Trampling Footjob Oral (receive) Quickie Costumes uniforms Rates Outcall 1 hour: 200 EUR (~223 USD) 2 hours: 350 EUR (~391 USD) Travel Rates & Conditions Travel Destinations Europe only Contact Base city: Porto Available in: Braga  th  Phone: td  +351919545254 Phone instructions: SMS and Call E-mail:  th  Web: td   escortportomafaldaborges.escortbook.com  Private message: Working time I am available 24 7 Comments Reviews Comments Add a comment Comment is awaiting moderation Reviews Add a review","Escort and hot girl Vip Model Lena in Dubai","United Kingdom","Last modified: 04 Jun 2016","Recife, Brazil","Vip Model Celine"
