"local-phone","area-code","street-address","location","name"
"local-phone","area-code","street-address","location","name"
"278-0911","858","8055 Clairemont Mesa Blvd., Suite 102","San Diego, CA 92111","Hana Spa"
"639-2707","402","PO Box 3681","Omaha, NE 68132","American Dream Girls"
"393-1444","402","4089 S 84th Street","Omaha, NE 68103","Midwest Entertainers"
"294-5980","800","3149 S. State St., Suite G","Omaha, NE 68127","Omaha Adult Store"
"577-4944","801","201 S. MARYLAND AVE.","Salt Lake City, UT 84115","Fantastic Massage"
"648-2018","302","2128 Silverside Road","Wilmington, DE 19804","Zen Therapy"
"478-2280","302","201 S. MARYLAND AVE.","Wilmington, DE 19810","Ying Li"
"648-2018","302","7318 Harrison St","Wilmington, DE 19804","Zen Therapy"
"932-4550","402","622 S 72nd St","Omaha, NE 68134","A Better Choice- Full Service"
"490-9822","402","10 Burnham Ave.","Omaha, NE 68102","A-Au Natturelle"
"932-1000","402","3317 W Broadway","Omaha, NE 68128","Sakura Spa"
"932-8811","402","3149 S. State St., Suite G","Omaha, NE 68114","Advantage Day Spa"
"799-4900 Visit my website","701","5093 Okeechobee Blvd.","Fargo, ND 58103","Mystique Dancing"
"747-0350","802","5093 Okeechobee Blvd.","Rutland, VT 05701","Rutland Asian Massage"
"325-6744","712","265 South St.","Council Bluffs, IA 51501","Mickey's Razzle Dazzle"
"577-4944","801","9512 Lee Highway, Suite C","Salt Lake City, UT 84115","Fantastic Massage"
"689-8999","561","7718 Beliar Road, Suite 1","West Palm Beach, FL 33417","Lucky Spa"
"502-2237","866","8300 Arlington Blvd.","Barre, VT 05641","AAA; Hardest Bodies"
"689-8999","561","240 North St","West Palm Beach, FL 33417","Lucky Spa"
"706-4520","402","1415 E. Main St.","Omaha, NE 68164","All Black Chicks"
"368-2087","973","6218 Eastern Ave.","Newark, NJ 07114","Bliss Spa"
"383-0555","703","525 W Main St","Fairfax, VA 22131","PineTree Spa"
"909-6730","443","240 North St","Baltimore, MD 21236","Nirvana"
"206-8300","703","5831 1 2 Belair Rd.","Fairfax, VA 22031","Merrifield Wellness Center"
"681-7198","802","3355 S Main St","Bennington, VT 05201","R & R Studio"
"237-5785","203","Baltimore national pike","Meriden, CT 06450","Tubs for Two"
"639-2707","402","5093 Okeechobee Blvd.","Omaha, NE 68132","Red Hot Entertainment"
"633-1880","410","3024 N. 93rd Street","Baltimore, MD 21224","Pinetree Massage"
"235-9888","203","144 Prospecct Hill Road","Meriden, CT 06451","Serenity Massage"
"681-7198","802","1009 Leavenworth Street","Bennington, VT 05201","R & R Studio"
"227-3328","410","5649 Williston Rd.","Baltimore, MD 21206","Oasis Spa"
"419-0015","801","3011 Main St.","Salt Lake City, UT 84115","AAM Relax Spa"
"905-7053 Email Me Visit my website","202","3024 N 93rd Street","baltimore, md 21229","Curvy~SenSuaL Provider Available"
"689-8999","561","200 Battery St.","West Palm Beach, FL 33417","Lucky Spa"
"571-9311","402","7313 Harford Rd","Omaha, NE 68134","Advantage Spa"
"373-1677","860","6401 Belair Rd.","East Windsor, CT 06088","New Spa"
"490-9822","402","880 N Military Highway","Omaha, NE 68102","U Like A Hotie"
"342-7311","402","3827 Eastern Ave","Omaha, NE 68102","A-About Town"
"341-2638","402","3601C Cox Rd","Omaha, NE 68102","Body Heat Entertainment"
"866-1619","701","1408 King St","Fargo, ND 58103","Secret Fantasies"
"879-8866","802","2607 S 120th Street","Colchester, VT 05495","Harmony Health Spa"
"633-6888","860","151 Talcottville Rd.","Glastonbury, CT 06033","Kang FA Spa"
"571-9311","402","39 Park St.","Omaha, NE 68134","Advantage Spa & Body Works"
"862-1332","802","7510 Bel Air Rd.","Burlington, VT 05401","Eunhwa Spa"
"610-6399","410","212 West 7th St.","Baltimore, MD 21234","Wonderland Spa"
"412-0313","410","214 N Maryland Ave","Baltimore, MD 21206","Phoenix Spa"
"341-9780 Visit my website","402","15716 West Center Road","Omaha, NE 68102","Naughty BUT Nice"
"892-6339","757","6401 Belair Road 2nd Floor","Norfolk, VA 23502","Best Health"
"342-0710","410","5831 1 2 Belair Rd.","Baltimore, MD 21224","Alberto's Spa"
"747-3288","804","140 W. 2100 S., 136","Richmond, VA 23233","Asia Health Massage & Spa"
"525-9440","302","1848 56th Avenue South","Wilmington, DE 19801","Asian Bodywork Center"
"330-2292 Visit my website","402"," ","Omaha, NE 68144","Coco Bongo"
"875-7540","860"," ","Vernon Rockville, CT 06066","New Seoul Oriental Spa"
"208-8050","402"," ","Omaha, NE 68164","Edible Ecstasy"
"878-1223","802"," ","Essex Junction, VT 05452","Seiwa Spa"
"341-9780","402"," ","Omaha, NE 68102","Bada-Bing Girls"
"573-9877","402"," ","Omaha, NE 68134","Pandora's Treasures"
"299-9900","443"," ","Baltimore, MD 21236","College Girls Massage"
"525-9440","302"," ","Wilmington, DE 19801","Asian Bodywork"
"357-1213","302"," ","Wilmington, DE 19804","Asian Massage"
"932-5685","402"," ","Omaha, NE 68130","Asian Massage"
"502-2237","866"," ","Barre, VT 05641","AAA; Hardest Bodies"
"428-7873 Email Me Visit my website","410"," ","Baltimore, MD 21206","Lina Massage"
"227-3328","410"," ","Baltimore, MD 21206","Oasis Spa"
"651-5795","801"," ","Salt Lake City, UT 84115","Heavenly Touch Spa"
"237-6669 Visit my website","701"," ","Fargo, ND 58104","Eligance Dancers"
