"junk","description","weight","title","age","posting-date","location","ethnicity","name"
"junk","description","weight","title","age","posting-date","location","ethnicity","name"
"6","Call me Danny pictures are real.6&#039;0 138lb 8.5uncut bubble cake. .Erotic, nude full body rubdown, more...Great at what I do ;) What you see in pics is what you see in person please dont ask for me to send picsNo Blocked Calls","135lbs - 54","Hung college guy In your city","21","Jun 05, 04:37","Tucson, AZ","Mixed","TucsonsFinestGuy"
"Athletic","Remember in school fantasizing about football basketball jocks  Ever check out young, hung, black studs at the gym  Fulfill your interracial locker room fantasies! Clean-cut, well-reviewed, masculine, top vers athlete. American-born mixed Brazilian-Cuban.  100% discreet  Protecting YOUR confidentiality and privacy is #1. No judgment here; very good with first timers. Rates flexible. Make an offer that works for you. Incall in a discreet, private location in a clean, safe, upscale neighborhood.   Outcall rate based on distance travel time.   TEXT FOR QUICKEST RESPONSE, I&#039;m usually at gym or with clients and cannot always answer phone. Slowest response messaging here. Aside from planned domestic international client travel, I rarely pre-schedule appointments more than a day ahead of time. 2-6 hours notice is ideal. Non-US numbers can ONLY text me through WhatsApp. When contacting me please include: 1) Where you found me 2) What you&#039;re looking for 3) When, where, and for how long","200lbs - 90","HUNG 9 Mixed Black Brazilian-Cuban Muscle Jockboy","25","Nov 15, 2015","Los Angeles, CA","Mixed","KobeRafaelJock"
"Gay","I embrace my sexuality and youth. I get tested every 3 months. Just got tested and I am clean for everything. I live in Rehoboth, DE","170lbs - 70","You can&#039;t go wrong with me. Imma partyboy","25","Jul 09, 2015","Dover, DE","Caucasian","Blackrose"
"6","Hey there I am the guy you are looking for. Im 25 years old and very educated and well travelled, if you wanna chat about anything (which is unlikely given the options) we can definitely have a great time. I can play the violin for you (Naked) from Bach to The Beatles... I can massage you and well the rest is implied given the site where we are contacting.. Drop me a line... You&#039;ll have the time of your life","175lbs - 73","Sexy Latin Geek","25","Nov 06, 2010","Tucson, AZ","Latin","PanisAz"
"Muscular","Hello! My name is Jordan and I am the one guy you should make the time to see! I tailor each session for your individual needs, desires and comfort level, and assure complete discretion and privacy. I provide a massages that ranges from therapuetic to erotic... They can be one or the other; or a combination of the two. I am very open minded and can go from mild to wild!!! I am naturally submissive and know my place at the bottom! Our time together will be something you wont forget Believe me this is something you will NOT regret!!! Always, My ultimate goal is to please and satisfy you! My Donations are: 30min ~ 80 my place 60min ~150 my place 170 to come to you (in the Tucson Area). If you would like an appointment call me at: 520-301-0744 I look forward to seeing you!!!","140lbs - 56","young hot and ready 4 YOU!!!","21","Oct 05, 2010","Tucson, AZ","Other","Bottomboiforyou"
"Ask me","I am working on my body i have a six pack. I am in agua prieta sonora but i can go to Douglas Arizona i am 18 years old all most 19, just send me a message on my e-mail. I like to make my clients wants more and more, don&#039;t be shy we can spend a really good time and have too much fun just send me a message.","170lbs - 70","Sexy guy make his clients wants more and more","18","Feb 19, 2012","Tucson, AZ","Latin","Robertmorales"
"5","Twink, bottom, full of energy, and ready to have some fun. Please message me for more. (NOTE): Must be willing to travel. (Current location - Whitecourt, AB)","145lbs - 58","Hey Guys","18","Aug 31, 2015","Edmonton, Alberta","Caucasian","Tylerjm"
"Muscular","Hey guys i just started the gym so i am little tone","135lbs - 54","Hey guys you can meet me","20","Mar 30, 00:56","Tucson, AZ","Latin","Riverasteven"
"Bisexual","I&#039;m open to please. I want to leave you satisfie and pleased. My number one goal is to make you want more.","180lbs - 78","Sexy, horned up, guy next door","24","Dec 17, 2015","Tucson, AZ","Caucasian","Randyg"
"5","Hello guys. I&#039;m well educated going through hard time. Have a great body and macho personality with a great beard.","185lbs - 80","For some serious hot fun","27","Jan 25, 03:30","Edmonton, Alberta","Mixed","Hungbearded"
"Defined","Total Top Alpha-Jock-Dad type, 6ft 175lbs, 42, muscular build, handsome with rugged model face. I can be dominant and rough or gentle, either way, I always get what I need. Total discretion expected and guaranteed. cologne-free, and natural. Nothing is shaven below the neck. I have large feet and hands. Please understand this posting does not define my life, I am very discreet, I don&#039;t send face pics. I state this only, so that no time is wasted with face pic requests. However, my photos are verified. I guarantee that what you see here, is what you will get. Hit me up. You will be pleased that you did. For some additional reviews, click here: http:  www.daddysreviews.com search Active K kris_nyc","175lbs - 79","Kris Parkes - Total Top Man","42","Jun 20, 22:12","New York City, NY","Black","KrisParkes"
"Ask me","I am a young, attractive, fit, lean man. I am looking to service men of any age, race or weight. I can host in the Edmonton area.","180lbs - 78","Young, Lean, Tight Bottom","21","Apr 25, 22:54","Edmonton, Alberta","Caucasian","Studlybottom"
"5","Twink jock loves to work out 100% drug and ddf I am very discreet, respectful, easygoing, and charming. I have a porn-star perfect 8 uncut dick I love to dominate and be dominated. From mild to wild I am loads of fun.  by appointment only I am also happy to escort you out on the town for dinner or drinks or what ever you want including massages or be naked all the time i am rally opened minded like to try new things. Im vers so i can be whatever your desires want ;). I can travel to you just let me know. Any fantasy  i can make it true. My pics are 100% real. No limits. Party like a ROCKSTAR Fuck like a PORNSTAR. Theres some fetishes that i never try but i can do anything you want all your desires. Just call me or send me a e-mail azdude_18@hotmail.com subject: Twink Jock Wanted. And i deffinetly woth it ;) erotic dances, body massage, just a good moment, company, or good sex.","120lbs - 48","Nice guy to Make dreams come true","18","Oct 08, 2012","Tucson, AZ","Latin","RobertAz"
"Athletic","Would like to be your top companion can be vers for the right guy . Very dominant and get into most things ....","180lbs - 78","TOP DUDE IN SF","33","Jul 03, 2015","Oakland, CA","Latin","Marcos"
"Ask me","I am a sultry hot Cuban-American man, who loves oral, anal, kissing and a lot of body contact and who will give you a great passionate time. I`m 6, 185 lbs with a athletes body. I am mostly smooth which shows off my well defined chest and hot pecs, 6 pack abs, muscular arms, and strong legs. I have a sexy muscular butt that will love your attention and my hard 8.6 x 6 cock will impress you! I`m friendly, handsome, polite, discreet and have a great attitude and I want to make sure you have a great timeI know we will have a lot of fun together! Send me a text, if you are looking for a one of a kind experience, but please no private calls and serious inquiries only","180lbs - 78","Sapiosexual","29","Dec 29, 2015","Naples, FL","Latin","Meguel"
"5","Masculine, energetic, athetic, fit, toned up and coming adult model. I&#039;ve filmed 20+ scenes for Barebackthathole, Lucas Entertainment, Treasure Island Media, JasonSparksLive.com , Gayroom.com among others. Juicy bubble but, thick cock and strong hands to offer you a great massage. I love fitness, gym, sports, dining out, wine drinking, I&#039;m also bartender server. Looking forward to meeting YOU!!!!","175lbs - 73","Porns up and coming bottom!!!","27","Nov 03, 2015","Kansas City, MO","Caucasian","AlexMasonXXX"
"Athletic","I&#039;m fun, playful, easy going, discreet, friendly, open minded, cultured, exciting, talented, warm, funny, satisfying, intuitive, with a great touch. You&#039;ll feel the difference. The attitude is great: approachable and easy going. I&#039;m a Welsh, German, Italian Euro-American. The pictures are genuine, authentic, and always fresh and recent. I&#039;m in the gym daily and it shows. I am completely Disease Free, HIV Negative, tested regularly, and I&#039;m also on PrEP Truvada to be as safe as possible for me and you. I am Professional, Punctual, and Proper. I&#039;m a very well educated college graduate, quite intelligent, and exceptionally respectful. I have a great sense of humor and a down to earth nature. I offer a sensual yet powerful deep tissue massage, and acupressure as an added bonus to the Full Service Experience. I can provide you with the boyfriend experience, or simply as an exquisite delightful companion friendly to the eye. I&#039;m versatile, open minded &amp; most likely willing to do most everything you might be interested in. Please ask me. You&#039;ll be very impressed and quite satisfied with my high end services. I know what to do and how to do it. So let&#039;s do it. Incalls or outcalls, several hours, overnights, and weekends are available. I would be up for an entire week+ if we are good chemistry, and you are affluent and abundant in nature. I&#039;m located in Tucson, AZ but willing to travel. I have a hot 3-WAY PARTNER Available: text for more details, pics, links &amp; rates. 2 HOT GUYS @ $320 hr. Please Text or Call me anytime: (520) 965-3441 Texts limited   No blocked calls   Serious Inquires, Please. Keep it simple and email your inquiries to: JAYPLAY1@OUTLOOK.COM Major Credit and debit cards are accepted. I accept Apple Google Pay and Wallet, and can invoice in advance via email. Tipping is Greatly Appreciated Thank you so much in Advance! FOLLOW ME ON TWITTER: https:  twitter.com JayJayplay1 MY PRIVATE PICS PASSWORD IS: 3way MY SITE: http:  www.jayplayboy.com","185lbs - 80","Fun, Sexy, Supermodel Hot, &amp; Ready to Play","54","Aug 26, 2015","Tucson, AZ","Caucasian","Jayplay"
"Ask me","VARON SERIO DOMINANTE ACTIVO 100% TELEFONO: 04124000226 EDAD: 26 AOS ESTATURA: 1.85 MTS DOTACION: 22 CMTS DE PURO SABOR HERMOSO CHICO EN SU GRAN REGRESO AL PAIS QUE DESPIERTA TUS MAS INTIMOS DESEOS SEXULAES Y TE HARA DELIRAR CON SU MAGNUM 22 X 8 CMTS DE GROSOR, MUY DURO, SATISFACER FANTASIAS Y FETICHES, SADOMASOQUISTA, CALZO 45 SI ERES SUMISO O PERRITA ES UN PLUS, VIVE CONMIGO EL SEXO AL MAXIMO, SIN TABU HABLAME DE TUS FANTASIAS. SOY MAGNIFICO PARA ACOMPAARTE A TUS RUMBAS, FIESTAS VARIADAS,ASI COMO TAMBIEN NOCHES ENTERAS DE PURA PASION. ATIENDO HOMBRES, DAMAS, MATRIMONIOS,PAREJAS DE TODO TIPO,TENGO DISPONIBILIDAD DE TRASLADARME AL INTERIOR O EXTERIOR DEL PAIS PREVIO ACUERDO ECONOMICO.ACTIVO COMPLACIENTEDISCRETO.FULL PRIVACIDAD EN LO NUESTRO.SERVICIOS EN HOTELES PREFERIBLEMENTE DEL ESTE DE LA CIUDAD DE CARACAS Y ATENCION EN DOMICILIOS SOLO A CLIENTES VIP. POR FAVOR NO OCULTE SU NUMERO AL LLAMAR Y NO ENVIEN TEXTOS. DISFRUTA DE RELAX CONMIGO ACTIVO AL 100 %","170lbs - 70","ALEJANDRO FERRANDI MACHO VENEZOLANO DOMINANTE","26","Feb 21, 18:24","Caracas, Venezuela","Caucasian","AlejandroMaster"
"6","Hey, I&#039;m Jay-a 25 year old graduate student. i workout daily and love to meet new people. I am a trained massage therapist and have a massage table at home. I am doing incalls only at this time and my rate is 160 an hour 200 for 90 mins and my availability id flexible with a little notice. 248 986 4190 Jay","180lbs - 78","Jay Hot Massage Pro and more","26","Dec 16, 2015","Detroit, MI","Black","Jayfla"
"Defined","I&#039;m 29 5&#039;11 br eyes br hair 190 7cut with a 6g PA. Vers Bttm. Looking to have a Wild Time, Raw Only here!!! Because to me Sex isn&#039;t sex unless its RAW!!!!!! So with that said let&#039;s FUCK","160lbs - 72","Loooking for a Wild time","25","Jun 24, 01:51","Detroit, MI","Caucasian","RawPoinTpig"
