"name","service","title","gender","price","posting-date","location","review-id","age","ethnicity","description"
"name","service","title","gender","price","posting-date","location","review-id","age","ethnicity","description"
"Desireamour8","Escorting Strip-tease Domination Casting adult  A  Levels Role play & Fantasy DUO PSE Quickie French Kiss OW OWO FETISH GFE BDSM WS Dinner Date Tantric Massage","Just for you XX ready !!!INCALL,OUTCALL !!!","Female","40 60 100 - - -","10 09 2016","Bristol city centre - BS1","139134914","23","Latina o","Hi babe xx i'm here now and hot girl in town...call me for make a booking ,we can enjoy in my private location or i can come to your...lovely girl,sexy body xx"
"Miruna","Escorting Strip-tease Domination Casting adult Quickie Dinner Date","Hi Guys, I&#039;m Nicole , your hot and sexy escort !!","Female","- 80 150 - - -","11 09 2016","South West","139167542","21","Latina o","Sexy, passionate and playful!!! Feel free to call me. I am waiting for you,, love nice sweet erotic moments! Amazingly hot, very fun and extremely friendly. Im discreet and very professional, so your privacy is guaranteed. Don`t miss the chance to enjoy a mix of EXPERIENCE and PASSION Giving PLEASURE is a must and your SATISFACTION is GUARANTEED. Let`s have an amazing time together, Im here ready, waiting for you, SEXY, HORNEY"
"Jessiesweetxx","Escorting Strip-tease Domination Casting adult  A  Levels Role play & Fantasy DUO PSE Quickie French Kiss OW OWO FETISH GFE BDSM WS Dinner Date Tantric Massage","Jessie Sweet","Female","40 60 110 220 440 800","06 07 2016","Bristol","136708247","21","Caucasian","Hello naughty boys and passionate gentleman's! I'm Maya, 23 years old, from China, I am super busty and playful young escort girl. I'm size 8 with natural 36C breasts, curves in all the right places and the perkiest bum you've ever squeezed! I don't like to rush or be rushed, so you can be sure the time you spend with my will be genuine girlfriend experience. call me or text me on 07405852010 Come to my place and you will feel like at home. LOCATION Ealing Broadway - W5 MY PRICE Incall 60 30 mins 100 hr Outcall 150 hr"
"Laurenlove2015","Escorting Strip-tease Domination  A  Levels Role play & Fantasy DUO PSE Quickie French Kiss OW OWO FETISH GFE BDSM WS Dinner Date Tantric Massage","Sexy Blonde MixxRace PornStar Slut ... Gfe,PSE,WS","Female","- 100 150 300 - 1,000","01 07 2016","West Cliff - BH2","136514764","21","Mixed","HELLO GUYS, I"
"Amber","Escorting Strip-tease OWO Tantric Massage","Chinese cute escort waiting for you in London - NEW NEW NEW","Female","40 60 100 180 350 700","25 06 2016","South West","136227533","23","Asian","INCALL &amp; OUTCALL ANY TIME JUST FOR YOU 07405170356 KISS Are you tired of not getting what you see  Then you are on the right page!!! I am JULLY sexy girls of 18 years available 24 hours 7 days. very friendly, open-minded, clean, fresh and sexy, always horny girl, very naughty in private. Spend some time with me! Genuine provides an un-rushed service,you will not be disappointed.. CALL ME AND NEVER REGRET 07405170356 XXX"
"Francine","Tantric Massage","Exquisite Tantric Massage and Intimacy Coaching","Female","- - - - - -","10 04 2015","Dorset","117672473","32","Caucasian","I'm back in town xx ready again just for you my guys x ..call me to arrange a booking INCALL OR OUTCALL .xx"
"Roxiroxi698","Escorting Strip-tease Domination Casting adult Role play & Fantasy DUO PSE Quickie French Kiss OW FETISH GFE WS Dinner Date Tantric Massage","Roxi new hot New in Leeds","Female","50 60 120 - - 1,020","04 09 2016","Crumpsall - M8","138911257","20","Caucasian","Sexy new girl in town Carmen if you are looking for to escort who is young, beautiful and fun, then you are in the right place. I'm A classy, beautiful and sexy girl with a gorgeous smile, charming personality, and great sense of humor. When you come to see me you won't be disappointed I will be very happy to spend time with you,no rush I'm a perfect company for you. I can also visit you in your hotel! Horney and waiting for you call to please you x x x"
"Lolo","Escorting Strip-tease Domination Casting adult  A  Levels Role play & Fantasy DUO PSE Quickie French Kiss OW OWO FETISH GFE BDSM WS Dinner Date Tantric Massage","JUST ARRIVED TODAY YOUNG AND EXPERT ALL SERVICE FOR YOU","Female","- - 150 220 - 1,500","02 09 2016","North West","138852297","18","Caucasian","Contact: 07424853359 I am a young woman, intelligent, who loves to talk about everything. With an excellent education, elegant from nature, smiling and spontaneous, I love to seduce with my physical attributes but also through my personality. I am very sociable and I really enjoy meeting new people, new partners from different origins and backgrounds. I am nice and warm with a touch of fantasy, just to make life more beautiful!!! I have a real personality, very friendly and a joy to live ... incredibly contagious I really like the existence and funny situations and refined. Indeed, tender, sweet and very passionate, I love to offer services very sensual. I greatly appreciate the delicate moments of confidence and borrowing intelligent conversation and interesting. You can come and see me, RAISSA OUTCALL : BOURNEMOUTH KISS, KISS, KISS!!!"
"Desireamour8","Escorting Strip-tease Domination Casting adult  A  Levels Role play & Fantasy DUO PSE Quickie French Kiss OW OWO FETISH GFE BDSM WS Dinner Date Tantric Massage","My name is Anabelle,!!call me to enjoy good moments!!!","Female","- 60 100 - - -","10 09 2016","Manchester County","139135173","25","Latina o","Best quality oriental massage in Bristol Clifton. Lovely Oriental ladies offering relaxing massage with full service. All gentlemen are very welcome to our discreet. Clean and comfortable premises with shower facilities and refreshments. Call now and enjoy a special relaxed no rush and top service xxxxx Call : 07575435091 No email booking , thank you and see you soon."
"Carmen20sandiego","Escorting Strip-tease Domination Casting adult Role play & Fantasy DUO PSE Quickie French Kiss OW OWO FETISH GFE BDSM WS Dinner Date Tantric Massage","NEW Sexy Young Booty Escort Carmen Central London","Female","- - 150 - - -","04 05 2016","Manchester City Centre - M1","133852096","23","Mixed","Hi Dearest Gentlemen, Try Something Different ; Time For A Change; Try Oriental. I have a stunningly beautiful pretty exotic looks with a perfect mix of oriental beauty. Come escape with me to my little Asian Oriental Exotic World. I am an independent escort that have a passionate, warm and friendly personality that will make you feel welcome and relax immediately from the moment we meet. Rest assured that l'm a friendly and chatty girl that you (or newcomer) will not feel nervous at all in my company. I'm definitely not a clock watcher as l feel that the services should be as natural and relaxing as possible and not under restraint. I offer no rush services you truly deserve. I always treat my client as a sensual partner that I can enjoy with. And believing in giving a true and natural experience to build the intimacy that we can't forget about. I'm a tempting treat for something delightful and deliciously different from caucasian. Well trained in massage and excellent in both erotic and relaxing deep tissue massage. You'll be spoiled and pampered after a long hard busy day into a paradise world of indulgence. Nothing gives me more pleasure than seeing you absolutely satisfied with fulfillment at the end of it. So let's awake the sensuality in you and give me a call and enjoy the ultimate eroticism that we can't forget. Look forward for the pleasure of your company soon 07778160688 In &amp; Outcalls GENUINE PICTURES"
"Raissa.sweet1","Escorting Strip-tease Domination Casting adult  A  Levels Role play & Fantasy DUO PSE Quickie French Kiss OW OWO FETISH GFE BDSM WS Dinner Date Tantric Massage","RAISSA NEW IN TOWN! INCALL-OUTCALL","Female","- - 100 180 - -","10 09 2016","North West","139141130","20","Latina o","Hello my name is ELLA and i am best girl in the city ready to make your dreams come true :) My flat is nice clean ready to wellcome you i will be expecting u with a glass of wine to share togheder HORNY, KINKY, BUSTY and Very Sweet bombshell. I have a hot body as you can see in my genuine pictures. I'm a very naughty lady, horny, genuine, sensual, relaxed and confident. Open minded and looking forward yo please you as much as you deserve ;) I guarantee that you won't be disappointed with my service and you'll come back to see me each time you feel horny or want to have a good time I offer a very discreet unhurried relaxing and exotic experience with the emphasis on your satisfaction! I'm an ELITE escort and I like to enjoy my time in here as I would like to meet some really nice gentlemen. do not miss opportunity to meet a True young beauty like me     IMPORTANT NOTICE !!!!!! I Am a pretty tight girl and dont take all sizes IF YOU have a big pecker please ASK me before and i tell you if its ok or not. OR, U can have the surprise to come for nothing. ! Thank you I'm looking forward to meeting you soon 07957.312.488 100% real Pics ! P.S If you try to call me and for anny reason my phone is closed its because my signal its not the best i can want ! Keep trying or send me a text please and i will make sure to respond back ! THANK YOU !!"
"Linda","Escorting Role play & Fantasy Quickie French Kiss OW OWO GFE WS Tantric Massage","Sexy Asian lady in Bristol Clifton","Female","- - - - - -","22 07 2016","Manchester County","137284547","24","Asian","Cheaper sexy London Escort Girls Direct to your door- outcall girls who know how to please a man. Check out our website for even more girls- these are just a couple of our cuties... Direct2U - London's most trusted and discreet escort agency since 2005. Mention viva street when booking to recieve 10% discount. 100% genuine, no fake pictures. New Girls always required earn up to 500 per shift. Drivers wanted Blonde girls, brunette girls, spicy latinas and sensual ebony escorts- all here ready to come Direct 2 U. xx www.direct2u-escorts.co.uk Check out our website for more gorgeous girls!"
"Sweety168138","Escorting Strip-tease OW FETISH GFE Dinner Date Tantric Massage","ORIENTAL DARLING BABE","Female","- 60 120 - - -","18 06 2015","Ealing - W13","120717016","26","Asian","Lolita (REAL Pictures !!!!) Welcome to luscious Lolita, a beautiful and well-shaped Spanish British escort with the looks and curves to break many a heart. Who is going to resist her stunning natural beauty, and that naughty welcoming smile  She is a confident woman who knows exactly what she's doing. Hi there and welcome to my secret world.Thank you for reading my profile! I am a witty, open-minded and outspoken woman. I have a lot of interests and hobbies.... By day, during term time I am a hard working educated business women. But away from my office I indulge my hidden desires. Please, tell me your fantasies. Come over and find out more about me Why not a massage  With my soft hands and smooth skin I know how to treat a man right so let me help you relax after a hard day. DINNER AND OVERNIGHT DATES If you are looking for that perfectly dressed lady on your arms to make heads turn, I am the right women for you. Yet elegant and discreet. We can enjoy dinner together and I am sure we will make a night of it . I love fine dining but also enjoy having a fine steak with a good wine , topped with interesting conversations. I often have been asked if I only escort in London, I would and do love to travel to other UK cities and also other countries. Please call for more details. I Love being out and about, whenever I can, going to the park, museums , theatre , art galleries, casino and opera houses. Some of my favourite restaurants in London are Alain Ducasse at The Dorchester, Dinner by Heston Blumenthal in the Mandarin Oriental Hyde Park Hotel in Knightsbridge, The Ledbury in Notting Hill, Benihana restaurant in Mayfair and Gaucho Sloane, fine Argentine Stake in Chelsea. Looking forward to hearing from you. Kisses &amp; cuddles, Please call for my availability."
"SilviaBooty","Escorting Strip-tease Domination Casting adult  A  Levels Role play & Fantasy PSE Quickie OW BDSM WS Dinner Date","EllaBby Little Naughty Angel. To Meet in MANCHESTER CENTER","Female","- 100 150 - - -","09 10 2014","London","107745321","24","Latina o","This Brazilian beauty is sure to blow you away!!!! She is a tantric goddess and here to fulfil all of your desires. Her curves are fixed in all of the right places and you will be in heaven as she works her body around yours, making sure you feel all of her. Arabella provides a world class girl friend experience and her style and grace will make any man or woman feel in ore of her presence. This beauty is only here for 1 week so please book in today and make sure you don't miss out. She is available for in calls and outcalls. Please call the number below for any more information. 07470552128 xx"
"Direct2uLondon","Escorting Strip-tease Domination Role play & Fantasy DUO PSE French Kiss OWO FETISH GFE WS Dinner Date","High Class Escorts to your door at a price you like XXX","Female","30 50 80 - - 500","23 04 2015","West London","118248928","22","Caucasian","Hi,I am a new lady in Birmingham and I am very open-minded,I do love fun and love bringing happiness to my guys. My touch is very soft and sweet,you can feel the every skin of mine and the temperature of my skin. You must love this feeling. Your worries will go away with me. You just need to feel the amazing moment."
"Casandracobra","Escorting Strip-tease Domination Casting adult  A  Levels Role play & Fantasy DUO PSE Quickie OW FETISH GFE BDSM WS Dinner Date Tantric Massage","EVELINE NEW IN TOWN","Female","- - 120 - - 600","03 05 2016","Rawtenstall - BB4","133794955","20","Caucasian","Hi I am Eveline, I am new in Manchester, come and spend some quality time with me. I promise you will not be disappointed. 100% satisfaction guaranteed!!! I look forward to your call xx 07459856485"
"Mariagraca0","Escorting Strip-tease Domination Role play & Fantasy French Kiss FETISH GFE Dinner Date Tantric Massage","REAL Natural MEGA Busty Sexy Escort South Kensington Lolita","Female","40 60 100 - - -","20 05 2016","North West","134579273","34","Latina o","I am new in Leeds for you incall outcall any time 07404561880 My name is Betty 18 old All service for you bby Call me and never regret moment with young girl 07404561880"
"Manchester City Tantric Massage","Escorting Strip-tease DUO French Kiss GFE Dinner Date Tantric Massage","Sexy BrazilianEnglish escort and tantric masseuse!!","Female","- 80 150 - - -","30 08 2016","Lancashire","138729342","24","Latina o","Hiya my name is Alexia, I'm a blonde 24 year old girl, ready and horny for you. I am new in the UK a Super Sexy Italiana. I am a warm, sweet, gentle, caring and beautiful girl. I am very patient and like talking to you. I love people who make me laugh and joke with me. I have a gorgeous body with the biggest and firmest bum in town! My petite body is smooth, firm and curvy. I don't weigh much so I'm easy to throw around! I am very clean and very respectful of you and your time, I will try and make all your dreams come true and drive you as crazy as possible. If you just want to come for a chat with cuddles, by all means come along! I am discrete, sensual and caring, here to give you a good time, life is too short, let's enjoy it! xxxx. OUTCALL only at the moment please! AVAILABLE 24 7. Don't miss me just kiss. Call me on 07533439339 and I will make sure you don't regret it!"
"24 Carat Escorts","Escorting Strip-tease Domination Casting adult  A  Levels Role play & Fantasy DUO PSE Quickie French Kiss OW OWO FETISH GFE BDSM WS Dinner Date","YOU GO BACK TO HER.BUT IM GOING BACK TO BLACK...EBONY GIRLS","Female","- 80 150 - - -","05 12 2014","Meanwood - LS6","111885610","24","African Caribbean","Sensual and pleasurable experience guaranteed Personal warm and friendly first class service Experienced woman who really knows how to please and see to your needs Call to book in for an amazing time No texts calls only Private numbers will not be answered Tina xxx 07926413701"
"Biancashow518","Escorting Strip-tease Domination Casting adult  A  Levels Role play & Fantasy DUO PSE Quickie French Kiss FETISH GFE BDSM WS Dinner Date Tantric Massage","HELOOO...my name is Charlott XXX!!!!!","Female","- - 250 - - -","11 06 2016","Yorkshire and the Humber","135608129","25","Latina o","Hello naughty boys and passionate gentleman's! I'm Maya, 23 years old, from China, I am super busty and playful young escort girl. I'm size 8 with natural 36C breasts, curves in all the right places and the perkiest bum you've ever squeezed! I don't like to rush or be rushed, so you can be sure the time you spend with my will be genuine girlfriend experience. call me or text me on 07405852010 Come to my place and you will feel like at home. LOCATION Ealing Broadway - W5 MY PRICE Incall 60 30 mins 100 hr Outcall 150 hr"
