wspeed,wgust,temp,humid,dewp
0,0,38.1,73,30.2
0,1,38.1,73,30.2
0,1,38.1,73,30.2
0,1,38.3,73,30.4
0,0,38.1,73,30.2
2,2,38.1,73,30.2
0,2,38.1,73,30.2
0,3,38.1,73,30.2
0,0,38.1,74,30.6
0.9,2,38.1,74,30.6
0,0,38.1,75,30.9
0,0,38.1,75,30.9
0,0,38.1,75,30.9
0,3,37.9,76,31.1
0,3,37.9,76,31.1
0,2,37.9,76,31.1
0,0,37.8,76,30.9
4,4,37.8,76,30.9
0,3,37.8,76,30.9
0,3,37.8,77,31.3
0,1,37.6,77,31.1
2,7,37.6,76,30.7
0,2,37.6,77,31.1
0,1,37.6,76,30.7
0,3,37.4,76,30.6
0,4,37.4,76,30.6
0,4,37.4,76,30.6
0,1,37.2,76,30.4
0,5,37.2,76,30.4
0,0,37.2,76,30.4
2.9,3,37.2,76,30.4
0,2,37.2,76,30.4
0,3,37,76,30.2
0,2,37,77,30.6
0,6,37,76,30.2
0.9,2,37,76,30.2
0,3,37,77,30.6
0.9,2,37,77,30.6
0.9,3,37,77,30.6
4,4,37,77,30.6
0.9,5,36.9,77,30.4
0,0,36.9,77,30.4
0,4,36.9,77,30.4
0,1,36.9,77,30.4
0,3,36.9,77,30.4
0,1,36.9,77,30.4
0,7,36.9,77,30.4
2,2,36.9,77,30.4
0,1,36.9,77,30.4
0,3,36.9,77,30.4
0.9,3,36.9,77,30.4
0,5,36.9,77,30.4
0.9,1,36.9,78,30.6
0,0,36.9,78,30.6
0,0,36.9,78,30.6
0,4,36.9,79,30.9
0.9,4,36.7,79,30.7
0,3,36.7,80,31.1
2,3,36.3,80,30.7
0,4,36.1,81,30.9
0,2,36.1,81,30.9
0,2,36,82,30.9
0,3,36,82,30.9
0,1,35.8,82,30.7
0,3,35.6,82,30.7
0,5,35.4,83,30.7
0,2,35.2,83,30.6
0,0,35.2,83,30.6
0,2,35.1,83,30.4
0,0,35.1,83,30.4
0,0,34.9,84,30.6
0,3,34.9,84,30.6
0,0,34.9,84,30.6
0,0,34.7,85,30.7
0.9,2,34.5,85,30.6
0,0,34.5,85,30.6
0,4,34.5,85,30.6
0,2,34.5,85,30.6
0,0,34.5,85,30.6
0,0,34.5,85,30.6
0,0,34.5,86,30.7
0,2,34.5,86,30.7
2,3,34.5,86,30.7
0,5,34.3,86,30.6
0,0,34.3,86,30.6
0,2,34.5,86,30.7
0,0,34.3,86,30.6
0,0,34.3,86,30.6
0,0,34.3,87,30.9
0,0,34.3,87,30.9
0,0,34.3,87,30.9
0,0,34.3,87,30.9
0,1,34.3,87,30.9
0,2,34.3,87,30.9
0,2,34.5,87,31.1
0,1,34.3,87,30.9
0,0,34.5,88,31.3
0,0,34.5,88,31.3
0,0,34.5,88,31.3
0,4,34.5,88,31.3
0,3,34.5,88,31.3
0,0,34.5,88,31.3
0,2,34.7,88,31.5
0,0,34.7,88,31.5
0,0,34.7,88,31.5
0,0,34.7,88,31.5
0,4,34.5,88,31.3
0,3,34.7,88,31.5
0,0,34.7,88,31.5
0,0,34.7,88,31.5
0,1,34.7,88,31.5
0,0,34.9,89,32
0,0,34.9,89,32
0,3,34.9,89,32
0,4,35.1,89,32.2
