street
23845 W. McBean Pkwy.
100 W. California Blvd.
3700 E. South St.
2400 S. Flower St.
300 W. Huntington Dr.
1300 W. 7th St.
4101 Torrance Blvd.
1050 Linden Ave.
1720 E. Cesar E. Chavez Ave.
700 Chatsworth Dr
2121 Santa Monica Blvd
767 N Hill St
2323 Workman St
200 S Beach Blvd
3110 Chino Ave
133 N Sunol Dr
4560 E Cesar Chavez Ave
8405 Beverly Blvd
23772 Newhall Ave
30257 San Martinez Rd
27225 Camp Plenty Rd
1027 Linden Ave
8330 Reseda Blvd
7326 Jordan Ave.
4100 Baldwin Park Blvd
100 W. Clary Ave.
9200 Mines Ave
Avalon Bl
York Bl
National Bl
Lincoln Bl
Balboa Bl
Oliver Vickery Circle Wy
Chase St
Vineland Av
22nd St
McConnell Av
Woodman Av
Ballona Creek
03 mi w/o Vermont Av
Gaffey St
200' E/O Hillcrest Av
Haskell Av
Canoga Av
White Oak Av
100' E/O Western Av
Shoup Av
Oxnard St
Roxford St
Washington Bl
Wilshire Bl/Veteran Av
N bank of LA River
Temescal Canyon Rd
Burbank Bl
Palos Verdes St
Mesa St
Pacific Av
Beacon St
Vermont Av
Western Av
260' W/O Broadway
Henry Ford Av
940' S/O San Fernando Rd
Crescent Av
Broadway
Lassen St
Century Bl
Van Nuys Bl
Leghorn Av
21st St (San Pedro)
Zoo Dr (S Jog)
Griffith Park Dr
Verdugo Rd
Topanga Canyon Bl
Westdale Av
Roscoe Bl
State Dr
San Fernando Rd
Av 43
Barham Bl
Anaheim St
Vista Del Mar
Los Feliz Bl
2000' E/O Pershing Dr
Channel St
Sunland Bl
Riverside Dr
Jefferson Bl
Rodeo Rd
989' N/O Village Way
Pico Bl
Manning Av
Calabasas Rd
Fountain Av
Lomita Bl
Front St
Sherman Way
Valerio St
Laurel Canyon Bl
Tyrone Av
Sunnyslope Av
Coldwater Canyon Av
Valley Circle Bl
Whitsett Av/Arleta Dr
Arden Pl
26th St
Sepulveda Bl
300' N/O Sherman Oaks Av
Ohio Av
Centinela Av
Sherman Wy/Platt Av
Laurel Cyn Bl
Venice Wy
Sheldon St
Pershing Dr
Paseo Del Mar
Zoo Dr (N Jog)
Wellworth Av
Victory Bl
Gault St
Eagle Rock Bl
Forest Lawn Dr
McClintock Av
Buckingham Rd
Firth Bl/Compton Av
Miraleste Dr
Monte Vista St
Irvington Pl
Repton St
L St
Federal Av/Indianapolis St
Ventura County Line
Valerie Av
Alumni Av
Miranda St
Porter Ranch Rd.
Le Conte Av
Palms Bl
Ventura Bl
Venice Bl
120th St
98th St
Harbor Park Bike Path
Figueroa Pl
Orange Line Bikeway (W/O Old Depot Plaza Rd)
Crestknoll Dr
Gayley Av
Devonshire St
Shanley Av
Av 45
Main St
Trentino Ln
Sesnon Bl
Av 50
Mulholland Dr
Overland Av
Purdue Av
Stephen M White Dr
S Venice Bl
Playa Vista Dr
Runway Rd
Westchester Pkwy
Ingomar St
Reseda Bl
Winnetka Av
Zelzah Av
Vanalden Av
De Soto Av
Sunrise Ridge Rd
Corbin Av
Av 63
Rinaldi St
185' E/O Lincoln Bl
Dawn Creek
115th St
Mason Av
Marmion Wy
Campus Dr
Pacific Coast Hwy
28th St
Chandler Bl N
Nordhoff St
Sherman Wy
Barranca St
Av 18
N Woodman Av
Fulton Av
Wheatland Av
Harcourt Av
Glenoaks Bl
Hilgard Av
Saticoy St
Stagg St
Marquesas Wy
La Cienega Bl
Rampart Bl
Catalina St
Yucca St
Boyle Av
Parthenia St
Lankershim Bl
Knox St
Cesar E Chavez Av
Grand View Bl
500 ft N/o Humbolt St
Santa Monica City Limits
Broadway Pl
Wilshire Bl
Arden Bl
Hollywood Bl
Bronson Av
La Mirada Av
St Nicholas Av
314' s/o Rinaldi St
192' s/o Devonshire St
Los Angeles city limit
Culver Bl
Monte Mar Dr
Ocean Front Walk
4th St
Hoover St
La Brea Av
Landfair Av
Santa Monica Bl
Rosewood Av
New Hampshire Av
6th St
Beverly Bl
Malcolm Av
Foothill Bl
Tampa Av
Bessemer St
39TH  PL  AT  ST  ANDREWS  PL
24TH  ST  AT  GRIFFITH  AV
52ND  ST  AT  WESTERN  AV
OLYMPIC  BL  AT  LA  CIENEGA  BL
ROBERTSON  BL  AT  GUTHRIE  AV
WETHERLY DR AT WHITWORTH DR
PACKARD  ST  E/O  LA CIENEGA  BL
CREST  DR  AT  PICKFORD  ST
53RD  ST  AT  COMPTON  AV
WILTON  PL  AT  SAN  MARINO  ST
BEAUDRY  AV  AT  2ND  ST
QUEEN ANNE PL  AT 12th ST
READING AV  AT  INTERCEPTOR ST
WEST  BL  N/O  SLAUSON  AV
CROCKER  ST  AT  87TH  PL
ASCOT AV AT 55th ST
CENTURY  BL  AT  CENTRAL  AV
NEPTUNE  AV  AT  SANDISON  ST
EUBANK  AV  AT  G  ST
DON ST AT FRIGATE AV
EVELYN  AV  AT  182ND  ST
ANAHEIM  ST AT SCHLEY AV
112th ST AT WILMINGTON AV
BROADWAY  AT  51ST  ST
MONTANA  AV  E/O  SEPULVEDA  BL
16th ST E/O DODSON AV
REDWOOD AV N/O MINDANAO WAY
OSAGE AV S/O 83rd ST
BELFORD  AV  AT  83RD  ST
OPHIR  DR  AT  MIDVALE  AV
17TH  ST  AT  CENTRE  ST
INDIANA  AV  AT  4TH  AV
BROOKS  AV  AT  5TH  AV
CLUB VIEW  DR  AT  COMSTOCK  AV
BEVERLY GLEN  BL  AT  WILSHIRE  BL
LONG BEACH  AV  AT  55TH  ST
BROADWAY  N/O  SLAUSON  AV
PELHAM  AV  AT  LA  GRANGE  AV
3RD  ST  AT  MARTEL  AV
GOSHEN  AV  AT  BUNDY  DR
CAPRI DR AT CORSICA DR
BURLINGAME  AV  AT  MARLBORO  ST
2nd ST AT SYCAMORE AV
GRIFFITH PARK BL  AT  ST GEORGE  ST
TRACY  ST  AT  MYRA  AV
HAYWORTH AV AT CLINTON ST
CARMELINA  AV  AT  SUNSET  BL
ANITA AV AT SANTA CATALINA VIEW
SHADY DR   W/O   CARMELINA  AV
NEBRASKA  AV  AT  ARMACOST  AV
CAMDEN  AV  AT  LA GRANGE  AV
COTNER  AV  AT  MISSISSIPPI  AV
FIGUEROA  ST  AT  BUENA VISTA TER
OHIO  AV  AT  GLENDON  AV
BELLWOOD  AV  S/O  OLYMPIC  BL
MISSISSIPPI AV  AT  MANNING  AV
GLENDON  AV  AT  MISSISSIPPI  AV
BEVERLY  DR  AT  FLINT  AV
MALCOLM  AV  AT  ROCHESTER  AV
BENTLEY  AV  AT  MASSACHUSETTS  AV
WEYBURN  AV  E/O  MALCOLM  AV
GENEVIEVE  AV  AT  NEOLA  ST
ORCHARD AV N/O 149TH ST
MEYLER  ST   AT   13TH  ST
EL CENTRO AV AT BARTON AV
HOBART  BL   N/O   LEMON GROVE  AV
LEMOYNE  ST   S/O   SCOTT  AV
LUCERNE  BL  AT  1ST  ST
LAS PALMAS  AV  AT  3RD  ST
SUNSET  BL  AT  SUTHERLAND  ST
HIGHLAND  AV  AT  12TH  ST
MOTT ST  AT  MALABAR ST
SOTO  ST  AT  FOLSOM  ST
BURNSIDE  AV  AT  9TH  ST
HOPE  ST  S/O  TEMPLE  ST
HILL  ST  AT  1ST  ST
BERENDO  ST  N/O  WASHINGTON  BL
