Jefferson
Julio Cesar
Victor
Dani Alves
Dante
David Luiz
Henrique
Maicon
Marcelo
Maxwell
Thiago Silva (c)
Bernard
Fernandinho
Hernanes
Luiz Gustavo
Oscar
Paulinho
Ramires
Willian
Fred
Hulk
J
Neymar
Charles Itandje
Loec Feudjou
Sammy N'Djock
Allan Nyom
Aurelien Chedjou
Benot Assou-Ekotto
Cedric Djeugoue
Dany Nounkeu
Henri Bedimo
Nicolas N'Koulou
Alex Song
Edgar Salli
Eyong Enoh
Jean Makoun
Joel Matip
Landry N'Guemo
Stephane Mbia
Benjamin Moukandjo
Fabrice Olinga
Maxim Choupo-Moting
Pierre Webo
Samuel Eto'o (c)
Vincent Aboubakar
Danijel Subasic
Oliver Zelenika
Stipe Pletikosa
Danijel Pranjic
Darijo Srna (c)
Dejan Lovren
Domagoj Vida
Gordon Schildenfeld
Sime Vrsaljko
Vedran Corluka
Milan Badelj
Ivan Perisic
Ivan Rakitic
Luka Modric
Marcelo Brozovic
Mateo Kovacic
Ognjen Vukojevic
Sammir
Ante Rebic
Eduardo
Ivica Olic
Mario Mandzukic
Nikica Jelavic
Alfredo Talavera
Guillermo Ochoa
Jose de Jesus Corona
Andres Guardado
Carlos Salcido
Diego Reyes
Francisco Javier Rodriguez
Hector Moreno
Miguel Angel Ponce
Miguel Layun
Paul Aguilar
Rafael Marquez (c)
Carlos Pena
Hector Herrera
Isaac Brizuela
Javier Aquino
Jose Juan Vazquez
Marco Fabian
Alan Pulido
Giovani dos Santos
Javier Hernandez
Oribe Peralta
Raul Jimenez
Eugene Galekovic
Mathew Ryan
Mitchell Langerak
Alex Wilkinson
Bailey Wright
Ivan Franjic
Jason Davidson
Matthew Spiranovic
Ryan McGowan
Ben Halloran
Dario Vidosic
James Holland
James Troisi
Mark Bresciano
Mark Milligan
Massimo Luongo
Matt McKay
Mile Jedinak (c)
Oliver Bozanic
Tommy Oar
Adam Taggart
Mathew Leckie
Tim Cahill
Claudio Bravo (c)
Cristopher Toselli
Johnny Herrera
Eugenio Mena
Gary Medel
Gonzalo Jara
Jose Rojas
Miiko Albornoz
Arturo Vidal
Carlos Carmona
Charles Aranguiz
Fabian Orellana
Felipe Gutierrez
Francisco Silva
Jean Beausejour
Jorge Valdivia
Jose Pedro Fuenzalida
Marcelo Diaz
Mauricio Isla
Alexis Sanchez
Eduardo Vargas
Esteban Paredes
Mauricio Pinilla
David de Gea
Iker Casillas (c)
Pepe Reina
Cesar Azpilicueta
Gerard Pique
Jordi Alba
Juanfran
Raul Albiol
Sergio Ramos
Andres Iniesta
Cesc Fabregas
David Silva
Javi Martinez
Juan Mata
Koke
Santi Cazorla
Sergio Busquets
Xabi Alonso
Xavi
David Villa
Diego Costa
Fernando Torres
Pedro
Jasper Cillessen
Michel Vorm
Tim Krul
Bruno Martins Indi
Daley Blind
Daryl Janmaat
Joel Veltman
Paul Verhaegh
Ron Vlaar
Stefan de Vrij
Terence Kongolo
Arjen Robben
Georginio Wijnaldum
Jonathan de Guzman
Jordy Clasie
