Alan PULIDO
Adam TAGGART
Reza GHOOCHANNEJAD
NEYMAR
Didier DROGBA
David VILLA
Abel HERNANDEZ
Javier HERNANDEZ
Edin DZEKO
Klaas Jan HUNTELAAR
Gonzalo HIGUAIN
Oribe PERALTA
Islam SLIMANI
Miroslav KLOSE
Robin VAN PERSIE
Shinji OKAZAKI
Luis SUAREZ
FRED
Eric CHOUPO MOTING
Fabian SCHAER
Uche NWOFOR
Rickie LAMBERT
Miiko ALBORNOZ
Asamoah GYAN
El Arabi SOUDANI
Chris WONDOLOWSKI
Tim CAHILL
EDUARDO
Samuel ETOO
Carlo COSTLY
Yoichiro KAKITANI
Eduardo VARGAS
CRISTIANO RONALDO
Jerry BENGTSON
Lionel MESSI
Mubarak WAKASO
Josip DRMIC
Wayne ROONEY
Sergio AGUERO
Teofilo GUTIERREZ
Mario BALOTELLI
Emmanuel EMENIKE
Lukas PODOLSKI
HELDER POSTIGA
Nabil GHILAS
PARK Chuyoung
Andre SCHUERRLE
Yuya OSAKO
Vedad IBISEVIC
Keisuke HONDA
Danny WELBECK
Daniel STURRIDGE
Mario GAVRANOVIC
Pedro RODRIGUEZ
Marco FABIAN
Thomas MUELLER
Pierre WEBO
Marco REUS
Clint DEMPSEY
Wilfried BONY
Theofanis GEKAS
Fernando TORRES
Salomon KALOU
Alexis SANCHEZ
KOO Jacheol
Jeremain LENS
Cristhian STUANI
Enner VALENCIA
Shola AMEOBI
WILLIAN
Oleg SHATOV
Okechukwu UCHEBO
Antoine GRIEZMANN
Diego FORLAN
Edinson CAVANI
Shinji KAGAWA
HUGO ALMEIDA
Mesut OEZIL
Aleksandr KERZHAKOV
JO
Romelu LUKAKU
Zvjezdan MISIMOVIC
Ashkan DEJAGAH
Felipe CAICEDO
Marcos URENA
Jaimen AYOVI
OSCAR
Carlos BACCA
Saphir TAIDER
Arjen ROBBEN
Jackson MARTINEZ
JI Dongwon
Jozy ALTIDORE
Esteban PAREDES
Roman SHIROKOV
Karim BENZEMA
Konan YA
LEE Keunho
Victor MOSES
Maxi RODRIGUEZ
Frank LAMPARD
Joel CAMPBELL
Antonio CASSANO
Sofiane FEGHOULI
Juan MATA
Xherdan SHAQIRI
Javad NEKOUNAM
Wesley SNEIJDER
Mario MANDZUKIC
HULK
Sulley MUNTARI
Konstantinos MITROGLOU
David SILVA
GERVINHO
Alan DZAGOEV
Mario GOETZE
SON Heungmin
Majeed WARIS
Fidel MARTINEZ
Aron JOHANNSSON
Izet HAJROVIC
Manabu SAITO
Georginio WIJNALDUM
Lorenzo INSIGNE
Acquah AFRIYIE
Ante REBIC
Dirk KUYT
Olivier GIROUD
Alexander KOKORIN
Bastian SCHWEINSTEIGER
Kevin DE BRUYNE
Karim ANSARI FARD
Victor FAYZULIN
Jerry PALACIOS
Alex OXLADE CHAMBERLAIN
Celso BORGES
Bryan RUIZ
Loic REMY
Giovani DOS SANTOS
Randall BRENES
Jefferson MONTERO
Kevin MIRALLAS
Angel DI MARIA
PAULINHO
Jordi ALBA
Paul POGBA
Marco VERRATTI
Alireza JAHAN BAKHSH
Ivica OLIC
Franck RIBERY
Yaya TOURE
NANI
Steven GERRARD
James RODRIGUEZ
Darijo SRNA
Alexander SAMEDOV
VARELA
Christian ATSU
Mark BRESCIANO
Santi CAZORLA
Raul JIMENEZ
Dimitrios SALPINGIDIS
Peter ODEMWINGIE
Miralem PJANIC
Ioannis FETFATZIDIS
DANTE
Kevin Prince BOATENG
Miguel LAYUN
Jordan AYEW
FERNANDINHO
Enzo PEREZ
Michael LANG
Edison MENDEZ
Marouane FELLAINI
Mauricio PINILLA
Daniele DE ROSSI
Michael ESSIEN
Mix DISKERUD
Nikica JELAVIC
Granit XHAKA
Carlos VALDES
Mathieu VALBUENA
Arturo VIDAL
Nacer CHADLI
Emmanuel AGYEMANG BADU
DaMarcus BEASLEY
Cesc FABREGAS
Ivan RAKITIC
KWAK Taehwi
Alberto AQUILANI
Michael BRADLEY
Haris MEDUNJANIN
JUANFRAN
Augusto FERNANDEZ
Abdelmoumene DJABOU
Ermin BICAKCIC
Mathew LECKIE
Fabrice OLINGA
Andres GUARDADO
Ezequiel LAVEZZI
Xabi ALONSO
RAUL MEIRELES
Graham ZUSI
Tranquillo BARNETTA
Ahmed MUSA
Eden HAZARD
MARCELO
Bruno MARTINS INDI
Gary CAHILL
BRUNO ALVES
Daniel VAN BUYTEN
Rafael MARQUEZ
Andres INIESTA
Valentin STOCKER
Eugenio MENA
Benjamin MOUKANDJO
Victor IBARBO
Andrea PIRLO
Max GRADEL
Toni KROOS
Denis GLUSHAKOV
Nicolas LODEIRO
Antonio VALENCIA
Segundo CASTILLO
Cristian RODRIGUEZ
LEE Chungyong
Paul AGUILAR
KIM Shinwook
Juan CUADRADO
KIM Bokyung
Mamadou SAKHO
Ahmad ALNAMEH
Masato MORISHIGE
Rony MARTINEZ
Diego CALVO
Georgios SAMARAS
Luka MODRIC
Vasileios TOROSIDIS
Alvaro PEREIRA
Ivan PERISIC
Michael ARROYO
Abel AGUILAR
Axel WITSEL
Andranik TIMOTIAN
John BOYE
Masoud SHOJAEI
Mathieu DEBUCHY
Charles ARANGUIZ
James TROISI
BERNARD
MAICON
Marvin CHAVEZ
Roger ESPINOZA
Diego LUGANO
Sejad SALIHOVIC
RAMIRES
Rodrigo PALACIO
Philippe SENDEROS
Mile JEDINAK
Xavi HERNANDEZ
Senijad IBRICIC
Dario VIDOSIC
Juan MONTES
Haris SEFEROVIC
Julian DRAXLER
Walter AYOVI
Yoshito OKUBO
Moussa DEMBELE
Sami KHEDIRA
KI Sungyueng
Andre AYEW
Yasuhito ENDO
Carlos SALCIDO
Jean BEAUSEJOUR
Gary MEDEL
Mario MARTINEZ
Hassan YEBDA
HERNANES
Dries MERTENS
