Christian Benteke
Saido Berahino
Ryan Bertrand
Muhamed Besic
Christian Benteke
Saido Berahino
Ryan Bertrand
Muhamed Besic
Paulinho Bezzera Maciel Jnior
Mame Biram Diouf
Tyler Blackett
Sebastin Blanco
Daley Blind
Hiram Boateng
Yannick Bolasie
Wilfried Bony
Fabio Borini
Dedryck Boyata
George Boyd
Robert Brady
Liam Bridcutt
Leon Britton
Ideye Aide Brown
Wes Brown
Tyias Browning
Alex Bruce
Chris Brunt
William Buckley
Reece Burke
Jack Butland
Wilfredo Caballero
Rmy Cabella
Gary Cahill
Esteban Matias Cambiasso
Geoff Cameron
Fraizer Campbell
Joel Campbell
Emre Can
Etienne Capoue
Michael Carrick
Andy Carroll
Thomas Carroll
Lee Cattermole
Steven Caulker
Santi Gonzalez Cazorla
Cristian Ceballos
Petr Cech
Nacer Chadli
Nathaniel Chalobah
Marouane Chamakh
Calum Chambers
James Chester
Vlad Chiriches
Papiss Demba Cisse
Gal Clichy
Nathaniel Clyne
Sebastin Coates
Jack Colback
Carlton Cole
Joe Cole
Seamus Coleman
James Collins
Fabricio Coloccini
Francis Coquelin
Jack  Cork
Thibaut Courtois
Philippe Coutinho
Aaron Cresswell
Peter Crouch
Rafael Da Silva
Willian Borges Da Silva
Diego da Silva Costa
Donervon Daniels
Luke Daniels
Scott Dann
Jason Davidson
Ben Davies
Curtis Davies
Kelvin Davis
Steven Davis
Craig Dawson
Michael Dawson
David Quintana De Gea
Siem De Jong
Ritchie De Laet
Mathieu Debuchy
Damien Delaney
Fabian Delph
Mousa Dembl
Guy Demel
Martn Demichelis
ngel Di Mara
Mohamed Diame
Eric Dier
Sylvain Distin
Graham Dorrans
Oscar dos Santos Emboaba Jnior
Stewart Downing
Kevin Doyle
Daniel Drinkwater
Didier Drogba
Mike Duff
Paul Dummett
Cameron Dummigan
Mike Duff
Paul Dummett
Cameron Dummigan
Richard Dunne
Nathan Dyer
Edin Dzeko
Karim El Ahmadi
Robert Elliot
Ahmed Elmohamady
Marvin Emnes
Christian Eriksen
Jose Angel Esmoris Tasende
Samuel Eto'o
Jonathan Evans
Lukasz Fabianski
Radamel Zarate Falcao Garcia
Alejandro Damian Faurlin
Federico Fazio
Marouane Fellaini
Leroy Fer
Rio Ferdinand
Jesus Fernandez Saez
Federico Fernndez
Facundo Ferreyra
Maynor Figueroa
Mathieu Flamini
Darren Fletcher
Steven Fletcher
Jose Fonte
Fraser Forster
Ben Foster
Brad Friedel
Ezekiel Fryers
Jay Fulton
Cesc Fbregas
Cristian Gamboa
Luke Garbutt
Craig Gardner
Florin Gardos
Dwight Gayle
Steven Gerrard
Emanuele Giaccherini
Kieran Gibbs
Darron Gibson
Matthew Gilks
Olivier Giroud
Shay Given
Bafetimbi Gomis
Varela Manuel Goncalves Gonalves Varela
Yoan Gouffran
Danny Graham
Jack Grealish
Robert Green
Adlne Gudioura
Sandro Ranieri Guimares Cordeiro
Brad Guzan
Jordi Gmez Garca-Penche
Massadio Haidara
Ben Hamer
Dean Hammond
Brede Hangeland
Steve Harper
Joe Hart
Eden Hazard
Tom Heaton
Jordan Henderson
Wayne Hennessey
Karl Henry
Chris Herd
Abel Hernndez
Javier Hernndez
Ander Herrera Aguera
Steven Hewitt
Tony Hibbert
Clint Hill
David Hoilett
Lewis Holtby
Jos Hooiveld
Tom Hopper
Tim Howard
Tom Huddlestone
Robert Huth
Alan Hutton
Jordan Ibe
Thomas Ince
Danny Ings
Stephen Ireland
Lloyd Isgrove
Mauricio Isla
Branislav Ivanovic
Jussi Jaaskelainen
Phil Jagielka
Eldin Jakupovic
Matthew James
Reece James
Daryl Janmaat
Adnan Januzaj
Matthew Jarvis
Mile Jedinak
Nikica Jelavic
Carl Jenkinson
Adam Johnson
Andrew Johnson
Glen Johnson
Billy Jones
Brad Jones
David Frank Llwyd Jones
Phil Jones
Stevan Jovetic
Lucas Jutkiewicz
Younes Kaboul
Shinji Kagawa
Harry Kane
Filipe Luis Kasmirski
Michael Keane
William Keane
Martin Kelly
Michael Kightly
Andy King
Aleksandar Kolarov
Vincent Kompany
Paul Konchesky
Anthony Konckaert
Laurent Koscielny
Cheikhou Kouyat
Niko Kranjcar
Bojan Krkic
Tim Krul
Daniel Lafferty
Adam Lallana
Rickie Lambert
Erik Lamela
Frank Lampard
Sebastian Larsson
Joe Ledley
Ryan Ledson
Elliot Lee
Aaron Lennon
Joleon Lescott
Anders Lindegaard
Jesse Lingard
Jake Livermore
Sebastian Lletget
Hugo Lloris
Kevin Long
Shane Long
Dejan Lovren
Matthew Lowton
Romelu Lukaku
Matthew Macey
Harry Maguire
Riyad Mahrez
Ainsley Maitland-Niles
Sadio Mane
Eliaquim Mangala
Vito Mannone
Javier Manquillo Gaitn
Adrian Mariappa
Lazar Markovic
Dean Marney
Damian Emiliano  Martinez
Ryan Glen Mason
Juan Manuel Garcia Mata
Nemanja Matic
Charalampos Mavrias
Emmanuel Mayuka
James McArthur
Gareth McAuley
Alex McCarthy
James McCarthy
Jason McCarthy
Patrick McCarthy
Aiden McGeady
Allan McGregor
Patrick McNair
Sam McQueen
Paul McShane
Benjamin Mee
Per Mertesacker
David Meyler
Simon Mignolet
John Obi John Mikel
James Milner
Kevin Mirallas
Nacho Monreal
Jefferson Montero
Liam Moore
Alberto Moreno
Wes Morgan
James Morrison
Ravel Morrison
Victor Moses
Youssuf Mulumbu
Marc Muniesa
Brian Murphy
Glenn Murray
Jordon Mutch
Boaz Myhill
Charles N'Zogbia
Steven Naismith
Liam O'Neil
John O'Shea
Gabriel Obertan
Peter Odemwingie
Jores Okore
Anderson Oliveira
Jonas Olsson
Nedum Onuoha
Leon Osman
David Ospina
Bryan Oviedo
Alex Oxlade-Chamberlain
Costel Pantilimon
Graziano Pelle
Andreas Pereira
Lucas Pezzini-Leiva
Matthew Phillips
Steven Pienaar
Erik Pieters
Sbastien Pocognoli
Lukas Podolski
Nick Powell
Diego Poyet
Jose Pozos
Jason Puncheon
Ayoze Prez Gutirrez
Stephen Quinn
Aaron Ramsey
Gastn Ramrez
Angel Rangel
Harrison Reed
Fernando Francisco Reges
Steven Reid
Winston Reid
Anthony Reveillere
Ashley Richards
Kieran Richardson
Emmanuel Riviere
Valentin Roberge
Andrew Robertson
Joel Robles
Thomas Robson
Jack Rodwell
Marcos Rojo
Wayne Rooney
Fernandinho Rosa
Danny Rose
Liam Rosenior
Tomas Rosicky
Wayne Routledge
Andrew Robertson
Callum Robinson
Joel Robles
Thomas Robson
Jack Rodwell
Marcos Rojo
Wayne Rooney
