Dani Alves
Thiago Silva
David Luiz
Fernando Luiz Roza
Marcelo Vieira
Hulk (footballer)
Paulinho (footballer)
Fred (footballer)
Neymar
Oscar (footballer born 1991)
Dante (footballer)
Maxwell Cabelino Andrade
Henrique Adriano Buss
Ramires
Luiz Gustavo
Hernanes
Willian Borges da Silva
Bernard (footballer)
Victor Leandro Bagy
Maicon Sisenando
Nicolas N'Koulou
Dany Nounkeu
Alex Song
Benjamin Moukandjo
Samuel Eto'o
Vincent Aboubakar
Jean Makoun
Henri Bedimo
Eric Maxim Choupo-Moting
Charles Itandje
Eyong Enoh
Fabrice Olinga
Edgar Salli
Allan Nyom
Sammy N'Djock
Stipe Pletikosa
Dejan Lovren
Darijo Srna
Oliver Zelenika
Gordon Schildenfeld
Sammir
Domagoj Vida
Eduardo da Silva
Carlos Salcido
Diego Antonio Reyes
Miguel Lay  n
Giovani dos Santos
Alan Pulido
Alfredo Talavera
Guillermo Ochoa
Miguel  ngel Ponce
Oribe Peralta
Javier Aquino
Paul Aguilar
Mathew Ryan
Jason Davidson
Tim Cahill
Mark Milligan
Mathew Leckie
Bailey Wright
Adam Taggart
Ben Halloran
Tommy Oar
Mitchell Langerak
James Troisi
Mile Jedinak
James Holland (footballer)
Matt McKay
Ryan McGowan
Massimo Luongo
Alex Wilkinson
Mark Bresciano
Claudio Bravo (footballer)
Eugenio Mena
Miiko Albornoz
Mauricio Isla
Francisco Silva
Carlos Carmona
Arturo Vidal
Mauricio Pinilla
Eduardo Vargas
Cristopher Toselli
Jean Beausejour
Gary Medel
Gonzalo Jara
Esteban Paredes
Johnny Herrera (goalkeeper)
Jasper Cillessen
Ron Vlaar
Stefan de Vrij
Bruno Martins Indi
Daley Blind
Daryl Janmaat
Nigel de Jong
Robin van Persie
Wesley Sneijder
Arjen Robben
Paul Verhaegh
Terence Kongolo
Dirk Kuyt
Jordy Clasie
Jeremain Lens
Leroy Fer
Klaas-Jan Huntelaar
Georginio Wijnaldum
Memphis Depay
Michel Vorm
Tim Krul
Iker Casillas
Ra  l Albiol
Juanfran (footballer, born 1985)
David Villa
Xavi
Fernando Torres
David de Gea
Juan Mata
Xabi Alonso
Sergio Ramos
Sergio Busquets
Koke (footballer born 1992)
Jordi Alba
Diego Costa
Santi Cazorla
David Silva
Pepe Reina
David Ospina
Mario Yepes
Santiago Arias
Pablo Armero
Abel Aguilar
Juan Guillermo Cuadrado
Camilo Vargas
Carlos Bacca
Juan Fernando Quintero
Orestis Karnezis
Giannis Maniatis
Georgios Tzavellas
Kostas Manolas
Vangelis Moras
Alexandros Tziolis
Georgios Samaras
Panagiotis Kone
Konstantinos Mitroglou
Giorgos Karagounis
Loukas Vyntra
Panagiotis Glikos
Stefanos Kapino
Dimitris Salpingidis
Vasilis Torosidis
Lazaros Christodoulopoulos
Theofanis Gekas
Ioannis Fetfatzidis
Sokratis Papastathopoulos
Kostas Katsouranis
Andreas Samaris
Panagiotis Tachtsidis
Boubacar Barry
Ousmane Viera
Arthur Boka
Didier Zokora
Mathis Bolly
Jean-Daniel Akpa-Akpro
Salomon Kalou
Gervinho
Didier Drogba
Wilfried Bony
Didier Ya Konan
Max Gradel
Sylvain Gbohouo
Serge Aurier
Constant Djakpa
Serey Die
Giovanni Sio
Sol Bamba
Keylor Navas
Johnny Acosta
Celso Borges
Heiner Mora
Joel Campbell
Bryan Ruiz
Michael Barrantes
Waylon Francis
Esteban Granados
Randall Brenes
Cristian Gamboa
Yeltsin Tejeda
Patrick Pemberton
Roy Miller (footballer)
Diego Calvo
Daniel Cambronero
Keylor Navas
Johnny Acosta
Celso Borges
Heiner Mora
Joel Campbell
Bryan Ruiz
Michael Barrantes
Waylon Francis
Esteban Granados
Randall Brenes
Cristian Gamboa
Yeltsin Tejeda
Patrick Pemberton
Roy Miller (footballer)
Diego Calvo
Daniel Cambronero
Joe Hart
Glen Johnson (English footballer)
Leighton Baines
Steven Gerrard
Gary Cahill
Phil Jagielka
Jack Wilshere
Frank Lampard
Daniel Sturridge
Wayne Rooney
Danny Welbeck
Chris Smalling
Ben Foster (footballer)
Jordan Henderson
Alex Oxlade-Chamberlain
Phil Jones (footballer, born 1992)
James Milner
Rickie Lambert
Raheem Sterling
Adam Lallana
Ross Barkley
Fraser Forster
Luke Shaw
Gianluigi Buffon
Mattia De Sciglio
Giorgio Chiellini
Matteo Darmian
Thiago Motta
Antonio Candreva
Ignazio Abate
Claudio Marchisio
Mario Balotelli
Antonio Cassano
Alessio Cerci
Salvatore Sirigu
Mattia Perin
Alberto Aquilani
Andrea Barzagli
Daniele De Rossi
Ciro Immobile
Marco Parolo
Leonardo Bonucci
Gabriel Paletta
Andrea Pirlo
Lorenzo Insigne
Marco Verratti
Fernando Muslera
Diego Lugano
Walter Gargano
 lvaro Pereira
Christian Stuani
Jorge Fucile
Maximiliano Pereira
Edinson Cavani
Jorge Guagua
Frickson Erazo
Juan Carlos Paredes
Renato Ibarra
Christian Noboa
Jefferson Montero
Joao Rojas
Felipe Caicedo
Enner Valencia
Segundo Castillo
Michael Arroyo
Antonio Valencia
Luis Saritama
Gabriel Achilier
Carlos Armando Gruezo Arboleda
Hugo Lloris
Mathieu Debuchy
Patrice Evra
Mamadou Sakho
Yohan Cabaye
Mathieu Valbuena
Olivier Giroud
Karim Benzema
Antoine Griezmann
Rio Mavuba
Eliaquim Mangala
Blaise Matuidi
Bacary Sagna
Lucas Digne
Moussa Sissoko
Paul Pogba
Laurent Koscielny
Maynor Figueroa
Juan Pablo Montes
Emilio Izaguirre
Wilson Palacios
Jerry Palacios
Jerry Bengtson
Edder Delgado ref Arnold Peralta was originally named in the squad but sustained an injury before the tournament. He was replaced by Delgado.  ref 
Carlo Costly
Roger Espinoza
Noel Valladares
Luis Garrido
Jorge Claros
Andy Najar
Donis Escober
Brayan Beckeles
Diego Benaglio
Stephan Lichtsteiner
Reto Ziegler
Philippe Senderos
Steve von Bergen
Michael Lang (footballer)
Tranquillo Barnetta
Granit Xhaka
Valon Behrami
Yann Sommer
Valentin Stocker
Gelson Fernandes
Admir Mehmedi
Johan Djourou
Xherdan Shaqiri
Sergio Romero
Ezequiel Garay
Hugo Campagnaro
Pablo Zabaleta
Fernando Gago
Lucas Biglia
Lionel Messi
Javier Mascherano
Marcos Rojo
Rodrigo Palacio
Ricardo Gabriel  lvarez
Mariano And  jar
Ezequiel Lavezzi
Haris Medunjanin
Rahman Ahmadi
Khosro Heydari
Ehsan Hajsafi
Jalal Hosseini
Amir Hossein Sadeghi
Javad Nekounam
Masoud Shojaei
Reza Haghighi
Alireza Jahanbakhsh
Karim Ansarifard
Ghasem Haddadifar
Alireza Haghighi
Hossein Mahini
Andranik Teymourian
Pejman Montazeri
Reza Ghoochannejhad
Ahmad Alenemeh
Bakhtiar Rahmani
Hashem Beikzadeh
Steven Beitashour
Ashkan Dejagah
Daniel Davari
Mehrdad Pouladi
Vincent Enyeama
Joseph Yobo
Reuben Gabriel
Efe Ambrose
Azubuike Egwuekwe
Ahmed Musa (footballer)
Peter Odemwingie
Emmanuel Emenike
John Obi Mikel
Victor Moses
Kunle Odunlami
Juwon Oshaniwa
Godfrey Oboabona
Ramon Azeez
Austin Ejide
Ogenyi Onazi
Michael Babatunde
Uche Nwofor
Michael Uchebo
Chigozie Agbim
Kenneth Omeruo
Shola Ameobi
Manuel Neuer
Kevin Gro  kreutz
Matthias Ginter
Mats Hummels
Sami Khedira
Bastian Schweinsteiger
Lukas Podolski
Miroslav Klose
Ron-Robert Zieler
Julian Draxler
Erik Durm
Philipp Lahm
Per Mertesacker
Toni Kroos
Marco Reus
Roman Weidenfeller
Christoph Kramer
Steven Adams (footballer)
Samuel Inkoom
Asamoah Gyan
Daniel Opare
Michael Essien
Afriyie Acquah
Christian Atsu
Emmanuel Agyemang-Badu
Kevin-Prince Boateng
Sulley Muntari
Adam Larsen Kwarasey
Jordan Ayew
Albert Adomah
Rashid Sumaila
Fatau Dauda
Mohammed Rabiu
Abdul Majeed Waris
Jonathan Mensah
Kwadwo Asamoah
John Boye
Wakaso Mubarak
Harrison Afful
Eduardo Carvalho
Bruno Alves
Pepe (footballer born 1983)
Miguel Veloso
William Carvalho
Cristiano Ronaldo
Hugo Almeida
Vieirinha
Ricardo Costa (Portuguese footballer)
Rafael Ferreira Silva
Raul Meireles
Nani
Silvestre Varela
R  ben Amorim
Beto (Portuguese footballer born 1982)
Tim Howard
DeAndre Yedlin
Omar Gonzalez
Michael Bradley
Matt Besler
John Anthony Brooks
DaMarcus Beasley
Clint Dempsey
Mikkel Diskerud
Alejandro Bedoya
Brad Guzan
Jermaine Jones
Brad Davis
Kyle Beckerman
Julian Green
Jozy Altidore
Chris Wondolowski
Graham Zusi
Geoff Cameron
Timothy Chandler
Nick Rimando
Fabian Johnson
Madjid Bougherra
Faouzi Ghoulam
Rafik Halliche
Djamel Mesbah
Carl Medjani
Hassan Yebda
Nabil Ghilas
Sofiane Feghouli
Yacine Brahimi
Medhi Lacen
Islam Slimani
Nabil Bentaleb
El Arbi Hillel Soudani
Mohamed Lamine Zemmamouche
Abdelmoumene Djabou
Riyad Mahrez
Mehdi Mostefa
Thibaut Courtois
Toby Alderweireld
Thomas Vermaelen
Vincent Kompany
Jan Vertonghen
Axel Witsel
Kevin De Bruyne
Marouane Fellaini
Romelu Lukaku
Eden Hazard
Kevin Mirallas
Simon Mignolet
Sammy Bossut
Dries Mertens
Daniel Van Buyten
Steven Defour
Divock Origi
Nicolas Lombaerts
Adnan Januzaj
Anthony Vanden Borre
Nacer Chadli
Laurent Ciman
Igor Akinfeev
Aleksei Anatolyevich Kozlov
Georgi Shchennikov
Sergei Ignashevich
Andrei Sergeyevich Semyonov
Maksim Kanunnikov
Igor Denisov
Denis Glushakov
Aleksandr Kokorin
Alan Dzagoev
Aleksandr Kerzhakov
Yuri Lodygin
Vladimir Granat
Vasili Berezutski
Pavel Mogilevets
Sergey Viktorovich Ryzhikov
Oleg Shatov
Yuri Zhirkov
Aleksandr Samedov
Viktor Fayzulin
Aleksei Ionov
Andrey Yeshchenko
Dmitri Kombarov
Jung Sung-ryong
Kim Chang-soo
Yun Suk-young
Kwak Tae-hwi
Kim Young-gwon
Hwang Seok-ho
Kim Bo-kyung
Ha Dae-sung
Son Heung-min
Park Chu-young
Lee Keun-ho
Lee Yong (footballer born 1986)
Koo Ja-cheol
Han Kook-young
Park Jong-woo
Ki Sung-yueng
Lee Chung-yong
Kim Shin-wook
Ji Dong-won
Hong Jeong-ho
Kim Seung-gyu
Park Joo-ho
Lee Bum-young
