Fabrice OLINGA
Luke SHAW
Nabil BENTALEB
Divock ORIGI
Adnan JANUZAJ
Carlos GRUEZO
Raheem STERLING
Jose GIMENEZ
Julian GREEN
Sead KOLASINAC
Ante REBIC
Mateo KOVACIC
Alex OXLADE CHAMBERLAIN
Ross BARKLEY
Lucas DIGNE
Julian DRAXLER
Matthias GINTER
Stefanos KAPINO
Luis LOPEZ
Alireza JAHAN BAKHSH
Terence KONGOLO
Memphis DEPAY
Kenneth OMERUO
DeAndre YEDLIN
Adam TAGGART
Massimo LUONGO
Bailey WRIGHT
Romelu LUKAKU
Muhamed BESIC
BERNARD
Cedric DJEUGOUE
Edgar SALLI
Eder BALANTA
Juan QUINTERO
Joel CAMPBELL
Oliver ZELENIKA
Ivan MOCINIC
Marcelo BROZOVIC
Paul POGBA
Raphael VARANE
Rashid SUMAILA
Andy NAJAR
Marco VERRATTI
Mattia DE SCIGLIO
Mattia PERIN
Sayouba MANDE
Ismael DIOMANDE
Jean Daniel AKPA
Serge AURIER
Diego REYES
Ahmed MUSA
Ogenyi ONAZI
Ramon AZEEZ
Michael BABATUNDE
RAFA
SON Heungmin
Josip DRMIC
Granit XHAKA
Ricardo RODRIGUEZ
John BROOKS
Saphir TAIDER
Aissa MANDI
Tommy OAR
Maty RYAN
Ben HALLORAN
Jason DAVIDSON
Kevin DE BRUYNE
Thibaut COURTOIS
Izet HAJROVIC
Tino Sven SUSIC
NEYMAR
OSCAR
Vincent ABOUBAKAR
Joel MATIP
Loic FEUDJOU
James RODRIGUEZ
Santiago ARIAS
Yeltsin TEJEDA
Sime VRSALJKO
Phil JONES
Jack WILSHERE
Mario GOETZE
Erik DURM
Majeed WARIS
Acquah AFRIYIE
Christian ATSU
Jordan AYEW
Bakhtiar RAHMANI
Bruno MARTINS INDI
Stefan DE VRIJ
Joel VELTMAN
Jordy CLASIE
Uche NWOFOR
WILLIAM
Maksim KANUNNIKOV
KOKE
Fabian SCHAER
Xherdan SHAQIRI
Haris SEFEROVIC
Faouzi GHOULAM
Riyad MAHREZ
Mathew LECKIE
Eden HAZARD
Miiko ALBORNOZ
Felipe GUTIERREZ
Diego CALVO
Waylon FRANCIS
Alex IBARRA
Danny WELBECK
Antoine GRIEZMANN
Eliaquim MANGALA
Clement GRENIER
Andre SCHUERRLE
Christoph KRAMER
Mubarak WAKASO
Emmanuel AGYEMANG BADU
Jonathan MENSAH
Daniel OPARE
Ioannis FETFATZIDIS
Panagiotis TACHTSIDIS
