Moeneeb Josephs
Siboniso Gaxa
Tsepo Masilela
Aaron Mokoena
Anele Ngcongca
MacBeth Sibaya
Lance Davids
Siphiwe Tshabalala
Katlego Mphela
Steven Pienaar
Teko Modise
Reneilwe Letsholonyane
Kagisho Dikgacoi
Matthew Booth
Lucas Thwala
Itumeleng Khune
Bernard Parker
Siyabonga Nomvethe
Surprise Moriri
Bongani Khumalo
Siyabonga Sangweni
Shu-Aib Walters
Thanduyise Khuboni
Carlos Salcido
Ricardo Osorio
Gerardo Torrado
Pablo Barrera
Israel Castro
Guillermo Franco
Carlos Vela
Paul Aguilar
Guillermo Ochoa
Giovani dos Santos
Jorge Torres Nilo
Adolfo Bautista
Alberto Medina
Luis Ernesto Michel
Fernando Muslera
Diego Lugano
Jorge Fucile
Walter Gargano
Mauricio Victorino
Edinson Cavani
lvaro Pereira
Juan Guillermo Castillo
Maximiliano Pereira
Hugo Lloris
Bacary Sagna
William Gallas
Marc Planus
Yoann Gourcuff
Sidney Govou
Thierry Henry
Patrice Evra
Florent Malouda
Steve Mandanda
Alou Diarra
Abou Diaby
Mathieu Valbuena
Nicolas Anelka
Diego Pozo
Mario Bolatti
Gabriel Heinze
Lionel Messi
Walter Samuel
Javier Mascherano
Diego Milito
Mariano Andjar
Sergio Romero
Javier Pastore
Vincent Enyeama
Joseph Yobo
Taye Taiwo
Nwankwo Kanu
Rabiu Afolabi
Danny Shittu
John Utaka
Yakubu Aiyegbeni
Obafemi Martins
Peter Odemwingie
Kalu Uche
Ayila Yussuf
Sani Kaita
Lukman Haruna
Austin Ejide
Chidi Odiah
Victor Nsofor Obinna
Chinedu Obasi
Dickson Etuhu
Dele Adeleye
Dele Aiyenugba
Lee Woon-Jae
Oh Beom-Seok
Kim Hyung-Il
Cho Yong-Hyung
Kim Nam-Il
Kim Bo-Kyung
Park Ji-Sung
Kim Jung-Woo
Ahn Jung-Hwan
Park Chu-Young
Lee Seung-Yeoul
Lee Young-Pyo
Kim Jae-Sung
Lee Jung-Soo
Kim Dong-Jin
Ki Sung-Yong
Lee Chung-Yong
Jung Sung-Ryong
Yeom Ki-Hun
Lee Dong-Gook
Kim Young-Kwang
Cha Du-Ri
Kang Min-Soo
Kostas Chalkias
Giourkas Seitaridis
Christos Patsatzoglou
Nikos Spiropoulos
Vangelis Moras
Alexandros Tziolis
Georgios Samaras
Avraam Papadopoulos
Angelos Charisteas
Giorgos Karagounis
Loukas Vyntra
Alexandros Tzorvas
Michalis Sifakis
Dimitris Salpingidis
Vasilis Torosidis
Sotirios Kyrgiakos
Theofanis Gekas
Sotiris Ninis
Sokratis Papastathopoulos
Pantelis Kapetanos
Kostas Katsouranis
Stelios Malezas
Athanassios Prittas
David James (footballer)
Glen Johnson (English footballer)
Ashley Cole
Steven Gerrard
Michael Dawson (footballer)
John Terry
Aaron Lennon
Frank Lampard
Peter Crouch
Wayne Rooney
Joe Cole
Robert Green
Stephen Warnock
Gareth Barry
Matthew Upson
James Milner
Shaun Wright-Phillips
Jamie Carragher
Jermain Defoe
Ledley King
Emile Heskey
Michael Carrick
Joe Hart
Tim Howard
Jonathan Spector
Carlos Bocanegra
Michael Bradley
Oguchi Onyewu
Steve Cherundolo
DaMarcus Beasley
Clint Dempsey
Herculez Gomez
Landon Donovan
Stuart Holden
Jonathan Bornstein
Ricardo Clark
Edson Buddle
Jay DeMerit
Jozy Altidore
Brad Guzan
Maurice Edu
Robbie Findley
Clarence Goodson
Benny Feilhaber
Marcus Hahnemann
Madjid Bougherra
Nadir Belhadj
Antar Yahia
Rafik Halliche
Yazid Mansouri
Ryad Boudebouz
Medhi Lacen
Abdelkader Ghezzal
Rafik Djebbour
Karim Matmour
Karim Ziani
Faouzi Chaouchi
Carl Medjani
Hassan Yebda
Djamel Mesbah
Foued Kadir
Djamel Abdoun
Madjid Bougherra
Nadir Belhadj
Antar Yahia
Rafik Halliche
Yazid Mansouri
Ryad Boudebouz
Medhi Lacen
Abdelkader Ghezzal
Rafik Djebbour
Karim Matmour
Karim Ziani
Faouzi Chaouchi
Carl Medjani
Hassan Yebda
Djamel Mesbah
Foued Kadir
Djamel Abdoun
Branko Ili
Nejc Penik
Robert Koren
Zlatan Ljubijanki
Valter Birsa
Milivoje Novakovi
Jasmin Handanovi
Zlatko Dedi
Rene Krhin
Suad Filekovi
Andrej Komac
Dalibor Stevanovi
Matej Mavri
Manuel Neuer
Marcell Jansen
Arne Friedrich
Dennis Aogo
Serdar Tasci
Sami Khedira
Bastian Schweinsteiger
Stefan Kieling
Lukas Podolski
Miroslav Klose
Tim Wiese
Holger Badstuber
Piotr Trochowski
Philipp Lahm
Per Mertesacker
Toni Kroos
Cacau
Marko Marin
Mark Schwarzer
Lucas Neill
Craig Moore
Tim Cahill
Jason ulina
